,ID,WMO_CODE,NAME_EN,Region,Latitude,Longitude,00Z,01Z,02Z,03Z,04Z,05Z,06Z,07Z,08Z,09Z,10Z,11Z,12Z,13Z,14Z,15Z,16Z,17Z,18Z,19Z,20Z,21Z,22Z,23Z,sum,year,month,day
0,1,300,Mae Hong Son,Northern,19.29897222,97.97577778,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.24338969588279724,-,-,-,-,-,-,-,-,-,0.24338969588279724,2022,07,11
1,2,325,Mae Sariang,Northern,18.16666667,97.93333333,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0963876023888588,0.24778401851654053,0.43360644578933716,-,-,-,-,-,-,-,0.7777780294418335,2022,07,11
2,3,303,Chiang Rai,Northern,19.96138889,99.88138889,-,-,0.15604564547538757,2.0040531158447266,0.41567808389663696,-,0.15604564547538757,2.0040531158447266,0.41567808389663696,0.14426803588867188,0.16807043552398682,-,-,-,-,0.66022789478302,-,-,-,-,-,-,-,-,6.124119758605957,2022,07,11
3,4,304,Chiang Rai (1),Northern,19.87083333,99.78277778,-,-,-,1.6526950597763062,1.181756615638733,-,-,1.6526950597763062,1.181756615638733,0.09550400823354721,0.09540607035160065,-,-,-,-,1.1011874675750732,-,-,-,-,-,-,-,-,6.961000919342041,2022,07,11
4,5,310,Phayao,Northern,19.13333333,99.9,0.1397833377122879,0.7828952670097351,0.4892438054084778,0.04955773055553436,-,0.7828952670097351,0.4892438054084778,0.04955773055553436,-,-,0.13319933414459229,-,-,-,-,-,-,-,-,-,-,-,-,-,3.056159496307373,2022,07,11
5,6,327,Chiang Mai,Northern,18.79,98.97694444,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.170029640197754,1.0170971155166626,3.3334577083587646,0.2980564534664154,-,-,-,-,-,-,6.81864070892334,2022,07,11
6,7,302,Doi Angkhlang,Northern,19.93138889,99.04833333,-,-,-,-,-,-,-,-,-,0.6855761408805847,0.41306406259536743,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0986402034759521,2022,07,11
7,8,331,Nan,Northern,18.77972222,100.7777778,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022,07,11
8,9,333,Nan (1),Northern,18.86666667,100.75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022,07,11
9,10,315,Tha Wang Pha (2),Northern,19.11055556,100.8025,-,0.08737091720104218,0.10436280816793442,-,-,0.08737091720104218,0.10436280816793442,-,-,-,0.4274123013019562,-,-,-,-,-,-,-,-,-,-,-,-,-,0.8108797073364258,2022,07,11
10,11,307,Thung Chang (2),Northern,19.41194444,100.8835278,0.12057418376207352,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.24114836752414703,2022,07,11
11,12,329,Lamphun,Northern,18.56666667,99.03333333,-,-,-,-,-,-,-,-,-,-,-,-,-,0.4361933171749115,-,0.3739836812019348,-,-,-,-,-,-,-,-,0.8101769685745239,2022,07,11
12,13,328,Lampang,Northern,18.33333333,99.51666667,-,-,0.06215468794107437,-,-,-,0.06215468794107437,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.12430937588214874,2022,07,11
13,14,334,Lampang (1),Northern,18.31666667,99.28333333,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022,07,11
14,15,324,Thoen,Northern,17.63661111,99.24475,-,-,-,-,0.13855348527431488,-,-,-,0.13855348527431488,0.14979024231433868,0.2110869139432907,-,-,0.7431244850158691,-,-,-,-,-,-,-,-,-,-,1.3811086416244507,2022,07,11
15,16,330,Phrae,Northern,18.16666667,100.1666667,0.05691834166646004,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.11383668333292007,2022,07,11
16,17,351,Uttaradit,Northern,17.61666667,100.1000028,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022,07,11
17,18,372,Sukhothai,Northern,17.10611111,99.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022,07,11
18,19,373,Si Samrong (1),Northern,17.77361111,99.24944444,-,-,-,-,0.1369096338748932,-,-,-,0.1369096338748932,0.14519192278385162,0.17194925248622894,-,-,0.3747978210449219,-,-,-,-,-,-,-,-,-,-,0.9657583236694336,2022,07,11
19,20,377,Bhumibol Dam,Northern,17.24391667,99.00252778,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.33729082345962524,0.21339493989944458,-,-,-,-,-,-,-,-,0.5506857633590698,2022,07,11
20,21,376,Tak,Northern,16.87836111,99.14336111,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022,07,11
21,22,375,Mae Sot,Northern,16.65916667,98.55086111,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022,07,11
22,23,385,Umphang (2),Northern,16.02472222,98.86444444,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022,07,11
23,24,387,Doi Muser (1),Northern,16.75,98.93333611,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022,07,11
24,25,378,Phitsanulok,Northern,16.79622222,100.2759444,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.7581295967102051,0.8818954229354858,0.8880808353424072,-,-,3.598870038986206,6.126976013183594,2022,07,11
25,26,374,Lom Sak (2),Northern,16.77363889,101.2494722,-,-,-,-,-,-,-,-,-,-,-,-,-,0.12602561712265015,0.41385531425476074,-,2.565237522125244,0.2741812765598297,-,-,-,-,-,-,3.3792998790740967,2022,07,11
26,27,379,Phetchabun,Northern,16.43333611,101.15,-,-,-,-,-,-,-,-,-,-,-,-,4.268401622772217,0.12199559807777405,-,2.0165297985076904,-,0.11053454130887985,-,-,-,-,-,-,6.517461776733398,2022,07,11
27,28,413,Wichian Buri (2),Northern,15.65694444,101.1083333,-,-,-,-,-,-,-,-,-,-,-,-,-,0.4779154360294342,0.17156417667865753,-,-,-,0.7246366143226624,2.031999111175537,1.5246593952178955,0.5617443323135376,0.2582966089248657,0.48210570216178894,6.232921123504639,2022,07,11
28,29,380,Kamphaeng Phet,Northern,16.48680556,99.52697222,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022,07,11
29,30,386,Phicit (1),Northern,16.33861111,100.3671111,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.37374749779701233,0.46744227409362793,-,-,0.8411897420883179,2022,07,11
30,31,352,Nong Khai,Northeastern,17.86716667,102.7330278,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022,07,11
31,32,353,Loei,Northeastern,17.45,101.7333333,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3107554316520691,0.12615138292312622,-,-,-,-,-,-,-,0.4369068145751953,2022,07,11
32,33,350,Loei (1),Northeastern,17.4,101.7333333,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.29823169112205505,-,-,-,-,-,0.29823169112205505,2022,07,11
33,34,354,Udon Thani,Northeastern,17.38333333,102.8,-,-,-,-,-,-,-,-,-,-,0.03079303354024887,3.1185574531555176,-,-,0.13479669392108917,0.18977126479148865,-,-,-,-,-,-,-,0.8840051889419556,4.35792350769043,2022,07,11
34,35,357,Nakhon Phanom,Northeastern,17.41083333,104.7825,-,-,0.24347251653671265,3.622635841369629,3.953092098236084,-,0.24347251653671265,3.622635841369629,3.953092098236084,0.3428773283958435,-,-,-,-,-,-,0.14928244054317474,-,0.12435884028673172,-,-,4.573764801025391,-,-,20.828683853149414,2022,07,11
35,36,358,Nakhon Phanom (1),Northeastern,17.44305556,104.7736111,-,-,0.24347251653671265,3.622635841369629,3.953092098236084,-,0.24347251653671265,3.622635841369629,3.953092098236084,0.3428773283958435,-,-,-,-,-,-,0.14928244054317474,-,0.12435884028673172,-,-,4.573764801025391,-,-,20.828683853149414,2022,07,11
36,37,356,Sakon Nakhon,Northeastern,17.15000278,104.1333361,-,-,0.09780589491128922,1.9824426174163818,3.6288909912109375,-,0.09780589491128922,1.9824426174163818,3.6288909912109375,-,-,-,-,-,-,-,-,-,0.3408602476119995,3.066958427429199,2.0157182216644287,-,-,-,16.841815948486328,2022,07,11
37,38,355,Sakon Nakhon (1),Northeastern,17.12502778,104.061,-,-,0.09788866341114044,1.904287338256836,3.64204478263855,-,0.09788866341114044,1.904287338256836,3.64204478263855,0.5036649703979492,-,-,-,-,-,-,-,-,0.1292283833026886,2.3071837425231934,2.460512399673462,1.292352318763733,-,-,17.98138427734375,2022,07,11
38,39,360,Nong Bua Lumphu,Northeastern,17.2325,102.4294444,0.021391674876213074,0.13036131858825684,0.6745312809944153,-,-,0.13036131858825684,0.6745312809944153,-,-,-,-,-,2.8789165019989014,1.9447388648986816,0.22340087592601776,0.1613485962152481,-,-,-,-,-,-,-,-,6.860973834991455,2022,07,11
39,40,383,Mukdahan,Northeastern,16.54955556,104.7308889,-,-,0.22585885226726532,1.9075534343719482,2.8153069019317627,-,0.22585885226726532,1.9075534343719482,2.8153069019317627,1.8233221769332886,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11.720760345458984,2022,07,11
40,41,381,Khon Kaen,Northeastern,16.46111111,102.7897222,-,-,-,-,-,-,-,-,-,0.48567819595336914,-,2.652024030685425,4.1559038162231445,2.197744369506836,2.350454330444336,-,0.7324270009994507,0.13038572669029236,-,-,-,-,-,-,12.70461654663086,2022,07,11
41,42,384,Tha Pra (1),Northeastern,16.333,102.8166667,-,-,-,-,-,-,-,-,-,1.011164903640747,0.21140798926353455,1.933997631072998,2.9590606689453125,0.4106001853942871,2.512356996536255,-,0.68563312292099,0.08242880553007126,-,-,-,-,-,-,9.806650161743164,2022,07,11
42,43,382,Kosum Phisai (2),Northeastern,16.24722222,103.0680556,-,-,-,-,-,-,-,-,-,0.37034574151039124,0.20521670579910278,-,-,-,-,6.247500896453857,0.496796190738678,0.1999744474887848,-,-,-,-,-,-,7.519834041595459,2022,07,11
43,44,390,Kamalasai (2),Northeastern,16.3325,103.5883333,-,-,-,-,-,-,-,-,-,-,0.04257646203041077,-,1.8077648878097534,4.00628662109375,3.7889373302459717,-,0.22370679676532745,0.09050549566745758,-,-,-,-,-,-,9.95977783203125,2022,07,11
44,45,405,Roi Et,Northeastern,16.05000028,103.68333359999998,-,-,-,-,-,-,-,-,-,-,-,-,3.6355836391448975,-,6.303120136260986,3.877338409423828,0.40677163004875183,0.19177357852458954,-,-,-,-,-,-,14.414587020874023,2022,07,11
45,46,404,Roi Et (1),Northeastern,16.07322222,103.6084444,-,-,-,-,-,-,-,-,-,-,-,-,3.6355836391448975,-,6.303120136260986,3.877338409423828,0.40677163004875183,0.19177357852458954,-,-,-,-,-,-,14.414587020874023,2022,07,11
46,47,403,Chaiyaphum,Northeastern,15.80000028,102.0333336,-,-,-,-,-,-,-,-,-,-,-,-,-,0.1473015546798706,-,1.4007899761199951,0.30733639001846313,0.8018680810928345,1.3862786293029785,0.18158887326717377,0.44046375155448914,-,-,-,4.6656270027160645,2022,07,11
47,48,407,Ubon Ratchathani,Northeastern,15.25000278,104.8666694,1.085863471031189,2.3462564945220947,0.14100825786590576,-,-,2.3462564945220947,0.14100825786590576,-,-,-,0.09161969274282455,0.5164093375205994,-,-,-,-,1.1584420204162598,0.12302743643522263,0.3065118193626404,1.2967649698257446,1.5620805025100708,0.40981459617614746,0.08276236057281494,-,12.693689346313477,2022,07,11
48,49,408,Ubon Ratchathani (1),Northeastern,15.24072222,105.01966670000002,1.002829909324646,-,-,-,-,-,-,-,-,0.07593149691820145,-,-,-,-,-,0.14227652549743652,-,-,0.3018035888671875,2.4225616455078125,1.88838791847229,1.3497391939163208,-,-,8.186359405517578,2022,07,11
49,50,409,Si Saket (1),Northeastern,15.00000028,104.0500003,0.16647151112556458,-,0.12479570508003235,1.9481910467147827,3.1438302993774414,-,0.12479570508003235,1.9481910467147827,3.1438302993774414,0.7118378281593323,0.019016696140170097,1.4655834436416626,1.4097651243209839,-,-,-,0.9725893139839172,0.6111620664596558,3.025259017944336,1.984071135520935,1.519262433052063,1.1696759462356567,-,-,23.654800415039062,2022,07,11
50,51,416,Tha Tum (2),Northeastern,15.31666694,103.68333359999998,-,-,-,-,2.55436372756958,-,-,-,2.55436372756958,0.967817485332489,0.16257166862487793,-,-,-,-,-,1.662544846534729,0.6423375010490417,1.8226182460784912,1.7854726314544678,1.6827962398529053,1.5491470098495483,1.567786693572998,-,16.951818466186523,2022,07,11
51,52,432,Surin,Northeastern,14.88333361,103.5000003,1.2378777265548706,0.42805373668670654,0.15444648265838623,0.5968261957168579,1.3517992496490479,0.42805373668670654,0.15444648265838623,0.5968261957168579,1.3517992496490479,-,0.38243958353996277,1.0335556268692017,0.9630616307258606,1.1910648345947266,4.1876349449157715,5.2474684715271,0.06883492320775986,1.5264896154403687,1.0657044649124146,4.079371929168701,4.684052467346191,3.5001912117004395,1.5546374320983887,1.0798126459121704,38.10232162475586,2022,07,11
52,53,433,Surin (1),Northeastern,14.88333361,103.4500003,1.5240358114242554,0.664318859577179,0.15945109724998474,0.6390184760093689,1.2866482734680176,0.664318859577179,0.15945109724998474,0.6390184760093689,1.2866482734680176,-,0.0223663579672575,0.8300967812538147,0.5814553499221802,1.7812435626983643,4.182487487792969,5.420849800109863,0.06965099275112152,1.7749748229980469,1.508850336074829,2.985590696334839,4.177042484283447,4.249749183654785,2.942702293395996,1.1887933015823364,40.26279830932617,2022,07,11
53,54,431,Nakhon Ratchasima,Northeastern,14.96830556,102.0860278,-,-,-,-,-,-,-,-,-,-,0.08175215125083923,-,-,-,-,-,-,2.1655309200286865,0.700753927230835,1.5876117944717407,2.025498390197754,0.8706024289131165,0.48676562309265137,2.02584171295166,9.944356918334961,2022,07,11
54,55,435,Pakchong (1),Northeastern,14.64388889,101.3319444,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.3204530477523804,0.16775478422641754,0.8343366980552673,-,-,-,-,1.7752338647842407,0.5026517510414124,0.35438835620880127,4.954818248748779,2022,07,11
55,56,434,Chok Chai (2),Northeastern,14.71888889,102.1686111,-,-,-,-,-,-,-,-,-,-,0.3700016736984253,-,-,-,-,-,-,-,0.5032032132148743,2.733429431915283,2.741140842437744,3.1452839374542236,3.6864230632781982,2.7660465240478516,15.945528984069824,2022,07,11
