,ID,WMO_CODE,NAME_EN,Region,Latitude,Longitude,00Z,01Z,02Z,03Z,04Z,05Z,06Z,07Z,08Z,09Z,10Z,11Z,12Z,13Z,14Z,15Z,16Z,17Z,18Z,19Z,20Z,21Z,22Z,23Z,sum,year,month,day
0,1,300,Mae Hong Son,Northern,19.29897222,97.97577778,-,-,-,-,-,-,-,-,-,-,-,-,-,7.28000020980835,-,-,-,-,-,-,-,-,-,-,7.28000020980835,2020,06,15
1,2,325,Mae Sariang,Northern,18.16666667,97.93333333,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2020,06,15
2,3,303,Chiang Rai,Northern,19.96138889,99.88138889,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2020,06,15
3,4,304,Chiang Rai (1),Northern,19.87083333,99.78277778,-,-,-,-,-,-,-,-,-,-,-,0.10000000149011612,-,-,-,-,-,-,0.6499999761581421,-,-,-,-,-,0.75,2020,06,15
4,5,310,Phayao,Northern,19.13333333,99.9,-,-,-,-,-,-,-,-,-,1.7400000095367432,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.7400000095367432,2020,06,15
5,6,327,Chiang Mai,Northern,18.79,98.97694444,-,-,-,-,-,-,-,-,-,-,-,-,3.0399999618530273,-,-,-,-,-,-,-,-,-,-,-,3.0399999618530273,2020,06,15
6,7,302,Doi Angkhlang,Northern,19.93138889,99.04833333,-,-,-,-,-,-,-,-,-,-,-,3.2699999809265137,0.14000000059604645,0.5400000214576721,-,-,-,-,-,-,-,-,-,-,3.950000047683716,2020,06,15
7,8,331,Nan,Northern,18.77972222,100.7777778,-,-,-,-,-,-,-,-,0.75,0.10000000149011612,-,-,-,-,-,-,-,-,-,-,-,-,-,0.800000011920929,1.6500000953674316,2020,06,15
8,9,333,Nan (1),Northern,18.86666667,100.75,0.8999999761581421,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.409999966621399,2.309999942779541,2020,06,15
9,10,315,Tha Wang Pha (2),Northern,19.11055556,100.8025,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2020,06,15
10,11,307,Thung Chang (2),Northern,19.41194444,100.8835278,-,3.390000104904175,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.390000104904175,2020,06,15
11,12,329,Lamphun,Northern,18.56666667,99.03333333,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.3299999237060547,-,-,-,-,-,-,-,-,-,2.3299999237060547,2020,06,15
12,13,328,Lampang,Northern,18.33333333,99.51666667,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2020,06,15
13,14,334,Lampang (1),Northern,18.31666667,99.28333333,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2020,06,15
14,15,324,Thoen,Northern,17.63661111,99.24475,-,-,-,-,-,-,-,-,-,-,1.1200000047683716,0.5400000214576721,3.059999942779541,-,-,-,-,-,-,-,-,-,-,-,4.720000267028809,2020,06,15
15,16,330,Phrae,Northern,18.16666667,100.1666667,-,-,-,-,-,-,-,-,1.5499999523162842,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.5499999523162842,2020,06,15
16,17,351,Uttaradit,Northern,17.61666667,100.1000028,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.630000114440918,-,0.5299999713897705,-,-,-,3.1600000858306885,2020,06,15
17,18,372,Sukhothai,Northern,17.10611111,99.8,-,0.4099999964237213,-,-,-,0.029999999329447746,0.6499999761581421,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0899999141693115,2020,06,15
