,ID,WMO_CODE,NAME_EN,Region,Latitude,Longitude,00Z,01Z,02Z,03Z,04Z,05Z,06Z,07Z,08Z,09Z,10Z,11Z,12Z,13Z,14Z,15Z,16Z,17Z,18Z,19Z,20Z,21Z,22Z,23Z,sum,year,month,day
0,1,300,Mae Hong Son,Northern,19.29897222,97.97577778,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022,08,14
1,2,325,Mae Sariang,Northern,18.16666667,97.93333333,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022,08,14
2,3,303,Chiang Rai,Northern,19.96138889,99.88138889,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022,08,14
3,4,304,Chiang Rai (1),Northern,19.87083333,99.78277778,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022,08,14
4,5,310,Phayao,Northern,19.13333333,99.9,-,-,-,-,-,-,-,-,-,4.389999866485596,1.4900000095367432,-,-,-,-,-,-,-,-,-,-,-,-,-,5.880000114440918,2022,08,14
5,6,327,Chiang Mai,Northern,18.79,98.97694444,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022,08,14
6,7,302,Doi Angkhlang,Northern,19.93138889,99.04833333,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022,08,14
7,8,331,Nan,Northern,18.77972222,100.7777778,-,-,-,-,-,-,-,-,1.8600000143051147,3.869999885559082,2.9700000286102295,1.440000057220459,1.8200000524520874,0.019999999552965164,-,-,-,-,-,-,-,-,-,-,11.979999542236328,2022,08,14
8,9,333,Nan (1),Northern,18.86666667,100.75,-,-,-,-,-,-,-,-,2.259999990463257,5.460000038146973,4.170000076293945,2.1700000762939453,1.2300000190734863,0.019999999552965164,-,-,-,-,-,-,-,-,-,-,15.310001373291016,2022,08,14
9,10,315,Tha Wang Pha (2),Northern,19.11055556,100.8025,-,-,-,-,-,-,-,-,17.06999969482422,6.260000228881836,3.569999933242798,0.8500000238418579,0.07000000029802322,-,-,-,-,-,-,-,-,-,-,-,27.81999969482422,2022,08,14
10,11,307,Thung Chang (2),Northern,19.41194444,100.8835278,-,-,-,-,-,-,-,-,1.6100000143051147,0.05000000074505806,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.659999966621399,2022,08,14
11,12,329,Lamphun,Northern,18.56666667,99.03333333,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022,08,14
12,13,328,Lampang,Northern,18.33333333,99.51666667,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022,08,14
13,14,334,Lampang (1),Northern,18.31666667,99.28333333,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022,08,14
14,15,324,Thoen,Northern,17.63661111,99.24475,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022,08,14
15,16,330,Phrae,Northern,18.16666667,100.1666667,-,-,-,-,-,-,2.3399999141693115,1.7799999713897705,-,1.0399999618530273,1.5700000524520874,1.9299999475479126,0.30000001192092896,-,-,-,-,-,-,-,-,-,-,-,8.960000038146973,2022,08,14
16,17,351,Uttaradit,Northern,17.61666667,100.1000028,-,-,-,-,-,-,-,-,-,-,0.550000011920929,2.4100000858306885,2.940000057220459,-,-,-,-,-,-,-,-,-,-,-,5.900000095367432,2022,08,14
17,18,372,Sukhothai,Northern,17.10611111,99.8,-,-,-,-,-,-,-,-,-,0.07000000029802322,-,-,0.30000001192092896,-,-,-,-,-,-,-,-,-,-,-,0.3700000047683716,2022,08,14
18,19,373,Si Samrong (1),Northern,17.77361111,99.24944444,-,-,-,-,-,-,-,-,-,-,-,-,0.009999999776482582,-,-,-,-,-,-,-,-,-,-,-,0.009999999776482582,2022,08,14
19,20,377,Bhumibol Dam,Northern,17.24391667,99.00252778,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022,08,14
20,21,376,Tak,Northern,16.87836111,99.14336111,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022,08,14
21,22,375,Mae Sot,Northern,16.65916667,98.55086111,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022,08,14
22,23,385,Umphang (2),Northern,16.02472222,98.86444444,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.090000152587891,-,-,-,-,-,-,-,-,-,4.090000152587891,2022,08,14
23,24,387,Doi Muser (1),Northern,16.75,98.93333611,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022,08,14
24,25,378,Phitsanulok,Northern,16.79622222,100.2759444,-,-,-,-,-,-,-,-,-,0.09000000357627869,-,-,0.800000011920929,-,0.27000001072883606,0.05999999865889549,-,-,-,-,0.07000000029802322,-,-,-,1.2899999618530273,2022,08,14
25,26,374,Lom Sak (2),Northern,16.77363889,101.2494722,-,-,-,-,-,-,-,-,-,0.7900000214576721,0.05999999865889549,-,-,1.4199999570846558,2.2799999713897705,1.2699999809265137,0.8100000023841858,-,-,-,-,-,-,-,6.630000114440918,2022,08,14
26,27,379,Phetchabun,Northern,16.43333611,101.15,-,-,-,-,-,-,-,-,-,4.920000076293945,1.8300000429153442,-,-,-,-,-,0.8100000023841858,0.3499999940395355,0.7300000190734863,-,-,-,-,-,8.639999389648438,2022,08,14
27,28,413,Wichian Buri (2),Northern,15.65694444,101.1083333,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.550000011920929,2.509999990463257,-,-,3.059999942779541,2022,08,14
28,29,380,Kamphaeng Phet,Northern,16.48680556,99.52697222,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022,08,14
29,30,386,Phicit (1),Northern,16.33861111,100.3671111,-,-,-,-,-,-,-,-,-,-,-,0.25,-,-,-,0.12999999523162842,-,-,-,-,-,-,-,-,0.3799999952316284,2022,08,14
30,31,352,Nong Khai,Northeastern,17.86716667,102.7330278,-,-,-,-,-,-,-,0.6200000047683716,2.6500000953674316,4.900000095367432,0.009999999776482582,2.2899999618530273,7.610000133514404,12.600000381469727,5.690000057220459,0.4300000071525574,-,-,-,-,-,-,-,-,36.79999923706055,2022,08,14
31,32,353,Loei,Northeastern,17.45,101.7333333,-,-,-,-,-,-,-,-,2.200000047683716,-,-,0.03999999910593033,5.949999809265137,4.849999904632568,4.039999961853027,8.289999961853027,1.9800000190734863,-,-,-,-,-,-,-,27.349998474121094,2022,08,14
32,33,350,Loei (1),Northeastern,17.4,101.7333333,-,-,-,-,-,-,-,-,3.690000057220459,0.6100000143051147,-,0.7400000095367432,6.920000076293945,4.210000038146973,3.3499999046325684,7.820000171661377,3.3299999237060547,-,-,-,-,-,-,-,30.670000076293945,2022,08,14
33,34,354,Udon Thani,Northeastern,17.38333333,102.8,-,-,-,-,10.069999694824219,2.190000057220459,7.659999847412109,8.619999885559082,1.3300000429153442,2.819999933242798,2.1700000762939453,0.03999999910593033,-,-,0.2800000011920929,0.8700000047683716,0.05000000074505806,-,-,-,-,1.6799999475479126,0.8100000023841858,-,38.59000015258789,2022,08,14
34,35,357,Nakhon Phanom,Northeastern,17.41083333,104.7825,-,-,-,2.1700000762939453,-,-,-,-,-,2.2799999713897705,0.6399999856948853,-,-,-,-,-,-,-,-,-,-,-,-,-,5.089999675750732,2022,08,14
35,36,358,Nakhon Phanom (1),Northeastern,17.44305556,104.7736111,-,-,-,1.159999966621399,-,-,-,-,0.800000011920929,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.9600000381469727,2022,08,14
36,37,356,Sakon Nakhon,Northeastern,17.15000278,104.1333361,-,-,-,-,2.1700000762939453,-,-,-,-,4.050000190734863,1.4700000286102295,0.14000000059604645,-,-,-,-,-,-,-,-,-,-,-,-,7.830000400543213,2022,08,14
37,38,355,Sakon Nakhon (1),Northeastern,17.12502778,104.061,-,-,-,-,1.409999966621399,-,-,-,0.17000000178813934,7.090000152587891,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.670000076293945,2022,08,14
38,39,360,Nong Bua Lumphu,Northeastern,17.2325,102.4294444,-,-,-,-,-,1.590000033378601,2.109999895095825,2.700000047683716,2.940000057220459,0.4099999964237213,1.399999976158142,0.28999999165534973,-,-,0.6600000262260437,2.5,1.409999966621399,-,-,-,-,-,-,-,16.010000228881836,2022,08,14
39,40,383,Mukdahan,Northeastern,16.54955556,104.7308889,-,-,-,-,-,-,-,1.3700000047683716,5.599999904632568,7.389999866485596,2.4000000953674316,0.5799999833106995,-,-,-,-,-,-,-,-,-,-,-,-,17.34000015258789,2022,08,14
40,41,381,Khon Kaen,Northeastern,16.46111111,102.7897222,2.130000114440918,-,-,-,-,-,0.029999999329447746,1.350000023841858,-,0.6100000143051147,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.119999885559082,2022,08,14
41,42,384,Tha Pra (1),Northeastern,16.333,102.8166667,-,-,-,-,-,-,-,0.6399999856948853,-,-,-,-,0.4399999976158142,-,-,-,-,-,-,-,-,-,-,-,1.0799999237060547,2022,08,14
42,43,382,Kosum Phisai (2),Northeastern,16.24722222,103.0680556,-,-,-,-,-,-,-,-,-,-,-,-,0.800000011920929,-,-,-,-,-,-,-,-,-,2.069999933242798,-,2.869999885559082,2022,08,14
43,44,390,Kamalasai (2),Northeastern,16.3325,103.5883333,-,-,-,-,-,-,-,-,-,0.8399999737739563,0.7300000190734863,0.029999999329447746,0.4399999976158142,-,-,-,-,-,-,-,-,-,-,-,2.0399999618530273,2022,08,14
44,45,405,Roi Et,Northeastern,16.05000028,103.68333359999998,-,-,-,-,-,-,-,-,-,-,-,5.760000228881836,2.2799999713897705,9.229999542236328,0.11999999731779099,0.5,-,-,-,-,-,-,-,-,17.89000129699707,2022,08,14
45,46,404,Roi Et (1),Northeastern,16.07322222,103.6084444,-,-,-,-,-,-,-,-,-,-,-,5.130000114440918,1.4700000286102295,15.479999542236328,0.5,0.8399999737739563,-,-,-,-,-,-,-,-,23.420000076293945,2022,08,14
46,47,403,Chaiyaphum,Northeastern,15.80000028,102.0333336,0.25999999046325684,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.809999942779541,3.069999933242798,2022,08,14
47,48,407,Ubon Ratchathani,Northeastern,15.25000278,104.8666694,-,-,-,-,-,-,-,-,-,-,-,-,22.6299991607666,0.14000000059604645,5.329999923706055,-,15.520000457763672,37.31999969482422,17.06999969482422,1.4500000476837158,-,-,-,-,99.45999908447266,2022,08,14
48,49,408,Ubon Ratchathani (1),Northeastern,15.24072222,105.01966670000002,-,-,-,-,-,-,-,-,-,-,-,-,-,2.2699999809265137,2.5199999809265137,-,12.550000190734863,37.31999969482422,14.819999694824219,0.4399999976158142,-,-,-,-,69.91999816894531,2022,08,14
49,50,409,Si Saket (1),Northeastern,15.00000028,104.0500003,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.7799999713897705,-,4.190000057220459,3.4800000190734863,8.960000038146973,3.8299999237060547,5.670000076293945,0.4699999988079071,-,-,28.3799991607666,2022,08,14
50,51,416,Tha Tum (2),Northeastern,15.31666694,103.68333359999998,4.590000152587891,-,-,-,-,-,-,-,-,-,-,-,-,0.20000000298023224,-,-,-,3.2200000286102295,8.699999809265137,5.909999847412109,2.5199999809265137,0.05000000074505806,-,-,25.189998626708984,2022,08,14
51,52,432,Surin,Northeastern,14.88333361,103.5000003,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.7100000381469727,3.4100000858306885,1.8600000143051147,4.449999809265137,-,-,11.430000305175781,2022,08,14
52,53,433,Surin (1),Northeastern,14.88333361,103.4500003,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.5399999618530273,2.890000104904175,1.3799999952316284,2.9200000762939453,-,-,8.730000495910645,2022,08,14
