,ID,WMO_CODE,NAME_EN,Region,Latitude,Longitude,00Z,01Z,02Z,04Z,05Z,06Z,07Z,11Z,12Z,13Z,14Z,15Z,16Z,17Z,18Z,19Z,20Z,22Z,23Z,SUM,year,month,day
0,1,300,Mae Hong Son,Northern,19.29897222,97.97577778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,05,28
1,2,325,Mae Sariang,Northern,18.16666667,97.93333333,0.0,0.0,0.0,0.0,0.0,5.25,0.0,0.0,8.75,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.55,2020,05,28
2,3,303,Chiang Rai,Northern,19.96138889,99.88138889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2020,05,28
3,4,304,Chiang Rai (1),Northern,19.87083333,99.78277778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,05,28
4,5,310,Phayao,Northern,19.13333333,99.9,0.0,0.0,0.0,0.0,0.0,3.12,72.5,0.0,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.17,2020,05,28
5,6,327,Chiang Mai,Northern,18.79,98.97694444,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2020,05,28
6,7,302,Doi Angkhlang,Northern,19.93138889,99.04833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,05,28
7,8,331,Nan,Northern,18.77972222,100.7777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,2.37,0.85,1.35,0.0,0.0,0.0,0.0,0.0,4.92,2020,05,28
8,9,333,Nan (1),Northern,18.86666667,100.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,4.12,2.12,0.65,1.45,0.0,0.0,0.0,0.0,0.0,8.440000000000001,2020,05,28
9,10,315,Tha Wang Pha (2),Northern,19.11055556,100.8025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,0.0,0.0,3.12,2.62,1.15,0.0,0.0,0.0,0.0,0.0,0.1,8.340000001490116,2020,05,28
10,11,307,Thung Chang (2),Northern,19.41194444,100.8835278,0.0,0.0,0.0,0.0,0.0,0.0,16.5,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,16.6,2020,05,28
11,12,329,Lamphun,Northern,18.56666667,99.03333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2020,05,28
12,13,328,Lampang,Northern,18.33333333,99.51666667,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.25,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.250000001490116,2020,05,28
13,14,334,Lampang (1),Northern,18.31666667,99.28333333,0.0,0.0,0.0,0.1,0.35,0.25,0.0,0.1,2.62,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5200000000000005,2020,05,28
14,15,324,Thoen,Northern,17.63661111,99.24475,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2020,05,28
15,16,330,Phrae,Northern,18.16666667,100.1666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,5.25,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.65,2020,05,28
16,17,351,Uttaradit,Northern,17.61666667,100.1000028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,4.87,10.5,0.0,0.45,0.0,0.0,0.0,0.25,0.0,0.0,0.0,16.92,2020,05,28
17,18,372,Sukhothai,Northern,17.10611111,99.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,05,28
18,19,373,Si Samrong (1),Northern,17.77361111,99.24944444,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2020,05,28
19,20,377,Bhumibol Dam,Northern,17.24391667,99.00252778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,05,28
20,21,376,Tak,Northern,16.87836111,99.14336111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,05,28
21,22,375,Mae Sot,Northern,16.65916667,98.55086111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,05,28
22,23,385,Umphang (2),Northern,16.02472222,98.86444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2020,05,28
23,24,387,Doi Muser (1),Northern,16.75,98.93333611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,05,28
24,25,378,Phitsanulok,Northern,16.79622222,100.2759444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2020,05,28
25,26,374,Lom Sak (2),Northern,16.77363889,101.2494722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.1,0.75,0.0,0.0,0.0,0.55,0.0,0.0,0.0,2.05,2020,05,28
26,27,379,Phetchabun,Northern,16.43333611,101.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.55,1.45,2.37,0.0,0.0,0.0,2.87,0.0,0.0,0.1,7.690000001490117,2020,05,28
27,28,413,Wichian Buri (2),Northern,15.65694444,101.1083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,2020,05,28
28,29,380,Kamphaeng Phet,Northern,16.48680556,99.52697222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,05,28
29,30,386,Phicit (1),Northern,16.33861111,100.3671111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,1.95,2.12,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.92,2020,05,28
30,31,352,Nong Khai,Northeastern,17.86716667,102.7330278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.1,0.0,0.0,0.1,0.0,18.5,4.87,4.62,3.37,0.45,0.0,32.760000000000005,2020,05,28
31,32,353,Loei,Northeastern,17.45,101.7333333,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.04,0.0,3.37,0.45,0.0,0.0,0.0,0.0,0.0,0.95,0.0,6.010000000000001,2020,05,28
32,33,350,Loei (1),Northeastern,17.4,101.7333333,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.35,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85,2020,05,28
33,34,354,Udon Thani,Northeastern,17.38333333,102.8,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,39.5,2.12,3.12,2.87,1.75,0.1,0.0,49.56,2020,05,28
34,35,357,Nakhon Phanom,Northeastern,17.41083333,104.7825,1.55,32.5,0.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25,0.1,43.15000000149011,2020,05,28
35,36,358,Nakhon Phanom (1),Northeastern,17.44305556,104.7736111,3.87,18.5,0.55,2.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.62,0.25,29.91,2020,05,28
36,37,356,Sakon Nakhon,Northeastern,17.15000278,104.1333361,0.25,7.25,0.1,0.35,2.12,0.0,0.0,0.95,0.65,0.1,0.25,0.0,0.75,0.65,0.25,2.62,3.62,0.75,0.1,20.76000000149012,2020,05,28
37,38,355,Sakon Nakhon (1),Northeastern,17.12502778,104.061,0.65,13.5,0.55,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85,0.0,0.1,0.1,15.5,0.35,0.0,32.7,2020,05,28
38,39,360,Nong Bua Lumphu,Northeastern,17.2325,102.4294444,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.1,0.1,0.0,0.0,8.75,0.0,0.25,0.35,1.75,2.12,0.0,0.0,13.77,2020,05,28
39,40,383,Mukdahan,Northeastern,16.54955556,104.7308889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,05,28
40,41,381,Khon Kaen,Northeastern,16.46111111,102.7897222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.62,1.25,0.75,1.45,0.75,0.35,0.0,0.0,0.0,7.17,2020,05,28
41,42,384,Tha Pra (1),Northeastern,16.333,102.8166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85,5.25,11.5,5.75,5.25,1.65,0.95,0.25,0.0,0.0,32.45,2020,05,28
42,43,382,Kosum Phisai (2),Northeastern,16.24722222,103.0680556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,2.12,0.75,1.35,0.55,0.0,0.0,0.0,5.62,2020,05,28
43,44,390,Kamalasai (2),Northeastern,16.3325,103.5883333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,2.37,0.0,0.0,0.1,0.0,0.0,0.0,3.0200000000000005,2020,05,28
44,45,405,Roi Et,Northeastern,16.05000028,103.68333359999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.55,2020,05,28
45,46,404,Roi Et (1),Northeastern,16.07322222,103.6084444,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.35,1.35,0.0,0.0,0.0,0.0,0.0,0.0,1.8000000000000005,2020,05,28
46,47,403,Chaiyaphum,Northeastern,15.80000028,102.0333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.35,1.15,0.75,0.55,0.55,0.1,0.0,0.0,0.0,0.0,3.9,2020,05,28
47,48,407,Ubon Ratchathani,Northeastern,15.25000278,104.8666694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,2020,05,28
48,49,408,Ubon Ratchathani (1),Northeastern,15.24072222,105.01966670000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,2020,05,28
49,50,409,Si Saket (1),Northeastern,15.00000028,104.0500003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,2020,05,28
50,51,416,Tha Tum (2),Northeastern,15.31666694,103.68333359999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,2020,05,28
51,52,432,Surin,Northeastern,14.88333361,103.5000003,0.0,0.0,0.0,0.0,0.0,0.0,1.95,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,2020,05,28
52,53,433,Surin (1),Northeastern,14.88333361,103.4500003,0.0,0.0,0.0,0.0,0.0,0.0,2.37,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,2.62,2020,05,28
53,54,431,Nakhon Ratchasima,Northeastern,14.96830556,102.0860278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,05,28
54,55,435,Pakchong (1),Northeastern,14.64388889,101.3319444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.25,5.25,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.25,2020,05,28
55,56,434,Chok Chai (2),Northeastern,14.71888889,102.1686111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,05,28
56,57,437,Buri Ram,Northeastern,15.22575,103.2480833,0.0,0.0,0.0,0.0,0.0,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,2020,05,28
57,58,436,Nang Rong (2),Northeastern,14.58333361,102.8000003,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.25,0.25,0.1,0.0,0.35,0.25,0.0,0.0,0.25,0.0,0.0,0.0,1.5499999999999998,2020,05,28
58,59,400,Nakhon Sawan,Central,15.67183333,100.1323611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.25,0.45,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,2020,05,28
59,60,401,Takfa (1),Central,15.34944444,100.5302778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.45,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,2020,05,28
60,61,402,Chai Nat,Central,15.15000278,100.18333359999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,2020,05,28
61,62,410,U Thai Thani,Central,15.37416667,100.0388889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5499999999999999,2020,05,28
62,63,415,Ayuthaya (1),Central,14.53472222,100.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,05,28
63,64,418,Bua Chum (2),Central,15.10000028,101.6166669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.35,0.35,0.65,0.0,0.0,0.0,0.0,0.0,0.0,1.6,2020,05,28
64,65,426,Lop Buri,Central,14.79972222,100.6283333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,05,28
65,66,425,Suphan Buri,Central,14.47444444,100.1388889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,2020,05,28
66,67,427,Uthong (1),Central,14.30361111,99.86472222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.95,0.25,0.55,1.15,0.1,0.0,0.0,0.0,0.0,0.0,0.0,3.65,2020,05,28
67,68,421,Thong Pha Phum,Central,14.74222222,98.63638889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,05,28
68,69,450,Kanchanaburi,Central,14.0225,99.53583333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,2020,05,28
69,70,464,Ratcha Buri (1),Central,13.48930556,99.79238889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2020,05,28
70,71,451,Kampheang Saen (1),Central,14.01166667,99.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.62,0.85,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.82,2020,05,28
71,72,419,Pathum Thani (1),Central,14.1,100.616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.75,0.35,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,8.2,2020,05,28
72,73,420,Samut Prakan,Central,13.51666694,100.7616667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.62,2020,05,28
73,74,429,Suvarnabhumi Airport,Central,13.68638889,100.7675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,2020,05,28
74,75,456,Don Muang Airport,Central,13.91916667,100.605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.1,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2020,05,28
75,76,455,Sirikit Center,Central,13.72638889,100.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,05,28
76,77,454,Bangkok Port,Central,13.70694444,100.5680556,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2020,05,28
77,78,453,Bang Na (1),Central,13.66638889,100.6061111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,05,28
78,79,457,Bangkok Pilot,Central,13.37722222,100.5994444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,05,28
79,80,430,Prachin Buri,Eastern,14.05091667,101.3693056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.55,2.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.62,2020,05,28
80,81,439,Kabin Buri (2),Eastern,13.98333361,101.7072222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,8.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15,0.0,10.35,2020,05,28
81,82,440,Sa Kaeo (2),Eastern,13.78888889,102.0347222,0.0,0.0,0.0,0.0,0.0,0.0,1.15,1.04,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.87,6.509999885559083,2020,05,28
82,83,462,Aranyaprathet,Eastern,13.70000028,102.5833336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,05,28
83,84,458,Chachoengsao (1),Eastern,13.51555556,101.4583333,0.0,0.0,0.0,0.0,0.0,28.5,0.0,0.0,0.0,0.0,0.0,6.25,1.04,0.0,0.0,0.0,0.0,0.45,5.75,41.99,2020,05,28
84,85,459,Chon Buri,Eastern,13.36666694,100.9833336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.62,0.1,2.720000001490116,2020,05,28
85,86,463,Laem Chabang,Eastern,13.07694444,100.8758333,0.0,0.0,0.0,0.0,0.0,23.5,0.0,0.0,0.0,0.0,0.45,16.5,0.55,0.0,0.0,0.0,0.1,1.75,0.25,43.1,2020,05,28
86,87,460,Ko Sichang,Eastern,13.16166667,100.8019444,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,2020,05,28
87,88,461,Pattaya,Eastern,12.92,100.8694444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.45,1.75,0.0,10.5,13.25,2020,05,28
88,89,477,Sattahip,Eastern,12.68333361,100.9833336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85,0.0,0.0,0.0,1.85,2020,05,28
89,90,478,Rayong,Eastern,12.61702778,101.34075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.95,0.0,2.87,1.85,6.670000023841858,2020,05,28
90,91,479,Huai Pong (1),Eastern,12.73333361,101.1333336,0.0,0.0,0.0,0.0,6.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,8.0,2020,05,28
91,92,480,Chanthaburi,Eastern,12.61666694,102.1133333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.35,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.85,3.050000023841858,2020,05,28
92,93,481,Pluei (1),Eastern,12.50861111,102.1730556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.75,8.3,2020,05,28
93,94,501,Khlong Yai,Eastern,11.76666694,102.8833336,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2020,05,28
94,95,465,Phetchaburi,Southern EastCoast,12.99930556,100.0605278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,05,28
95,96,474,Nong Plub (1),Southern EastCoast,12.58925,99.73461111,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2020,05,28
96,97,475,Hua Hin,Southern EastCoast,12.57797222,99.95372222,0.0,0.0,0.0,0.1,6.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.85,2020,05,28
97,98,500,Prachuap Khiri Khan,Southern EastCoast,11.83497222,99.81047222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,05,28
98,99,517,Chumphon,Southern EastCoast,10.49875,99.18847222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,1.350000023841858,2020,05,28
99,100,520,Sawee (1),Southern EastCoast,10.33063889,99.09186111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,05,28
100,101,551,Surat Thani,Southern EastCoast,9.1335,99.15213889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,3.12,0.75,1.15,0.0,0.0,0.0,0.0,0.0,5.27,2020,05,28
101,102,555,Surat Thani (1),Southern EastCoast,9.144805556,99.63361111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.45,0.1,0.0,0.0,1.5,2020,05,28
102,103,550,Ko Samui,Southern EastCoast,9.466666667,100.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04,0.0,0.0,0.0,0.0,1.04,2020,05,28
103,104,556,Prasang (2),Southern EastCoast,8.572083333,99.25519444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85,2.62,0.45,0.35,0.0,0.0,0.0,5.2700000000000005,2020,05,28
104,105,557,Chawang (2),Southern EastCoast,8.424694444,99.50661111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25,4.37,1.75,1.04,0.25,1.55,0.25,0.0,0.0,16.46,2020,05,28
105,106,552,Nakhon Si Thammarat,Southern EastCoast,8.537777777999999,99.94722222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,3.37,0.1,0.0,0.0,0.0,3.72,2020,05,28
106,107,554,Nakhon Si Thammarat (1),Southern EastCoast,8.359305556,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,05,28
