,ID,WMO_CODE,NAME_EN,Region,Latitude,Longitude,00Z,01Z,02Z,03Z,04Z,05Z,06Z,07Z,08Z,09Z,10Z,11Z,12Z,13Z,14Z,15Z,16Z,17Z,18Z,19Z,20Z,21Z,22Z,23Z,sum,year,month,day
0,1,300,Mae Hong Son,Northern,19.29897222,97.97577778,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2021,06,28
1,2,325,Mae Sariang,Northern,18.16666667,97.93333333,-,-,-,0.10000000149011612,0.3499999940395355,1.149999976158142,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.5999999046325684,2021,06,28
2,3,303,Chiang Rai,Northern,19.96138889,99.88138889,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.25,-,-,-,-,-,-,-,-,0.25,5.5,2021,06,28
3,4,304,Chiang Rai (1),Northern,19.87083333,99.78277778,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.75,-,0.10000000149011612,0.8500000238418579,2021,06,28
4,5,310,Phayao,Northern,19.13333333,99.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2021,06,28
5,6,327,Chiang Mai,Northern,18.79,98.97694444,-,-,-,-,-,-,-,-,1.850000023841858,1.4500000476837158,0.3499999940395355,-,-,-,1.4500000476837158,-,-,-,-,-,-,-,-,-,5.100000381469727,2021,06,28
6,7,302,Doi Angkhlang,Northern,19.93138889,99.04833333,0.10000000149011612,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.44999998807907104,-,-,-,-,-,-,0.550000011920929,2021,06,28
7,8,331,Nan,Northern,18.77972222,100.7777778,-,-,-,-,-,-,-,-,-,18.5,3.619999885559082,0.25,-,-,-,-,-,-,-,-,-,-,-,-,22.369998931884766,2021,06,28
8,9,333,Nan (1),Northern,18.86666667,100.75,-,-,-,-,-,-,-,-,-,0.10000000149011612,3.869999885559082,0.25,-,-,-,-,-,-,-,-,-,-,-,-,4.21999979019165,2021,06,28
9,10,315,Tha Wang Pha (2),Northern,19.11055556,100.8025,-,-,-,-,-,-,-,-,3.369999885559082,-,0.25,-,-,1.149999976158142,-,-,8.75,0.44999998807907104,-,-,-,-,-,-,13.970000267028809,2021,06,28
10,11,307,Thung Chang (2),Northern,19.41194444,100.8835278,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,160.5,19.5,-,-,-,-,-,-,-,180.0,2021,06,28
11,12,329,Lamphun,Northern,18.56666667,99.03333333,-,-,-,-,-,-,-,-,-,-,0.6499999761581421,-,-,-,-,-,-,-,-,-,-,-,-,-,0.6499999761581421,2021,06,28
12,13,328,Lampang,Northern,18.33333333,99.51666667,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.350000023841858,-,-,-,-,-,-,1.350000023841858,2021,06,28
13,14,334,Lampang (1),Northern,18.31666667,99.28333333,-,-,-,-,-,-,-,-,-,-,-,-,-,2.369999885559082,-,-,-,0.949999988079071,0.10000000149011612,-,-,-,-,-,3.419999837875366,2021,06,28
14,15,324,Thoen,Northern,17.63661111,99.24475,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2021,06,28
15,16,330,Phrae,Northern,18.16666667,100.1666667,-,-,-,-,-,-,-,-,1.649999976158142,8.75,0.44999998807907104,-,-,0.3499999940395355,6.25,-,9.75,0.6499999761581421,0.10000000149011612,-,-,-,-,-,27.950000762939453,2021,06,28
16,17,351,Uttaradit,Northern,17.61666667,100.1000028,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11.5,1.0399999618530273,0.10000000149011612,-,-,-,-,-,12.640000343322754,2021,06,28
17,18,372,Sukhothai,Northern,17.10611111,99.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2021,06,28
18,19,373,Si Samrong (1),Northern,17.77361111,99.24944444,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.550000011920929,0.25,-,-,-,-,-,0.800000011920929,2021,06,28
19,20,377,Bhumibol Dam,Northern,17.24391667,99.00252778,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2021,06,28
20,21,376,Tak,Northern,16.87836111,99.14336111,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2021,06,28
21,22,375,Mae Sot,Northern,16.65916667,98.55086111,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2021,06,28
22,23,385,Umphang (2),Northern,16.02472222,98.86444444,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2021,06,28
23,24,387,Doi Muser (1),Northern,16.75,98.93333611,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2021,06,28
24,25,378,Phitsanulok,Northern,16.79622222,100.2759444,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2021,06,28
25,26,374,Lom Sak (2),Northern,16.77363889,101.2494722,-,-,-,-,0.25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.25,2021,06,28
26,27,379,Phetchabun,Northern,16.43333611,101.15,-,-,-,-,-,-,-,0.10000000149011612,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.10000000149011612,2021,06,28
27,28,413,Wichian Buri (2),Northern,15.65694444,101.1083333,-,-,-,-,0.10000000149011612,0.25,-,-,-,-,-,1.25,-,0.10000000149011612,-,0.10000000149011612,-,-,-,-,-,-,-,-,1.8000000715255737,2021,06,28
28,29,380,Kamphaeng Phet,Northern,16.48680556,99.52697222,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2021,06,28
29,30,386,Phicit (1),Northern,16.33861111,100.3671111,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2021,06,28
30,31,352,Nong Khai,Northeastern,17.86716667,102.7330278,-,-,-,-,-,-,-,-,5.25,5.75,3.119999885559082,7.75,-,-,0.25,0.44999998807907104,1.0399999618530273,2.369999885559082,-,-,-,0.10000000149011612,-,-,26.079999923706055,2021,06,28
31,32,353,Loei,Northeastern,17.45,101.7333333,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3499999940395355,0.3499999940395355,-,-,-,-,-,0.25,-,-,0.949999988079071,2021,06,28
32,33,350,Loei (1),Northeastern,17.4,101.7333333,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3499999940395355,-,-,-,-,-,0.3499999940395355,-,-,0.699999988079071,2021,06,28
33,34,354,Udon Thani,Northeastern,17.38333333,102.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.6499999761581421,0.3499999940395355,-,-,-,-,-,-,1.0,2021,06,28
34,35,357,Nakhon Phanom,Northeastern,17.41083333,104.7825,0.25,0.75,-,0.10000000149011612,0.10000000149011612,-,-,-,-,-,-,-,-,-,-,0.10000000149011612,11.5,17.5,14.5,-,-,2.369999885559082,4.619999885559082,1.9500000476837158,53.73999786376953,2021,06,28
35,36,358,Nakhon Phanom (1),Northeastern,17.44305556,104.7736111,0.6499999761581421,0.44999998807907104,-,-,-,-,-,-,-,-,-,1.5499999523162842,-,0.10000000149011612,0.3499999940395355,-,8.25,35.5,10.5,-,-,3.869999885559082,2.369999885559082,0.75,64.33999633789062,2021,06,28
36,37,356,Sakon Nakhon,Northeastern,17.15000278,104.1333361,0.3499999940395355,0.25,-,-,0.10000000149011612,0.10000000149011612,-,-,-,2.119999885559082,-,-,-,0.25,-,0.10000000149011612,0.25,-,0.3499999940395355,-,-,0.6499999761581421,0.25,-,4.769999980926514,2021,06,28
37,38,355,Sakon Nakhon (1),Northeastern,17.12502778,104.061,-,-,-,-,0.10000000149011612,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.25,-,-,0.3499999940395355,2021,06,28
38,39,360,Nong Bua Lumphu,Northeastern,17.2325,102.4294444,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.119999885559082,1.149999976158142,-,-,-,-,-,4.269999980926514,2021,06,28
39,40,383,Mukdahan,Northeastern,16.54955556,104.7308889,0.10000000149011612,-,1.0399999618530273,0.6499999761581421,1.5499999523162842,1.149999976158142,-,0.10000000149011612,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.589999675750732,2021,06,28
40,41,381,Khon Kaen,Northeastern,16.46111111,102.7897222,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2021,06,28
41,42,384,Tha Pra (1),Northeastern,16.333,102.8166667,0.10000000149011612,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.10000000149011612,2021,06,28
42,43,382,Kosum Phisai (2),Northeastern,16.24722222,103.0680556,0.25,-,0.8500000238418579,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.100000023841858,2021,06,28
43,44,390,Kamalasai (2),Northeastern,16.3325,103.5883333,-,-,0.3499999940395355,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3499999940395355,2021,06,28
44,45,405,Roi Et,Northeastern,16.05000028,103.68333359999998,0.10000000149011612,-,-,-,0.25,0.3499999940395355,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.699999988079071,2021,06,28
45,46,404,Roi Et (1),Northeastern,16.07322222,103.6084444,-,-,-,0.25,0.3499999940395355,0.10000000149011612,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.7000000476837158,2021,06,28
46,47,403,Chaiyaphum,Northeastern,15.80000028,102.0333336,-,-,-,-,-,-,-,-,-,-,-,-,-,0.10000000149011612,0.10000000149011612,-,-,-,-,-,-,-,-,-,0.20000000298023224,2021,06,28
47,48,407,Ubon Ratchathani,Northeastern,15.25000278,104.8666694,0.8500000238418579,1.0399999618530273,-,-,-,-,-,0.44999998807907104,-,-,-,-,-,-,-,0.10000000149011612,-,-,0.3499999940395355,-,-,-,-,-,2.7899997234344482,2021,06,28
48,49,408,Ubon Ratchathani (1),Northeastern,15.24072222,105.01966670000002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2021,06,28
49,50,409,Si Saket (1),Northeastern,15.00000028,104.0500003,0.10000000149011612,-,-,0.10000000149011612,-,-,-,0.10000000149011612,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.30000001192092896,2021,06,28
50,51,416,Tha Tum (2),Northeastern,15.31666694,103.68333359999998,-,0.10000000149011612,0.44999998807907104,0.6499999761581421,0.10000000149011612,0.44999998807907104,-,0.550000011920929,0.25,0.44999998807907104,-,-,-,-,-,0.10000000149011612,-,-,-,-,-,-,-,-,3.0999999046325684,2021,06,28
51,52,432,Surin,Northeastern,14.88333361,103.5000003,-,-,1.850000023841858,0.10000000149011612,-,-,-,-,0.10000000149011612,5.75,0.10000000149011612,-,-,-,-,-,-,-,-,-,-,-,-,-,7.900000095367432,2021,06,28
52,53,433,Surin (1),Northeastern,14.88333361,103.4500003,-,-,0.44999998807907104,0.10000000149011612,-,-,-,-,-,1.25,-,-,-,-,-,-,0.3499999940395355,-,-,-,-,-,-,-,2.1499998569488525,2021,06,28
53,54,431,Nakhon Ratchasima,Northeastern,14.96830556,102.0860278,0.25,0.10000000149011612,0.25,-,-,-,-,0.10000000149011612,0.10000000149011612,0.10000000149011612,-,-,-,-,-,0.6499999761581421,3.119999885559082,2.119999885559082,0.3499999940395355,-,-,-,-,-,7.139999866485596,2021,06,28
54,55,435,Pakchong (1),Northeastern,14.64388889,101.3319444,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2021,06,28
55,56,434,Chok Chai (2),Northeastern,14.71888889,102.1686111,-,0.10000000149011612,0.3499999940395355,-,-,-,-,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.550000011920929,-,-,0.3499999940395355,0.550000011920929,0.949999988079071,0.3499999940395355,-,-,-,-,-,-,-,3.5,2021,06,28
56,57,437,Buri Ram,Northeastern,15.22575,103.2480833,0.6499999761581421,0.25,0.44999998807907104,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.3499999046325684,2021,06,28
57,58,436,Nang Rong (2),Northeastern,14.58333361,102.8000003,0.10000000149011612,-,-,-,0.10000000149011612,-,-,-,-,2.369999885559082,1.4500000476837158,1.350000023841858,-,0.10000000149011612,0.10000000149011612,-,0.44999998807907104,0.550000011920929,-,-,-,-,-,-,6.569999694824219,2021,06,28
58,59,400,Nakhon Sawan,Central,15.67183333,100.1323611,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2021,06,28
59,60,401,Takfa (1),Central,15.34944444,100.5302778,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2021,06,28
60,61,402,Chai Nat,Central,15.15000278,100.18333359999998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2021,06,28
61,62,410,U Thai Thani,Central,15.37416667,100.0388889,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2021,06,28
62,63,415,Ayuthaya (1),Central,14.53472222,100.725,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2021,06,28
63,64,418,Bua Chum (2),Central,15.10000028,101.6166669,0.10000000149011612,0.44999998807907104,1.149999976158142,0.25,0.44999998807907104,0.6499999761581421,-,0.10000000149011612,0.10000000149011612,0.44999998807907104,0.10000000149011612,-,-,-,-,-,-,-,-,-,-,-,-,-,3.799999952316284,2021,06,28
64,65,426,Lop Buri,Central,14.79972222,100.6283333,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2021,06,28
65,66,425,Suphan Buri,Central,14.47444444,100.1388889,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2021,06,28
66,67,427,Uthong (1),Central,14.30361111,99.86472222,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2021,06,28
67,68,421,Thong Pha Phum,Central,14.74222222,98.63638889,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2021,06,28
68,69,450,Kanchanaburi,Central,14.0225,99.53583333,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2021,06,28
69,70,464,Ratcha Buri (1),Central,13.48930556,99.79238889,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2021,06,28
70,71,451,Kampheang Saen (1),Central,14.01166667,99.97,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2021,06,28
71,72,419,Pathum Thani (1),Central,14.1,100.616,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2021,06,28
72,73,420,Samut Prakan,Central,13.51666694,100.7616667,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2021,06,28
73,74,429,Suvarnabhumi Airport,Central,13.68638889,100.7675,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2021,06,28
74,75,456,Don Muang Airport,Central,13.91916667,100.605,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2021,06,28
