ชื่อสถานี,ที่ตั้ง,เวลา,ฝนล่าสุด (มม.),lat,long
บ้านในแจะ,ต.พะโต๊ะ อ.พะโต๊ะ จ.ชุมพร,22:00 น.,45.5,9.745428370703605,98.75800251960754
บ้านทุ่งรวงทอง,ต.แม่ลาน้อย อ.แม่ลาน้อย จ.แม่ฮ่องสอน,00:00 น.,4,18.338043524218733,97.91999995708466
บ้านไตรสภาวคาม,ต.ปิงโค้ง อ.เชียงดาว จ.เชียงใหม่,07:00 น.,147,19.42965621679668,98.9790004491806
บ้านตาบาด,ต.บ่อพลอย อ.บ่อไร่ จ.ตราด,00:00 น.,0.5,12.601218641146362,102.567999958992
ผาชนะได (อช.ผาแต้ม),ต.นาโพธิ์กลาง อ.โขงเจียม จ.อุบลราชธานี,00:00 น.,37.8,15.6210839876549,105.61680257320404
อบต.ด่านชุมพล,ต.ด่านชุมพล อ.บ่อไร่ จ.ตราด,23:00 น.,0.6,12.444727581496986,102.63006627559662
บ้านจันทิ,ต.ท่ากุ่ม อ.เมืองตราด จ.ตราด,00:00 น.,3,12.294520989268896,102.61564671993256
บ้านคลองใหญ่,ต.จันทเขลม อ.เขาคิชฌกูฏ จ.จันทบุรี,00:00 น.,30,12.972159724378912,102.05771505832672
อบต.ขี้เหล็ก,ต.ขี้เหล็ก อ.เมืองอุบลราชธานี จ.อุบลราชธานี,00:00 น.,4.8,15.34234043702063,104.82157051563263
นครพนม,ต.ในเมือง อ.เมืองนครพนม จ.นครพนม,22:00 น.,0.9,17.410833254680195,104.7825014591217
นางรอง,ต.สะเดา อ.นางรอง จ.บุรีรัมย์,19:00 น.,1.4,14.583334258384767,102.80000030994415
ห้วยแร้ง,ต.ห้วยแร้ง อ.เมืองตราด จ.ตราด,00:00 น.,1.2,12.36929448720601,102.54332363605499
สะพานข้ามคลองเกรียงไกร,ต.บางเคียน อ.ชุมแสง จ.นครสวรรค์,14:00 น.,3,15.843174832021225,100.2114862203598
อบต.ขุนซ่อง,ต.ขุนซ่อง อ.แก่งหางแมว จ.จันทบุรี,00:00 น.,29.6,13.07400215476953,101.93758964538574
บ้านวังยายมุก,ต.คลองพลู อ.เขาคิชฌกูฏ จ.จันทบุรี,00:00 น.,39.5,12.927167674091777,102.01600134372711
แก่งหางแมว,ต.แก่งหางแมว อ.แก่งหางแมว จ.จันทบุรี,00:00 น.,1.2,12.986785878437146,101.89962029457092
บ้านน้ำหรา,ต.ทุ่งนุ้ย อ.ควนกาหลง จ.สตูล,00:00 น.,16,6.899783781385745,100.09400010108948
ทต.ปัถวี,ต.ปัถวี อ.มะขาม จ.จันทบุรี,00:00 น.,10.6,12.742613659767224,102.23267555236816
เมืองตราด,ต.ห้วยแร้ง อ.เมืองตราด จ.ตราด,00:00 น.,0.8,12.325197054747163,102.50044047832489
อบต.บางใหญ่,ต.บางใหญ่ อ.กระบุรี จ.ระนอง,00:00 น.,102.2,10.306385095174132,98.77074837684631
ทต.ตระการพืชผล,ต.กระเดียน อ.ตระการพืชผล จ.อุบลราชธานี,00:00 น.,13.8,15.621574783895413,105.02304196357727
อ่างเก็บน้ำคูขาด,ต.ประทัดบุ อ.ประโคนชัย จ.บุรีรัมย์,21:00 น.,0.8,14.559950097892262,102.95146465301514
ทต.ตะเคียนทอง,ต.ตะเคียนทอง อ.เขาคิชฌกูฏ จ.จันทบุรี,00:00 น.,44.2,12.91309226798377,102.08152770996094
สะพานข้ามลำปะเทีย,ต.อีสานเขต อ.เฉลิมพระเกียรติ จ.บุรีรัมย์,21:00 น.,0.6,14.617066622070004,102.90032029151917
อบต.แจ้ซ้อน,ต.แจ้ซ้อน อ.เมืองปาน จ.ลำปาง,00:00 น.,0.2,18.8169882633427,99.50003027915955
บ้านดงใหม่,ต.ห้วยห้อม อ.แม่ลาน้อย จ.แม่ฮ่องสอน,19:00 น.,28.5,18.34523327306563,98.10899913311005
พิบูลมังสาหาร,ต.โพธิ์ศรี อ.พิบูลมังสาหาร จ.อุบลราชธานี,00:00 น.,39.2,15.249656809997656,105.23926556110382
ทต.กันทรารมย์,ต.ดูน อ.กันทรารมย์ จ.ศรีสะเกษ,00:00 น.,1.8,15.105261822942218,104.5686274766922
บ้านนอกด่าน,ต.แม่พูล อ.ลับแล จ.อุตรดิตถ์,00:00 น.,16,17.715699350013672,99.98700141906738
บ้านปะตงล่าง (เขาสอยดาว),ต.ทรายขาว อ.สอยดาว จ.จันทบุรี,22:00 น.,40.5,13.09965213923344,102.19599902629852
รพสต.บ่อวิน,ต.บ่อวิน อ.ศรีราชา จ.ชลบุรี,16:00 น.,26.6,13.055022897626808,101.09784364700317
บ้านตะแบกโพรง,ต.อ่างทอง อ.ทับสะแก จ.ประจวบคีรีขันธ์,00:00 น.,7.5,11.444752573028023,99.47900176048279
บ้านโป่งเกตุ,ต.ขุนซ่อง อ.แก่งหางแมว จ.จันทบุรี,21:00 น.,20,13.146921781268546,101.97899758815765
บ้านโคกพลวง,ต.หนองโบสถ์ อ.นางรอง จ.บุรีรัมย์,21:00 น.,0.4,14.592325907636331,102.6676869392395
อบต.บ้านจารย์,ต.บ้านจารย์ อ.สังขะ จ.สุรินทร์,00:00 น.,13,14.566497290010979,103.74276995658875
บางปะกง,ต.ท่าสะอ้าน อ.บางปะกง จ.ฉะเชิงเทรา,00:00 น.,0.2,13.548937509988422,101.00112855434418
สะพานห้วยปากแซง,ต.สำโรง อ.โพธิ์ไทร จ.อุบลราชธานี,00:00 น.,30.2,15.931227030004395,105.33724665641785
บ้านทุ่งพล้อ,ต.ป่างิ้ว อ.ศรีสัชนาลัย จ.สุโขทัย,00:00 น.,8,17.541265830462546,99.78200018405914
บ้านห้วยน้ำอุ่น,ต.บ่อทอง อ.ทองแสนขัน จ.อุตรดิตถ์,17:00 น.,0.5,17.41133488006991,100.52100241184235
พิษณุโลก,ต.อรัญญิก อ.เมืองพิษณุโลก จ.พิษณุโลก,13:00 น.,25.4,16.79480422260323,100.27930855751038
ทต.ชุมพร,ต.ชุมพร อ.เมยวดี จ.ร้อยเอ็ด,00:00 น.,0.2,16.368166885214062,104.05778467655182
อ.ตระการพืชผล,ต.ขุหลุ อ.ตระการพืชผล จ.อุบลราชธานี,23:00 น.,52,15.614920528945607,105.01613795757294
