date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
20/09/01,1.7,292,CALM,20.2,193,SSW,27.4,191,S,25.0,22.3,32.3,13.0,973.0,970.9,975.1,86,57,94,16552,1760,20000
20/09/02,1.3,222,CALM,7.9,217,SW,11.9,124,SE,28.5,23.1,36.0,0.0,972.4,969.2,975.7,73,45,91,19531,13865,20000
20/09/03,1.4,230,CALM,11.9,130,SE,17.3,25,NNE,30.1,25.0,37.7,0.0,971.8,968.5,974.9,70,40,90,18329,9347,20000
20/09/04,0.9,197,CALM,9.7,98,E,15.8,166,SSE,28.9,25.2,33.7,0.0,971.5,968.9,973.9,76,57,90,16611,5712,20000
20/09/05,1.3,216,CALM,18.0,197,SSW,27.4,225,SW,28.8,24.5,37.0,0.4,970.6,967.1,974.0,74,43,95,18013,1433,20000
20/09/06,0.2,330,CALM,11.2,321,NW,21.2,276,W,28.8,24.8,35.2,1.0,970.3,967.3,972.6,76,51,95,19467,8276,20000
20/09/07,0.7,289,CALM,11.2,308,NW,19.4,326,NW,28.3,25.9,34.1,0.2,970.4,967.8,972.3,76,54,89,19947,6589,20000
20/09/08,0.4,321,CALM,15.5,194,SSW,29.2,166,SSE,25.9,22.4,32.2,42.8,972.2,969.6,975.0,87,58,96,18360,547,20000
20/09/09,0.3,182,CALM,8.6,149,SSE,14.8,127,SE,27.4,22.9,34.4,1.2,971.4,968.3,974.3,79,49,96,19914,2550,20000
20/09/10,0.7,201,CALM,11.9,315,NW,19.4,335,NNW,28.4,24.6,34.1,0.0,970.1,966.4,972.6,73,51,90,19994,13552,20000
20/09/11,1.3,197,CALM,16.6,231,SW,27.0,194,SSW,28.3,24.7,34.7,6.0,971.4,968.1,973.7,77,48,95,19472,1320,20000
20/09/12,0.6,170,CALM,11.5,144,SE,17.6,158,SSE,28.5,24.8,34.5,0.0,973.2,970.5,975.3,75,50,93,19999,19659,20000
20/09/13,1.1,198,CALM,12.2,262,W,18.0,267,W,28.5,24.9,35.0,0.0,973.0,969.9,975.8,74,50,90,19898,12448,20000
20/09/14,1.2,222,CALM,13.0,256,WSW,23.0,298,WNW,27.9,22.7,33.7,25.4,972.1,968.5,974.4,78,53,96,18977,1003,20000
20/09/15,1.6,237,CALM,14.0,269,W,19.8,270,W,28.6,24.0,34.4,0.4,971.5,968.1,974.3,76,49,96,19987,15497,20000
20/09/16,0.9,288,CALM,10.4,197,SSW,15.5,31,NNE,29.3,24.9,35.5,0.2,970.6,968.0,973.7,72,48,91,19983,14487,20000
20/09/17,2.0,310,CALM,14.8,348,NNW,20.9,338,NNW,29.0,25.2,35.4,0.0,968.7,965.9,971.5,73,48,89,19995,18292,20000
20/09/18,2.8,293,CALM,13.7,317,NW,25.2,200,SSW,28.4,25.6,35.4,1.0,965.4,962.9,969.6,77,52,92,19423,2742,20000
20/09/19,1.8,351,CALM,16.2,2,N,23.8,349,N,26.1,23.6,31.2,37.0,966.4,963.3,969.3,83,57,96,16444,544,20000
20/09/20,0.9,205,CALM,15.5,248,WSW,20.5,236,SW,24.9,23.6,29.6,48.0,970.8,967.6,973.4,92,72,96,17472,392,20000
20/09/21,1.1,200,CALM,13.7,230,SW,19.1,186,S,26.7,24.2,33.5,1.4,973.0,970.5,974.3,84,54,95,19904,1897,20000
20/09/22,0.2,253,CALM,9.4,196,SSW,12.6,203,SSW,28.3,24.5,35.4,0.6,972.7,970.0,975.4,77,49,93,19914,14637,20000
20/09/23,0.6,120,CALM,13.0,148,SSE,19.4,129,SE,27.7,22.7,34.9,77.4,972.6,970.0,974.3,78,51,96,18457,186,20000
20/09/24,0.9,172,CALM,14.0,223,SW,22.7,225,SW,27.2,23.5,33.1,0.0,972.9,970.4,976.1,80,56,96,19982,1580,20000
20/09/25,2.3,240,CALM,16.9,210,SSW,26.3,188,S,27.7,24.6,34.1,0.0,971.9,969.0,974.2,78,49,92,19978,4840,20000
20/09/26,1.1,196,CALM,14.8,342,NNW,23.8,349,N,28.9,25.3,35.2,2.2,971.5,968.8,974.1,74,49,94,19525,1403,20000
20/09/27,0.9,182,CALM,9.7,196,SSW,14.4,177,S,28.9,25.0,33.7,0.2,970.4,967.5,973.5,74,53,92,19943,5487,20000
20/09/28,1.1,215,CALM,10.8,11,N,16.9,357,N,27.8,24.5,33.1,0.4,970.3,967.8,972.9,80,58,93,19964,11067,20000
20/09/29,0.6,182,CALM,11.5,142,SE,18.0,149,SSE,28.1,24.8,34.2,0.0,970.2,967.0,972.3,77,53,92,19964,16556,20000
20/09/30,1.4,332,CALM,10.8,139,SE,16.2,138,SE,27.6,24.4,33.8,2.2,969.9,966.5,972.5,80,51,94,19701,3290,20000

