date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
20/01/01,2.3,88,CALM,16.6,45,NE,22.3,59,ENE,27.5,20.6,34.4,0.0,1002.5,999.5,1005.1,68,42,91,,,
20/01/02,1.8,93,CALM,12.2,170,S,18.0,73,ENE,26.8,20.5,33.5,0.0,1002.3,999.7,1005.9,70,43,96,,,
20/01/03,1.5,104,CALM,11.9,255,WSW,16.2,166,SSE,26.6,20.6,34.8,0.0,999.9,997.3,1004.2,67,37,96,,,
20/01/04,1.6,98,CALM,13.0,55,NE,23.4,135,SE,27.4,20.5,35.5,0.0,996.9,993.6,1001.5,66,37,91,,,
20/01/05,2.1,137,CALM,15.1,124,SE,22.7,169,S,28.0,21.4,35.3,0.0,996.6,993.8,999.1,65,38,91,,,
20/01/06,1.8,184,CALM,11.2,194,SSW,18.0,203,SSW,28.1,21.1,36.4,0.0,996.0,993.2,1000.0,62,36,93,,,
20/01/07,1.4,143,CALM,11.9,257,WSW,16.2,124,SE,28.0,21.0,36.4,0.0,995.7,992.8,998.8,65,35,92,,,
20/01/08,1.6,95,CALM,12.6,180,S,20.5,118,ESE,27.1,19.5,35.6,0.0,995.7,992.9,999.0,66,35,95,,,
20/01/09,1.5,269,CALM,15.5,266,W,20.2,267,W,27.5,19.9,37.4,0.0,994.7,992.4,998.5,61,24,94,,,
20/01/10,3.1,230,CALM,18.4,264,W,22.7,262,W,29.1,20.2,37.0,0.0,993.7,991.0,996.9,52,33,93,,,
20/01/11,5.1,287,WNW,20.2,260,W,26.6,233,SW,27.2,18.0,36.9,0.0,993.5,991.1,996.1,47,16,82,,,
20/01/12,1.4,69,CALM,10.4,220,SW,13.0,217,SW,27.1,18.1,36.8,0.0,993.1,990.1,996.6,58,24,85,,,
20/01/13,1.4,175,CALM,11.2,184,S,20.5,155,SSE,27.4,22.1,34.1,0.0,993.9,991.3,996.5,70,49,92,,,
20/01/14,0.9,186,CALM,9.7,251,WSW,13.0,270,W,28.0,22.0,35.8,0.0,994.5,992.2,997.6,65,37,93,,,
20/01/15,1.4,181,CALM,11.2,286,WNW,14.8,262,W,28.5,21.4,36.1,0.0,994.9,992.4,998.0,62,37,90,,,
20/01/16,2.0,221,CALM,16.2,269,W,57.6,264,W,28.1,21.0,37.0,0.2,996.9,993.3,998.8,63,30,92,,,
20/01/17,1.8,57,CALM,10.1,124,SE,13.0,143,SE,27.9,20.8,37.1,0.0,998.0,995.7,1001.2,62,29,92,,,
20/01/18,2.7,179,CALM,9.7,44,NE,13.3,188,S,28.3,20.9,36.3,0.0,997.2,994.6,1000.3,61,37,91,,,
20/01/19,1.8,134,CALM,10.8,97,E,16.2,82,E,29.1,23.0,36.2,0.0,997.7,994.9,1000.8,63,35,82,,,
20/01/20,2.3,137,CALM,14.4,129,SE,25.2,107,ESE,29.0,23.5,35.8,0.0,999.2,996.4,1001.5,64,41,90,,,
20/01/21,1.9,131,CALM,11.9,168,SSE,15.1,250,WSW,28.8,22.5,36.5,0.0,999.9,997.5,1003.2,67,39,94,,,
20/01/22,3.8,213,CALM,15.5,257,WSW,21.6,270,W,30.2,22.5,37.8,0.0,998.3,995.7,1002.1,58,37,95,,,
20/01/23,5.3,271,W,23.0,270,W,29.5,290,WNW,29.8,21.8,37.6,0.0,996.8,994.2,999.8,55,30,84,,,
20/01/24,7.0,263,W,25.9,275,W,34.2,264,W,30.0,21.6,36.8,0.0,996.2,993.7,999.7,43,21,80,,,
20/01/25,8.5,263,W,26.3,286,WNW,33.8,264,W,28.2,18.6,35.8,0.0,995.3,992.8,997.6,40,22,68,,,
20/01/26,11.8,273,W,31.0,280,W,42.5,276,W,27.3,18.2,34.3,0.0,994.8,992.4,998.0,33,13,68,,,
20/01/27,11.7,272,W,24.8,277,W,32.4,253,WSW,26.9,18.0,33.4,0.0,994.8,991.9,996.9,42,16,69,,,
20/01/28,3.7,263,CALM,13.3,256,WSW,18.0,267,W,26.0,16.8,35.0,0.0,996.6,993.2,999.5,40,15,69,,,
20/01/29,2.0,73,CALM,13.0,263,W,16.6,276,W,25.3,17.0,35.7,0.0,998.0,995.4,1001.5,50,19,87,,,
20/01/30,2.8,137,CALM,13.7,33,NNE,20.5,25,NNE,26.0,17.1,33.6,0.0,997.7,994.6,1001.1,63,37,93,,,
20/01/31,2.9,159,CALM,12.6,123,ESE,19.4,180,S,26.1,18.6,34.3,0.0,998.3,995.6,1001.2,62,35,93,,,

