date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
20/12/01,3.2,7,CALM,13.7,275,W,21.2,281,W,25.5,20.3,32.2,0.0,1008.7,1006.4,1012.1,72,48,91,,,
20/12/02,3.8,53,CALM,13.7,249,WSW,18.0,217,SW,26.9,22.7,32.8,0.6,1007.4,1005.1,1010.3,69,48,85,,,
20/12/03,4.1,61,ENE,14.8,272,W,20.2,273,W,24.7,19.2,30.7,0.4,1008.0,1005.8,1010.3,75,53,91,,,
20/12/04,3.7,76,CALM,14.0,76,ENE,21.2,93,E,23.3,17.4,31.1,0.0,1008.6,1005.4,1010.9,68,45,84,,,
20/12/05,3.6,69,CALM,15.1,82,E,20.9,84,E,21.6,15.4,29.0,0.0,1009.8,1006.9,1012.5,72,46,93,,,
20/12/06,3.0,22,CALM,14.8,269,W,19.8,315,NW,21.9,15.5,29.5,0.0,1009.1,1006.7,1012.4,74,45,94,,,
20/12/07,2.9,41,CALM,15.5,253,WSW,20.5,270,W,23.0,16.7,31.5,0.0,1009.2,1006.7,1011.9,72,40,94,,,
20/12/08,3.2,15,CALM,12.6,222,SW,16.6,236,SW,23.8,18.1,31.0,0.0,1008.2,1006.1,1011.7,70,46,90,,,
20/12/09,2.9,58,CALM,13.7,232,SW,17.6,236,SW,23.0,16.4,30.9,0.4,1006.7,1004.4,1009.9,73,45,95,,,
20/12/10,3.1,22,CALM,13.3,279,W,19.8,6,N,22.7,16.6,32.2,0.4,1006.8,1004.5,1008.9,73,39,94,,,
20/12/11,3.1,349,CALM,13.0,349,N,20.2,340,NNW,23.9,16.9,32.9,0.0,1005.8,1003.2,1009.1,72,40,94,,,
20/12/12,2.8,355,CALM,11.2,237,WSW,18.7,211,SSW,25.3,18.6,33.4,0.0,1004.6,1002.6,1007.9,73,44,94,,,
20/12/13,3.5,9,CALM,11.5,308,NW,15.8,312,NW,26.2,19.8,34.8,0.0,1003.4,1000.7,1006.2,73,46,92,,,
20/12/14,2.7,64,CALM,14.0,268,W,17.3,267,W,27.9,21.0,35.2,0.0,1004.8,1002.5,1006.7,70,43,91,,,
20/12/15,3.2,42,CALM,12.6,229,SW,18.4,267,W,27.0,21.4,34.0,0.2,1006.9,1004.7,1008.9,74,49,91,,,
20/12/16,4.2,44,NE,13.7,271,W,18.7,281,W,26.7,20.0,33.3,0.0,1007.2,1004.7,1010.1,69,48,91,,,
20/12/17,2.7,105,CALM,12.6,234,SW,15.5,256,WSW,25.9,19.8,33.1,0.2,1006.7,1004.2,1009.6,72,47,91,,,
20/12/18,3.3,83,CALM,14.4,270,W,18.4,293,WNW,25.6,19.8,33.9,0.0,1007.4,1004.8,1009.4,70,43,91,,,
20/12/19,4.9,64,ENE,14.4,265,W,20.5,276,W,25.1,18.7,32.4,0.6,1008.8,1006.0,1011.0,64,44,86,,,
20/12/20,5.1,40,NE,16.2,89,E,23.4,51,NE,23.2,16.5,30.2,0.6,1010.0,1006.8,1012.7,63,42,85,,,
20/12/21,5.1,344,NNW,15.1,280,W,24.1,214,SW,21.7,15.4,28.5,0.2,1009.7,1006.8,1013.0,64,44,86,,,
20/12/22,4.1,339,NNW,15.8,270,W,22.0,270,W,20.4,14.7,27.7,0.0,1008.0,1005.0,1012.1,71,44,94,,,
20/12/23,4.1,329,NNW,14.8,319,NW,22.7,14,NNE,21.6,15.6,30.1,0.2,1005.9,1003.4,1009.7,72,43,92,,,
20/12/24,4.0,331,NNW,18.4,262,W,20.9,256,WSW,23.3,17.3,30.6,0.0,1005.5,1003.1,1008.5,70,42,90,,,
20/12/25,2.8,78,CALM,13.7,241,WSW,19.4,245,WSW,25.3,19.2,31.7,0.4,1005.6,1003.3,1008.5,73,48,93,,,
20/12/26,1.8,39,CALM,12.6,267,W,16.9,281,W,25.4,20.2,32.6,0.2,1006.0,1003.7,1009.4,76,49,95,,,
20/12/27,2.3,39,CALM,13.3,244,WSW,16.9,228,SW,26.3,20.7,33.6,0.2,1004.2,1002.3,1007.9,75,47,95,,,
20/12/28,3.2,97,CALM,13.0,244,WSW,18.4,259,W,26.4,20.1,34.3,0.0,1003.7,1001.8,1006.6,76,45,94,,,
20/12/29,3.2,1,CALM,14.4,268,W,17.6,225,SW,25.9,20.0,34.3,0.0,1004.4,1002.1,1006.7,66,29,95,,,
20/12/30,5.0,88,E,14.4,43,NE,22.7,87,E,25.6,19.4,34.5,0.0,1007.2,1004.1,1010.8,64,40,88,,,
20/12/31,6.8,65,ENE,18.4,78,ENE,27.0,90,E,23.3,14.9,31.9,0.2,1010.2,1007.1,1012.6,53,33,76,,,

