date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
20/07/01,3.0,186,CALM,16.6,210,SSW,18.4,219,SW,30.3,26.1,35.7,0.0,999.5,996.7,1002.4,76,53,94,,,
20/07/02,6.3,149,SSE,21.6,212,SSW,24.8,217,SW,30.8,26.4,36.8,0.0,999.0,995.5,1001.0,72,47,92,,,
20/07/03,9.1,106,ESE,19.8,148,SSE,23.4,143,SE,28.8,25.0,33.8,2.2,1001.2,998.1,1003.1,79,57,95,,,
20/07/04,9.0,80,E,23.0,249,WSW,35.6,273,W,26.9,24.4,32.2,2.2,1002.7,1000.3,1004.7,88,64,97,,,
20/07/05,2.6,89,CALM,15.1,294,WNW,19.8,262,W,29.4,25.8,34.7,0.0,1000.9,998.2,1003.5,76,52,95,,,
20/07/06,3.8,109,CALM,17.3,177,S,20.9,180,S,31.5,26.9,37.1,0.0,1000.5,997.5,1003.0,70,48,91,,,
20/07/07,9.4,115,ESE,26.3,118,ESE,33.5,152,SSE,29.9,25.7,36.6,1.2,1002.8,999.4,1005.5,78,50,96,,,
20/07/08,8.1,129,SE,16.9,129,SE,22.3,132,SE,30.5,26.7,35.9,0.0,1002.4,999.7,1004.9,75,52,90,,,
20/07/09,4.0,80,E,17.6,181,S,26.3,183,S,31.3,26.8,36.8,0.0,1000.7,997.9,1003.3,73,50,93,,,
20/07/10,5.8,68,ENE,35.3,146,SE,44.3,146,SE,30.1,23.6,37.2,54.8,1001.4,998.8,1004.1,78,50,99,,,
20/07/11,3.8,109,CALM,11.2,86,E,13.7,79,E,29.4,24.9,34.3,0.0,1001.5,999.1,1003.6,83,57,98,,,
20/07/12,6.0,85,E,23.0,207,SSW,27.7,194,SSW,29.2,25.6,34.2,0.0,1000.6,997.9,1002.3,83,61,93,,,
20/07/13,5.4,114,ESE,32.4,137,SE,39.2,152,SSE,27.8,24.2,34.7,29.2,1001.9,998.2,1003.9,85,58,99,,,
20/07/14,4.3,209,SSW,25.9,218,SW,31.7,217,SW,28.2,25.1,33.5,0.0,1002.2,999.4,1004.8,84,54,99,,,
20/07/15,4.2,144,SE,18.7,239,WSW,24.8,231,SW,29.4,25.4,34.6,0.0,1001.1,998.7,1003.7,80,57,96,,,
20/07/16,7.9,127,SE,29.5,137,SE,40.0,180,S,28.8,23.9,35.4,45.2,1000.7,997.1,1002.8,82,55,99,,,
20/07/17,5.9,134,SE,21.2,195,SSW,25.6,203,SSW,28.3,24.8,33.1,0.0,1002.3,999.1,1004.0,82,62,98,,,
20/07/18,3.0,126,CALM,11.5,144,SE,13.7,135,SE,30.4,26.6,35.4,0.0,1002.5,999.9,1004.8,77,50,97,,,
20/07/19,6.6,143,SE,17.6,108,ESE,21.2,166,SSE,30.0,26.0,36.5,0.0,1001.2,998.8,1004.0,81,53,94,,,
20/07/20,3.9,141,SE,14.8,118,ESE,18.0,113,ESE,29.7,26.0,34.4,0.0,1002.0,998.9,1004.1,79,58,97,,,
20/07/21,6.2,145,SE,29.5,154,SSE,34.9,158,SSE,27.8,24.8,34.0,0.0,1003.3,1000.0,1005.6,85,65,98,,,
20/07/22,7.4,130,SE,17.3,144,SE,19.4,141,SE,29.4,25.9,34.0,0.0,1002.5,999.8,1004.8,79,58,96,,,
20/07/23,5.9,112,ESE,16.6,141,SE,19.4,118,ESE,30.0,26.7,35.0,0.0,1002.9,1000.4,1004.5,78,51,93,,,
20/07/24,8.1,108,ESE,26.6,141,SE,33.5,143,SE,30.3,25.9,36.4,0.0,1002.6,999.0,1005.1,76,51,92,,,
20/07/25,7.7,127,SE,23.0,45,NE,38.5,51,NE,29.0,25.8,35.5,0.0,1002.4,998.7,1004.6,82,57,96,,,
20/07/26,8.1,132,SE,18.0,141,SE,20.9,141,SE,30.3,26.3,35.7,0.2,1001.8,998.7,1004.8,76,51,94,,,
20/07/27,6.0,115,ESE,27.0,236,SW,37.1,242,WSW,30.3,25.9,34.7,0.0,1000.9,997.8,1003.1,78,58,94,,,
20/07/28,3.9,88,E,34.2,110,ESE,42.5,107,ESE,28.1,25.9,34.5,0.0,1002.5,1000.1,1004.2,85,60,96,,,
20/07/29,5.8,3,N,37.1,263,W,43.6,264,W,28.4,24.3,35.0,22.0,1003.2,1000.1,1005.3,82,54,98,,,
20/07/30,3.2,257,CALM,18.0,243,WSW,22.3,231,SW,29.9,26.1,34.5,0.0,1001.1,998.7,1003.9,78,56,96,,,
20/07/31,4.1,211,SSW,18.0,294,WNW,24.5,309,NW,31.6,26.9,36.1,0.0,997.2,993.7,1001.6,73,51,91,,,

