date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
20/11/01,5.3,78,ENE,23.8,57,ENE,28.4,62,ENE,27.1,23.5,32.4,0.2,985.8,983.3,988.4,83,58,100,,,
20/11/02,3.8,342,CALM,15.1,45,NE,17.3,262,W,28.1,23.9,34.4,0.0,985.9,982.6,988.3,81,51,99,,,
20/11/03,6.6,79,E,21.6,72,ENE,27.0,62,ENE,27.6,22.2,33.4,0.0,986.0,982.9,988.9,77,51,99,,,
20/11/04,4.3,205,SSW,11.9,42,NE,18.0,346,NNW,26.9,22.4,33.0,0.0,986.0,983.0,988.8,81,51,100,,,
20/11/05,3.3,77,CALM,12.2,11,N,17.3,23,NNE,26.5,22.0,32.8,0.0,986.3,983.7,988.6,81,52,100,,,
20/11/06,6.4,105,ESE,22.3,48,NE,28.1,45,NE,27.2,22.4,33.4,0.0,986.6,983.8,989.4,76,47,98,,,
20/11/07,8.1,69,ENE,26.6,48,NE,30.2,42,NE,27.2,23.1,32.4,0.0,987.2,985.2,989.2,77,56,92,,,
20/11/08,8.2,84,E,26.3,54,NE,30.6,56,NE,27.1,22.9,31.8,0.0,987.1,985.0,989.7,76,57,95,,,
20/11/09,9.2,84,E,27.4,54,NE,37.1,107,ESE,25.9,20.2,32.0,0.0,986.8,984.2,988.6,73,46,98,,,
20/11/10,8.5,88,E,28.1,69,ENE,36.7,73,ENE,24.5,18.6,30.8,0.0,986.7,983.4,989.0,71,42,99,,,
20/11/11,8.4,90,E,28.1,75,ENE,33.8,65,ENE,25.1,19.6,31.5,0.0,987.6,985.2,990.3,65,38,96,,,
20/11/12,9.9,81,E,25.9,90,E,34.2,76,ENE,25.4,21.1,29.3,0.0,987.8,986.2,990.6,70,54,89,,,
20/11/13,8.6,76,ENE,24.8,65,ENE,31.0,93,E,26.5,21.1,32.4,0.0,986.0,983.4,988.7,72,49,96,,,
20/11/14,7.5,101,E,24.5,59,ENE,30.6,62,ENE,25.8,19.6,32.3,0.0,985.6,982.8,987.5,74,50,98,,,
20/11/15,6.6,97,E,20.5,61,ENE,24.8,39,NE,26.0,20.3,33.3,0.0,985.9,982.7,988.6,64,34,95,,,
20/11/16,6.1,83,E,21.2,82,E,26.3,70,ENE,26.5,21.1,32.9,0.0,985.9,983.7,988.5,71,44,97,,,
20/11/17,3.4,199,CALM,11.2,239,WSW,17.3,332,NNW,26.7,21.2,33.8,0.0,984.6,981.9,988.0,77,45,99,,,
20/11/18,3.5,226,CALM,14.0,232,SW,19.4,228,SW,26.5,20.8,33.6,0.0,984.5,982.1,987.1,80,50,100,,,
20/11/19,3.5,280,CALM,11.5,298,WNW,15.8,248,WSW,27.0,21.2,34.3,0.0,983.5,980.4,986.3,80,47,100,,,
20/11/20,2.8,277,CALM,10.4,14,NNE,15.1,214,SW,27.3,21.8,34.6,0.0,984.0,981.1,986.7,78,41,100,,,
20/11/21,3.9,164,SSE,12.2,315,NW,16.2,11,N,27.7,21.9,34.9,0.0,984.5,981.4,986.7,76,45,100,,,
20/11/22,4.2,38,NE,14.4,82,E,18.7,82,E,27.7,22.3,34.2,0.0,986.1,982.5,989.0,76,47,96,,,
20/11/23,5.3,49,NE,21.2,73,ENE,28.1,42,NE,27.0,22.0,32.7,0.0,986.4,983.5,988.7,79,55,100,,,
20/11/24,8.0,94,E,28.8,59,ENE,36.0,51,NE,26.5,20.0,33.1,0.0,986.4,983.7,988.6,74,45,100,,,
20/11/25,8.0,94,E,27.7,51,NE,35.6,68,ENE,25.9,19.8,32.8,0.0,986.6,983.8,989.0,73,43,98,,,
20/11/26,8.1,64,ENE,29.5,55,NE,35.6,56,NE,25.9,20.2,32.7,0.0,987.2,984.2,989.9,73,45,97,,,
20/11/27,10.5,52,NE,29.2,57,ENE,38.5,59,ENE,26.2,20.6,32.1,0.0,988.1,985.9,990.2,70,46,93,,,
20/11/28,8.7,80,E,24.8,59,ENE,36.4,51,NE,24.9,18.3,31.6,0.0,988.1,985.7,990.6,71,43,97,,,
20/11/29,6.9,69,ENE,27.0,53,NE,41.0,48,NE,25.3,18.3,32.2,0.0,987.6,984.6,990.3,71,43,98,,,
20/11/30,8.0,86,E,28.4,74,ENE,34.6,65,ENE,25.1,19.6,30.9,0.0,988.2,985.2,990.1,73,48,98,,,

