date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
20/02/01,7.7,107,ESE,19.4,91,E,30.6,37,NE,17.6,13.8,23.0,0.0,847.0,845.3,848.4,59,39,80,-,-,-
20/02/02,9.4,107,ESE,19.8,123,ESE,29.5,113,ESE,18.0,14.5,23.6,0.0,847.5,845.6,849.4,48,29,67,-,-,-
20/02/03,9.4,103,ESE,19.1,90,E,31.3,104,ESE,17.8,12.8,23.5,0.0,846.3,844.7,849.0,46,32,60,-,-,-
20/02/04,6.2,116,ESE,16.2,121,ESE,24.8,135,SE,16.8,12.4,22.8,0.0,845.8,844.4,847.9,46,33,62,-,-,-
20/02/05,8.9,111,ESE,20.9,118,ESE,30.6,115,ESE,17.8,13.8,24.0,0.0,845.6,843.4,847.4,39,23,52,-,-,-
20/02/06,7.2,110,ESE,15.5,92,E,24.5,152,SSE,18.3,15.0,24.0,0.0,846.7,845.1,848.4,40,27,48,-,-,-
20/02/07,5.6,117,ESE,15.1,110,ESE,20.9,127,SE,19.1,15.9,24.1,0.0,848.0,846.7,849.6,44,32,57,-,-,-
20/02/08,6.5,136,SE,15.8,133,SE,23.4,163,SSE,19.0,16.4,22.2,0.0,849.3,847.5,850.9,58,46,75,0,0,0
20/02/09,8.7,131,SE,18.0,129,SE,26.6,163,SSE,17.6,15.1,20.5,0.0,848.9,847.2,851.7,75,67,82,-,-,-
20/02/10,7.5,107,ESE,19.8,106,ESE,29.9,101,E,18.2,15.0,23.1,0.0,848.1,846.4,850.1,65,47,82,-,-,-
20/02/11,8.7,99,E,20.5,104,ESE,29.9,113,ESE,18.7,14.9,24.4,0.0,848.1,846.4,850.3,45,22,71,-,-,-
20/02/12,8.8,98,E,27.4,110,ESE,39.2,113,ESE,18.5,14.5,24.7,0.0,846.8,844.8,849.6,35,20,52,-,-,-
20/02/13,9.5,104,ESE,27.7,71,ENE,37.1,84,E,17.9,13.2,24.3,0.0,844.1,841.8,847.8,44,23,57,-,-,-
20/02/14,10.0,104,ESE,24.1,104,ESE,33.8,96,E,17.5,13.2,24.0,0.0,842.7,840.7,844.2,32,17,50,-,-,-
20/02/15,7.7,104,ESE,15.8,81,E,24.8,93,E,17.9,13.2,24.4,0.0,845.2,843.1,847.0,44,28,69,-,-,-
20/02/16,5.6,135,SE,12.6,138,SE,17.3,82,E,18.8,14.4,22.6,0.0,847.5,845.8,849.1,47,39,58,-,-,-
20/02/17,9.0,131,SE,21.6,132,SE,29.9,132,SE,19.3,13.2,22.8,0.0,848.2,846.7,850.0,51,32,90,-,-,-
20/02/18,7.8,127,SE,19.8,128,SE,26.3,98,E,15.6,12.9,18.3,0.0,848.3,845.9,850.1,82,72,93,-,-,-
20/02/19,5.3,132,SE,16.9,133,SE,25.9,132,SE,17.5,14.2,20.7,0.0,848.8,847.0,851.3,70,57,83,-,-,-
20/02/20,5.7,130,SE,17.3,136,SE,23.8,143,SE,18.2,15.2,21.1,0.0,849.7,847.6,851.5,63,51,77,-,-,-
20/02/21,11.2,126,SE,21.6,132,SE,28.1,135,SE,18.2,14.0,21.5,0.0,851.9,850.4,853.2,65,48,82,-,-,-
20/02/22,13.0,125,SE,21.6,132,SE,29.2,121,ESE,16.6,13.3,20.0,0.0,851.7,849.9,854.3,74,61,90,0,0,0
20/02/23,8.0,131,SE,20.2,130,SE,25.6,121,ESE,17.3,13.3,20.2,0.0,849.7,847.3,853.1,65,57,90,0,0,0
20/02/24,4.1,131,SE,17.3,129,SE,20.9,96,E,18.6,15.5,22.7,0.0,847.4,845.8,850.2,58,48,66,-,-,-
20/02/25,3.4,129,CALM,16.6,132,SE,21.2,107,ESE,19.1,16.0,23.1,0.0,847.0,845.4,848.8,54,42,65,-,-,-
20/02/26,4.0,131,SE,16.6,133,SE,18.7,135,SE,19.4,16.8,23.1,0.0,847.2,845.8,849.5,53,41,64,-,-,-
20/02/27,5.0,128,SE,15.8,119,ESE,22.3,113,ESE,19.1,16.7,23.7,0.0,846.4,844.6,848.8,60,43,66,-,-,-
20/02/28,6.4,107,ESE,16.2,128,SE,22.0,124,SE,19.4,15.9,24.4,0.0,845.5,843.9,847.9,54,42,65,-,-,-
20/02/29,9.5,95,E,20.9,95,E,33.8,96,E,20.0,15.9,25.5,0.0,845.6,843.6,847.3,41,28,61,-,-,-

