date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
20/02/01,1.0,156,CALM,10.4,285,WNW,15.8,270,W,22.0,14.4,30.9,0.0,981.1,977.5,983.8,69,36,96,,,
20/02/02,0.8,229,CALM,11.2,284,WNW,19.4,276,W,21.5,13.4,31.3,0.0,981.7,978.1,985.0,66,28,95,,,
20/02/03,0.8,114,CALM,14.8,130,SE,19.1,132,SE,20.9,11.9,31.9,0.0,980.6,977.1,984.6,62,25,95,,,
20/02/04,0.5,123,CALM,10.1,111,ESE,14.8,73,ENE,20.0,11.4,30.4,0.0,980.1,976.5,983.6,63,29,94,,,
20/02/05,0.3,142,CALM,11.2,279,W,14.8,270,W,20.3,11.3,31.0,0.0,980.0,975.7,983.4,61,26,94,,,
20/02/06,0.4,156,CALM,9.0,111,ESE,14.4,93,E,20.9,12.0,30.7,0.0,981.0,977.4,984.2,61,25,94,,,
20/02/07,0.7,95,CALM,10.1,288,WNW,14.0,124,SE,21.9,12.6,32.0,0.0,981.7,978.4,985.1,62,27,94,,,
20/02/08,0.6,129,CALM,9.4,121,ESE,13.7,118,ESE,22.8,13.9,32.1,0.0,982.4,978.8,985.4,64,29,94,,,
20/02/09,0.7,154,CALM,10.1,95,E,12.6,121,ESE,24.2,16.7,32.2,0.0,981.7,978.4,986.1,67,35,91,,,
20/02/10,0.8,224,CALM,12.6,278,W,15.5,293,WNW,24.3,16.1,32.8,0.0,981.5,978.3,984.4,66,35,94,,,
20/02/11,1.2,138,CALM,10.8,118,ESE,18.0,113,ESE,22.3,12.8,32.8,0.0,982.1,978.4,985.3,63,26,94,,,
20/02/12,0.9,172,CALM,11.5,278,W,16.6,270,W,21.5,12.3,32.5,0.0,980.7,976.8,984.9,55,20,93,,,
20/02/13,0.7,224,CALM,11.9,288,WNW,20.9,273,W,21.9,11.9,32.7,0.0,977.9,974.6,983.3,56,26,91,,,
20/02/14,0.7,190,CALM,13.3,286,WNW,21.2,188,S,21.7,11.9,32.8,0.0,976.9,972.4,980.3,47,16,92,,,
20/02/15,0.7,133,CALM,9.7,288,WNW,14.0,264,W,21.4,11.9,30.8,0.0,979.2,975.0,982.5,62,31,94,,,
20/02/16,0.6,97,CALM,9.4,133,SE,15.1,138,SE,21.9,13.6,31.9,0.0,980.8,976.9,984.3,66,32,94,,,
20/02/17,0.9,130,CALM,10.1,137,SE,14.8,118,ESE,22.3,13.6,32.7,0.0,981.4,977.7,985.0,61,30,94,,,
20/02/18,0.8,236,CALM,13.3,163,SSE,24.5,141,SE,23.7,13.7,33.5,0.0,981.4,976.9,984.4,59,28,92,,,
20/02/19,0.8,132,CALM,11.2,80,E,14.4,138,SE,23.9,15.5,33.8,0.0,982.2,978.6,985.8,59,27,91,,,
20/02/20,2.0,161,CALM,11.9,269,W,20.2,287,WNW,23.6,15.4,33.9,0.0,982.9,978.9,986.2,60,29,91,,,
20/02/21,1.7,140,CALM,9.4,138,SE,12.6,118,ESE,24.1,15.3,33.7,0.0,984.7,981.2,987.6,61,30,90,,,
20/02/22,2.1,152,CALM,11.9,5,N,16.2,25,NNE,24.4,16.3,34.3,0.0,984.5,981.1,988.4,61,30,90,,,
20/02/23,1.8,167,CALM,9.4,130,SE,14.0,115,ESE,24.6,17.0,33.6,0.0,982.6,979.2,987.3,59,28,89,,,
20/02/24,1.7,150,CALM,8.6,135,SE,12.6,129,SE,24.4,15.9,33.9,0.0,980.2,976.7,984.5,57,29,88,,,
20/02/25,1.9,288,CALM,10.1,292,WNW,14.8,132,SE,24.1,15.9,33.7,0.0,979.8,976.4,983.2,57,25,89,,,
20/02/26,0.4,166,CALM,4.7,98,E,6.1,84,E,22.1,16.5,29.6,0.0,980.1,977.3,983.5,67,40,90,,,
20/02/27,0.3,90,CALM,6.8,9,N,9.4,17,NNE,22.9,16.4,31.8,0.0,979.2,976.7,982.7,65,32,91,,,
20/02/28,0.7,119,CALM,7.2,308,NW,12.6,124,SE,24.1,15.5,33.9,0.0,978.2,974.9,981.9,60,29,90,,,
20/02/29,1.4,218,CALM,12.6,116,ESE,18.4,104,ESE,24.4,15.4,35.1,0.0,978.3,974.7,981.3,54,22,90,,,

