date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
20/12/01,4.0,42,NE,15.8,67,ENE,22.7,17,NNE,23.7,16.4,33.9,0.0,989.6,986.1,992.9,77,42,98,,,
20/12/02,3.0,51,CALM,15.1,227,SW,19.4,76,ENE,23.4,16.4,35.3,0.0,988.5,984.9,992.0,77,33,98,,,
20/12/03,2.9,63,CALM,10.4,121,ESE,17.3,121,ESE,24.5,17.0,35.0,0.0,988.0,984.5,991.3,77,39,98,,,
20/12/04,3.5,85,CALM,16.2,73,ENE,25.6,76,ENE,24.3,17.3,33.9,0.0,987.8,983.9,990.1,73,38,98,,,
20/12/05,3.7,75,CALM,13.7,121,ESE,22.0,121,ESE,22.5,14.9,33.0,0.0,989.4,985.7,991.6,74,39,98,,,
20/12/06,2.6,51,CALM,11.2,92,E,15.5,73,ENE,21.5,14.0,33.1,0.0,989.6,986.2,992.8,78,37,98,,,
20/12/07,2.5,75,CALM,12.6,121,ESE,18.7,76,ENE,21.1,13.7,33.3,0.0,990.1,986.3,993.0,78,37,98,,,
20/12/08,2.9,61,CALM,11.5,112,ESE,14.0,121,ESE,21.2,13.7,33.1,0.0,989.3,986.0,993.3,78,35,98,,,
20/12/09,2.4,85,CALM,10.4,115,ESE,13.7,200,SSW,20.6,13.2,32.4,0.0,987.8,984.6,992.0,79,37,98,,,
20/12/10,2.8,77,CALM,11.9,63,ENE,16.6,76,ENE,21.2,13.7,33.2,0.2,988.1,984.2,990.6,79,38,98,,,
20/12/11,2.5,80,CALM,11.9,121,ESE,16.6,121,ESE,20.2,12.4,33.2,0.0,988.0,984.1,991.6,77,32,98,,,
20/12/12,2.4,73,CALM,9.4,74,ENE,14.8,121,ESE,20.8,12.3,33.2,0.0,987.1,983.8,991.4,79,38,98,,,
20/12/13,3.2,80,CALM,12.2,116,ESE,17.3,62,ENE,21.5,13.9,33.1,0.0,986.2,982.6,989.5,80,40,98,,,
20/12/14,2.5,75,CALM,10.4,118,ESE,13.3,208,SSW,22.0,14.3,33.9,0.0,987.4,983.9,989.8,79,36,98,,,
20/12/15,2.9,58,CALM,12.2,119,ESE,16.9,62,ENE,23.8,15.3,35.0,0.0,988.7,985.1,991.6,78,40,98,,,
20/12/16,2.3,72,CALM,12.2,75,ENE,16.2,76,ENE,24.5,17.5,35.4,0.0,988.2,984.8,991.5,79,40,98,,,
20/12/17,2.5,76,CALM,10.1,116,ESE,14.8,242,WSW,23.5,16.5,34.4,0.0,987.5,984.0,990.9,80,40,98,,,
20/12/18,2.4,61,CALM,13.0,110,ESE,19.4,107,ESE,23.3,16.4,34.3,0.0,987.9,984.8,990.5,78,37,98,,,
20/12/19,3.0,66,CALM,14.4,151,SSE,20.2,143,SE,23.0,15.4,34.1,0.0,989.1,985.7,991.5,75,37,98,,,
20/12/20,4.4,56,NE,25.9,106,ESE,45.7,121,ESE,22.1,14.7,32.6,0.0,989.7,986.3,992.4,73,39,98,,,
20/12/21,4.8,91,E,15.8,115,ESE,25.6,121,ESE,19.9,11.6,29.0,0.0,990.3,987.2,992.4,71,40,98,,,
20/12/22,3.7,74,CALM,15.8,72,ENE,21.6,76,ENE,18.5,10.5,30.6,0.0,988.9,985.0,993.4,76,35,98,,,
20/12/23,3.1,60,CALM,13.3,13,NNE,17.6,76,ENE,18.2,9.8,31.1,0.0,987.8,983.8,992.2,75,27,98,,,
20/12/24,2.8,59,CALM,10.8,16,NNE,15.5,17,NNE,19.1,10.0,33.4,0.0,987.7,983.5,991.4,74,21,98,,,
20/12/25,2.4,79,CALM,10.4,94,E,18.0,73,ENE,21.8,11.1,34.0,0.0,987.2,983.6,991.4,76,35,98,,,
20/12/26,2.5,59,CALM,11.2,121,ESE,14.0,219,SW,24.0,17.1,35.7,0.0,986.9,983.6,990.1,77,38,98,,,
20/12/27,2.4,84,CALM,12.2,304,NW,16.6,301,WNW,23.5,16.8,35.1,0.0,986.1,983.1,990.0,79,41,98,,,
20/12/28,2.9,66,CALM,13.3,120,ESE,15.5,121,ESE,22.3,13.0,35.4,0.0,986.5,983.3,989.2,76,27,98,,,
20/12/29,2.4,75,CALM,9.7,77,ENE,13.7,121,ESE,20.0,10.8,34.6,0.0,987.5,983.8,990.4,74,24,98,,,
20/12/30,3.3,80,CALM,16.6,74,ENE,23.8,65,ENE,21.1,10.9,34.2,0.0,988.4,984.3,992.0,75,34,98,,,
20/12/31,3.1,86,CALM,17.3,70,ENE,28.1,65,ENE,21.2,12.8,31.7,0.0,989.6,986.4,992.4,74,38,98,,,

