date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
20/10/01,1.1,199,CALM,9.4,256,WSW,13.3,329,NNW,29.1,24.2,33.7,0.0,998.1,995.1,1000.6,84,58,100,,,
20/10/02,1.6,153,CALM,13.0,122,ESE,20.5,124,SE,28.5,23.7,35.1,9.4,999.0,996.0,1001.0,87,58,100,,,
20/10/03,1.3,345,CALM,9.7,127,SE,12.6,318,NW,26.2,23.9,31.3,36.2,1000.7,998.2,1002.9,94,71,100,,,
20/10/04,1.7,162,CALM,16.6,286,WNW,28.1,276,W,27.0,24.0,32.8,6.8,1000.8,997.5,1003.4,93,68,100,,,
20/10/05,1.2,222,CALM,10.1,243,WSW,14.0,245,WSW,27.7,24.7,32.5,0.2,1001.0,998.0,1003.6,90,66,100,,,
20/10/06,1.5,358,CALM,9.0,138,SE,14.4,34,NE,28.7,25.2,35.0,0.0,1001.3,998.1,1003.5,87,59,100,,,
20/10/07,2.0,53,CALM,12.6,133,SE,20.5,124,SE,29.1,24.4,35.4,3.2,1000.5,998.1,1003.4,84,57,100,,,
20/10/08,1.4,9,CALM,11.5,51,NE,21.6,14,NNE,26.6,24.4,30.3,1.4,1000.9,999.1,1002.8,93,74,100,,,
20/10/09,2.3,22,CALM,12.6,53,NE,24.8,28,NNE,26.5,24.7,30.3,0.0,1001.5,999.5,1003.4,83,60,96,,,
20/10/10,2.2,29,CALM,13.0,61,ENE,22.3,53,NE,26.9,23.4,32.4,1.2,1000.5,998.7,1003.5,83,58,100,,,
20/10/11,2.0,114,CALM,10.4,123,ESE,19.1,163,SSE,27.9,24.1,34.0,0.0,998.8,996.4,1001.5,84,56,100,,,
20/10/12,1.7,129,CALM,10.8,133,SE,15.1,73,ENE,27.9,24.8,33.6,0.0,998.7,995.9,1000.6,85,56,100,,,
20/10/13,1.4,302,CALM,7.9,334,NNW,11.9,315,NW,27.1,24.1,32.9,0.0,999.0,996.6,1001.5,88,63,100,,,
20/10/14,1.5,204,CALM,9.7,325,NW,14.8,278,W,28.1,25.1,33.4,0.0,998.1,995.6,1001.3,88,61,100,,,
20/10/15,2.2,28,CALM,13.3,316,NW,20.9,298,WNW,28.0,24.5,33.7,5.6,998.1,995.3,1000.1,87,63,100,,,
20/10/16,1.7,323,CALM,8.3,343,NNW,14.0,149,SSE,26.2,24.7,31.5,9.2,998.9,996.2,1001.2,96,71,100,,,
20/10/17,1.9,18,CALM,9.4,40,NE,20.5,73,ENE,26.2,24.1,29.6,0.2,999.9,998.1,1001.4,89,75,99,,,
20/10/18,1.1,340,CALM,7.2,331,NNW,12.6,340,NNW,23.8,22.6,26.0,3.8,1001.8,1000.0,1003.2,96,81,100,,,
20/10/19,2.0,359,CALM,8.3,55,NE,16.2,25,NNE,24.1,22.7,26.9,0.6,1003.1,1001.1,1004.4,93,79,100,,,
20/10/20,2.2,347,CALM,8.6,63,ENE,13.3,59,ENE,24.6,22.9,26.9,0.0,1004.5,1002.5,1006.0,91,77,98,,,
20/10/21,2.0,315,CALM,9.7,338,NNW,16.6,323,NW,26.0,23.3,30.3,0.0,1003.5,1001.4,1006.6,88,69,100,,,
20/10/22,1.7,231,CALM,10.8,129,SE,17.3,127,SE,27.3,24.3,31.9,0.0,1002.5,999.6,1005.3,86,64,100,,,
20/10/23,2.2,228,CALM,11.2,167,SSE,16.2,174,S,26.4,23.7,31.1,0.4,1003.1,1000.2,1005.1,89,69,100,,,
20/10/24,1.1,294,CALM,8.6,259,W,14.0,343,NNW,25.8,22.5,31.6,0.0,1003.4,1001.4,1004.8,91,63,100,,,
20/10/25,1.1,349,CALM,7.6,143,SE,11.5,343,NNW,26.4,22.6,32.6,0.0,1002.8,1000.6,1006.1,84,51,100,,,
20/10/26,2.2,134,CALM,12.6,130,SE,26.3,115,ESE,26.6,22.6,33.6,0.0,1002.1,1000.2,1004.2,87,51,100,,,
20/10/27,1.3,307,CALM,7.2,333,NNW,11.5,332,NNW,26.1,23.7,30.7,0.0,1002.3,1000.1,1004.6,90,68,100,,,
20/10/28,2.3,328,CALM,9.7,327,NNW,14.4,326,NW,28.1,24.0,33.5,0.0,1000.5,998.3,1004.1,84,61,100,,,
20/10/29,1.6,339,CALM,10.1,333,NNW,20.2,335,NNW,24.4,23.3,28.0,18.6,1001.0,998.6,1003.0,96,77,100,,,
20/10/30,2.2,47,CALM,14.8,127,SE,22.7,143,SE,25.4,23.5,29.9,13.8,1004.0,1001.4,1005.6,94,74,100,,,
20/10/31,1.6,37,CALM,9.0,61,ENE,15.8,76,ENE,27.0,23.9,32.7,0.0,1004.9,1002.4,1006.9,87,60,100,,,

