date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
20/07/01,2.4,241,CALM,14.4,198,SSW,21.6,203,SSW,29.3,25.5,34.7,0.0,966.2,963.5,968.9,79,55,95,,,
20/07/02,1.6,266,CALM,10.4,171,S,13.0,177,S,29.1,25.6,33.6,0.0,965.9,963.1,967.7,82,58,95,,,
20/07/03,2.9,223,CALM,22.3,199,SSW,31.0,186,S,29.1,25.6,34.5,2.0,967.4,964.4,969.1,82,53,95,,,
20/07/04,2.7,246,CALM,15.5,179,S,25.2,203,SSW,28.5,25.7,33.0,0.0,968.8,966.4,970.8,83,58,95,,,
20/07/05,3.2,261,CALM,16.2,193,SSW,22.3,203,SSW,29.2,24.8,35.1,2.8,967.4,964.8,969.9,78,50,95,,,
20/07/06,2.7,292,CALM,19.1,312,NW,27.7,309,NW,30.4,26.4,35.8,1.8,967.4,964.8,969.6,75,47,95,,,
20/07/07,3.1,276,CALM,21.6,105,ESE,29.9,107,ESE,30.6,25.6,36.7,15.8,969.3,966.3,971.3,74,45,95,,,
20/07/08,3.0,33,CALM,11.2,15,NNE,15.8,127,SE,29.5,25.3,33.7,0.0,969.8,966.9,971.8,80,59,95,,,
20/07/09,2.8,287,CALM,12.2,295,WNW,18.4,205,SSW,30.1,25.9,34.8,0.0,968.9,966.5,971.6,74,52,95,,,
20/07/10,2.1,277,CALM,14.8,202,SSW,23.4,270,W,30.0,25.8,35.4,0.0,969.5,967.6,971.2,74,48,95,,,
20/07/11,2.9,305,CALM,13.3,334,NNW,20.9,287,WNW,30.3,26.3,35.0,0.0,968.7,966.5,971.0,73,51,95,,,
20/07/12,2.9,269,CALM,20.2,226,SW,35.6,225,SW,28.1,23.1,36.8,38.0,967.8,964.7,969.6,81,42,95,,,
20/07/13,2.5,353,CALM,23.8,203,SSW,29.5,205,SSW,26.9,24.3,30.4,6.6,968.9,966.2,970.7,90,72,95,,,
20/07/14,3.1,253,CALM,13.3,204,SSW,18.0,186,S,28.6,25.1,33.3,0.0,969.1,966.7,971.5,82,55,95,,,
20/07/15,2.6,303,CALM,9.7,82,E,13.7,84,E,29.5,25.0,35.4,0.0,967.9,965.1,970.4,78,47,95,,,
20/07/16,4.0,170,S,14.4,174,S,18.4,174,S,30.4,25.7,35.6,0.0,967.1,963.8,969.2,75,47,95,,,
20/07/17,4.7,211,SSW,18.7,201,SSW,27.0,205,SSW,29.2,25.1,34.0,7.2,968.9,965.2,971.0,79,54,95,,,
20/07/18,2.3,284,CALM,7.9,327,NNW,11.9,343,NNW,28.4,24.8,32.4,0.0,969.7,967.4,971.7,86,66,95,,,
20/07/19,2.9,285,CALM,27.4,300,WNW,38.2,301,WNW,28.3,24.2,34.1,8.6,969.2,966.1,971.2,82,54,95,,,
20/07/20,2.7,301,CALM,13.7,303,WNW,24.5,301,WNW,29.0,25.4,35.6,0.0,969.2,965.7,971.3,82,49,95,,,
20/07/21,2.6,344,CALM,15.8,204,SSW,20.5,208,SSW,28.4,24.7,34.5,1.4,970.3,967.2,972.3,82,58,95,,,
20/07/22,1.3,281,CALM,11.2,179,S,14.8,166,SSE,28.3,24.9,33.0,0.4,969.3,966.4,971.5,86,61,95,,,
20/07/23,3.4,268,CALM,14.4,173,S,18.0,183,S,29.6,25.4,35.2,0.0,970.1,967.5,972.1,78,50,95,,,
20/07/24,2.7,313,CALM,11.5,177,S,15.8,169,S,30.8,25.9,37.6,0.0,969.5,966.1,972.6,74,41,95,,,
20/07/25,3.2,237,CALM,14.0,182,S,19.1,174,S,31.4,26.4,37.3,0.0,968.9,965.2,971.4,72,42,95,,,
20/07/26,4.9,233,SW,19.1,173,S,22.7,166,SSE,30.8,25.7,36.5,0.0,968.7,965.6,971.8,72,47,95,,,
20/07/27,4.1,244,WSW,17.6,168,SSE,21.2,174,S,30.1,23.5,35.3,7.6,968.2,965.1,970.3,78,51,95,,,
20/07/28,1.5,339,CALM,11.5,80,E,16.2,87,E,26.7,24.3,33.2,52.0,969.8,966.7,971.8,90,60,95,,,
20/07/29,2.5,304,CALM,18.4,193,SSW,24.1,188,S,26.8,24.8,32.3,4.6,970.0,968.1,972.0,92,70,95,,,
20/07/30,3.1,300,CALM,16.6,325,NW,25.6,239,WSW,29.3,25.6,35.5,0.0,968.0,965.6,970.9,80,46,95,,,
20/07/31,2.9,315,CALM,14.8,317,NW,20.5,315,NW,30.2,26.3,35.9,0.0,965.5,962.9,968.6,80,51,95,,,

