date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
20/02/01,0.3,55,CALM,10.8,38,NE,15.5,25,NNE,19.3,10.8,27.6,0.0,917.0,914.9,918.6,76,42,98,,,
20/02/02,0.2,292,CALM,4.3,23,NNE,13.7,264,W,20.0,12.2,29.6,0.0,917.8,915.7,920.2,70,31,98,,,
20/02/03,2.1,217,CALM,25.6,242,WSW,32.8,219,SW,20.9,12.1,28.5,0.0,916.6,914.9,919.2,58,34,97,,,
20/02/04,1.7,255,CALM,19.1,248,WSW,25.2,256,WSW,19.2,11.9,28.5,0.0,915.6,913.7,917.9,64,32,91,,,
20/02/05,1.1,224,CALM,16.2,265,W,24.1,245,WSW,20.0,11.9,28.8,0.0,915.7,913.2,917.5,63,36,90,,,
20/02/06,2.8,207,CALM,20.2,258,WSW,28.1,236,SW,19.7,11.8,28.2,0.0,916.7,914.5,918.4,62,32,94,,,
20/02/07,0.6,73,CALM,13.7,231,SW,18.0,259,W,20.1,12.2,30.8,0.0,917.1,915.2,919.5,69,30,97,,,
20/02/08,0.9,61,CALM,11.9,51,NE,16.6,93,E,20.7,12.9,29.9,0.0,918.2,916.2,920.0,73,38,97,,,
20/02/09,2.8,54,CALM,18.7,49,NE,27.0,65,ENE,20.1,13.3,29.0,0.0,918.3,916.3,921.2,70,39,98,,,
20/02/10,1.1,68,CALM,14.8,52,NE,83.2,335,NNW,19.5,13.4,30.0,1.0,918.7,917.0,920.0,71,34,97,,,
20/02/11,2.8,318,CALM,16.6,263,W,24.8,259,W,20.5,13.4,29.5,7.8,918.9,916.7,921.1,70,35,97,,,
20/02/12,4.6,250,WSW,22.3,268,W,30.2,259,W,21.2,14.2,29.7,0.0,917.8,915.9,920.5,63,35,91,,,
20/02/13,12.1,244,WSW,25.6,241,WSW,46.4,284,WNW,22.4,17.4,27.9,0.0,915.6,913.0,919.5,53,38,70,,,
20/02/14,14.2,244,WSW,30.6,256,WSW,42.1,270,W,20.9,15.5,27.1,0.0,914.4,912.2,916.1,59,43,75,,,
20/02/15,7.7,239,WSW,27.0,275,W,38.9,276,W,19.9,13.0,27.5,0.0,916.1,913.5,918.0,70,30,98,,,
20/02/16,0.8,78,CALM,17.6,94,E,22.0,96,E,19.6,11.9,30.6,0.2,917.7,915.5,919.5,72,27,98,,,
20/02/17,1.0,71,CALM,18.7,60,ENE,24.1,73,ENE,21.1,12.0,30.5,0.0,918.4,916.3,920.2,67,34,98,,,
20/02/18,2.1,53,CALM,16.2,64,ENE,24.8,90,E,20.4,14.8,27.3,0.0,919.3,916.9,920.9,74,47,97,,,
20/02/19,0.5,66,CALM,13.3,91,E,19.8,82,E,20.5,14.2,28.9,12.8,919.5,917.3,922.2,72,40,97,,,
20/02/20,2.3,77,CALM,20.2,68,ENE,28.8,68,ENE,21.4,14.6,29.1,0.0,919.8,917.5,922.0,62,37,96,,,
20/02/21,4.6,67,ENE,23.4,73,ENE,33.1,73,ENE,20.1,13.2,27.9,0.0,921.4,919.8,923.7,65,37,93,,,
20/02/22,4.5,60,ENE,23.0,83,E,34.2,73,ENE,20.4,13.6,27.4,0.0,921.3,918.3,923.4,60,37,88,,,
20/02/23,1.7,70,CALM,18.4,70,ENE,25.9,73,ENE,19.7,13.4,28.3,25.6,920.0,916.7,935.4,67,36,92,,,
20/02/24,0.9,70,CALM,15.8,129,SE,23.0,73,ENE,20.2,13.5,29.3,0.0,916.6,914.5,919.4,65,34,92,,,
20/02/25,0.1,71,CALM,11.5,114,ESE,19.1,121,ESE,17.1,13.8,29.9,0.0,917.0,914.9,918.1,75,29,93,,,
20/02/26,0.3,69,CALM,13.7,73,ENE,20.2,110,ESE,21.1,14.1,29.7,0.0,917.0,915.4,919.5,62,30,92,,,
20/02/27,0.7,70,CALM,15.8,73,ENE,27.7,329,NNW,22.1,14.9,30.2,0.0,916.4,914.5,919.0,65,31,96,,,
20/02/28,0.4,73,CALM,10.4,214,SW,14.8,37,NE,21.6,14.9,30.0,0.0,915.5,913.5,918.3,69,36,95,,,
20/02/29,1.3,32,CALM,13.3,68,ENE,19.4,23,NNE,21.6,15.0,30.0,12.8,915.6,913.3,917.2,69,38,97,,,

