date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
20/10/01,2.2,124,CALM,10.8,280,W,16.9,281,W,28.7,23.9,35.4,0.0,983.1,980.0,985.6,82,53,99,,,
20/10/02,3.1,88,CALM,14.8,110,ESE,24.1,141,SE,28.0,24.9,34.7,8.6,983.9,981.1,986.0,88,60,100,,,
20/10/03,2.4,74,CALM,11.5,74,ENE,18.7,68,ENE,26.6,24.1,30.9,14.4,985.6,982.8,987.4,93,73,100,,,
20/10/04,2.3,328,CALM,9.7,259,W,14.4,231,SW,27.1,24.2,33.6,20.0,984.5,981.0,988.1,90,63,100,,,
20/10/05,2.5,88,CALM,11.5,114,ESE,18.0,135,SE,26.8,24.4,31.9,2.8,984.5,981.4,986.6,92,66,100,,,
20/10/06,2.2,63,CALM,15.5,52,NE,24.8,59,ENE,27.4,24.2,34.9,7.4,985.0,982.0,987.0,90,56,100,,,
20/10/07,3.0,66,CALM,11.2,72,ENE,16.6,68,ENE,27.9,24.5,36.0,9.0,985.2,983.4,987.1,87,54,100,,,
20/10/08,2.0,73,CALM,10.4,81,E,16.2,76,ENE,26.3,24.7,30.3,0.8,986.0,984.3,988.0,94,73,100,,,
20/10/09,4.3,74,ENE,16.9,63,ENE,24.8,93,E,26.4,24.1,31.3,0.0,986.6,984.6,988.5,83,59,98,,,
20/10/10,2.8,56,CALM,12.2,73,ENE,16.6,62,ENE,26.1,22.6,31.8,0.4,985.7,983.5,988.6,86,61,100,,,
20/10/11,2.1,80,CALM,11.5,293,WNW,15.8,264,W,27.4,23.0,35.1,0.0,983.8,981.3,986.7,84,54,100,,,
20/10/12,2.7,72,CALM,12.2,275,W,15.5,96,E,27.9,23.4,35.3,0.0,983.6,980.6,985.5,82,49,100,,,
20/10/13,2.1,92,CALM,11.9,104,ESE,17.3,121,ESE,26.3,23.0,34.1,0.0,984.2,981.8,986.6,88,56,100,,,
20/10/14,2.8,39,CALM,11.2,287,WNW,18.0,264,W,27.7,23.2,34.5,0.0,983.3,980.8,986.4,82,51,100,,,
20/10/15,3.1,57,CALM,11.9,79,E,17.6,65,ENE,27.7,24.7,33.8,0.0,983.3,980.4,985.5,85,60,97,,,
20/10/16,1.5,32,CALM,15.8,116,ESE,23.8,129,SE,26.0,24.1,31.6,9.2,984.2,981.2,986.5,94,69,100,,,
20/10/17,3.7,39,CALM,12.2,340,NNW,20.2,329,NNW,26.3,24.0,30.1,0.0,985.2,983.3,986.9,84,68,98,,,
20/10/18,1.4,92,CALM,12.2,50,NE,18.0,51,NE,24.2,22.1,29.2,4.4,986.6,984.8,987.9,92,65,100,,,
20/10/19,2.7,36,CALM,10.8,73,ENE,19.1,70,ENE,23.0,22.1,24.4,0.6,988.2,986.4,989.5,95,89,100,,,
20/10/20,3.5,52,CALM,15.1,82,E,19.8,68,ENE,23.9,22.3,26.8,0.2,988.3,985.9,990.9,90,76,99,,,
20/10/21,1.7,356,CALM,10.8,289,WNW,14.8,349,N,25.4,22.6,28.6,0.0,987.1,984.9,990.2,89,71,99,,,
20/10/22,1.9,63,CALM,14.0,47,NE,23.0,25,NNE,25.6,23.7,30.4,2.8,986.2,983.5,988.6,92,68,100,,,
20/10/23,1.5,62,CALM,10.1,21,NNE,18.0,141,SE,24.8,23.1,29.6,2.2,988.1,985.2,990.3,95,73,100,,,
20/10/24,1.6,96,CALM,7.2,53,NE,9.7,48,NE,25.6,21.3,32.3,0.0,988.3,986.3,989.9,89,59,100,,,
20/10/25,2.4,63,CALM,9.7,32,NNE,13.3,354,N,27.0,21.5,34.2,0.0,987.9,985.4,990.8,79,42,100,,,
20/10/26,2.4,41,CALM,11.9,300,WNW,18.4,357,N,27.9,23.3,34.6,4.8,986.5,984.6,988.9,79,43,99,,,
20/10/27,1.2,319,CALM,9.7,289,WNW,12.6,31,NNE,24.4,22.2,28.9,0.4,987.5,985.3,989.8,95,78,100,,,
20/10/28,2.6,38,CALM,15.5,290,WNW,22.3,343,NNW,26.5,23.2,33.5,0.2,985.5,983.5,988.8,86,57,100,,,
20/10/29,2.1,30,CALM,8.6,349,N,15.1,42,NE,25.4,23.0,28.9,8.8,985.8,984.1,988.2,91,73,100,,,
20/10/30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20/10/31,2.4,79,CALM,8.6,79,E,15.5,59,ENE,25.3,23.5,31.9,1.2,990.0,987.5,991.5,93,67,99,,,

