date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
20/09/01,2.4,318,CALM,10.8,328,NNW,14.8,281,W,26.8,23.4,31.3,7.2,1004.8,1001.7,1006.7,88,66,100,,,
20/09/02,4.0,193,SSW,15.5,206,SSW,22.0,194,SSW,29.8,25.5,35.2,0.4,1004.9,1001.7,1007.5,76,54,96,,,
20/09/03,3.6,118,CALM,12.6,77,ENE,17.6,87,E,29.2,26.3,34.7,0.2,1004.4,1001.5,1007.3,79,60,94,,,
20/09/04,4.2,142,SE,15.8,105,ESE,28.4,76,ENE,30.0,27.1,35.3,0.0,1004.0,1000.8,1006.4,80,56,96,,,
20/09/05,5.5,169,S,15.5,198,SSW,20.2,177,S,30.3,27.2,35.9,0.0,1003.5,1000.8,1006.0,78,53,92,,,
20/09/06,6.7,171,S,18.4,273,W,28.4,256,WSW,29.7,26.0,36.7,0.0,1003.8,1000.6,1005.8,76,50,95,,,
20/09/07,5.7,173,S,19.4,166,SSE,31.3,219,SW,28.5,25.1,35.1,1.0,1004.3,1001.3,1006.0,82,55,97,,,
20/09/08,6.0,163,SSE,16.9,191,S,26.3,200,SSW,29.3,25.6,34.5,0.6,1005.3,1002.2,1007.8,79,56,95,,,
20/09/09,5.6,157,SSE,15.1,161,SSE,19.4,146,SE,29.9,26.1,35.5,0.0,1004.2,1001.3,1006.6,77,53,94,,,
20/09/10,4.9,162,SSE,11.9,163,SSE,18.4,172,S,30.2,26.3,35.1,0.4,1003.0,999.5,1005.0,77,55,95,,,
20/09/11,6.0,153,SSE,13.7,156,SSE,21.2,152,SSE,30.3,26.9,35.5,0.0,1004.5,1000.8,1006.9,76,51,92,,,
20/09/12,4.8,132,SE,15.5,170,S,22.0,160,SSE,30.1,27.0,35.2,0.0,1005.9,1003.1,1007.7,76,54,88,,,
20/09/13,5.0,146,SE,14.0,162,SSE,19.4,163,SSE,29.6,26.3,33.9,0.0,1005.8,1002.8,1008.8,80,61,94,,,
20/09/14,4.6,144,SE,15.5,100,E,24.8,84,E,29.0,25.5,34.7,0.0,1004.8,1001.5,1007.0,81,53,94,,,
20/09/15,6.4,153,SSE,16.2,196,SSW,21.6,177,S,29.5,25.8,35.0,0.0,1004.6,1001.6,1007.1,79,57,95,,,
20/09/16,4.7,155,SSE,13.3,197,SSW,17.6,172,S,29.9,26.2,35.7,0.0,1003.4,1000.5,1006.3,76,53,94,,,
20/09/17,3.7,161,CALM,12.6,165,SSE,18.0,169,S,30.5,26.9,34.5,0.0,1000.9,998.3,1004.2,77,58,94,,,
20/09/18,4.4,187,S,13.3,179,S,21.6,160,SSE,26.8,24.8,29.8,73.2,997.7,995.4,1001.4,93,78,100,,,
20/09/19,9.5,162,SSE,20.5,171,S,29.5,172,S,27.0,24.8,30.3,1.0,1000.2,997.2,1003.6,90,74,100,,,
20/09/20,7.2,151,SSE,18.7,169,S,28.1,138,SE,27.0,24.6,30.8,0.8,1005.4,1003.2,1007.6,89,75,97,,,
20/09/21,4.0,0,N,15.1,218,SW,19.1,225,SW,28.4,23.4,33.1,3.6,1005.9,1003.9,1007.8,84,63,99,,,
20/09/22,3.3,43,CALM,15.5,193,SSW,21.6,180,S,29.1,25.2,34.6,2.6,1005.3,1002.6,1008.5,86,56,99,,,
20/09/23,3.4,159,CALM,12.6,138,SE,23.0,276,W,26.9,24.4,31.0,10.2,1005.9,1003.1,1008.3,90,67,98,,,
20/09/24,4.8,168,SSE,15.8,188,S,22.3,132,SE,28.1,25.1,32.6,0.0,1006.4,1004.0,1009.2,83,65,96,,,
20/09/25,4.5,173,S,15.5,184,S,20.5,149,SSE,29.5,25.0,34.4,0.0,1005.3,1002.5,1007.8,76,57,95,,,
20/09/26,2.9,349,CALM,9.4,332,NNW,15.5,262,W,29.8,25.8,34.2,0.0,1004.4,1002.0,1007.7,76,55,94,,,
20/09/27,4.6,109,ESE,14.4,118,ESE,23.4,143,SE,27.7,23.8,35.8,45.6,1002.9,999.7,1006.0,87,60,100,,,
20/09/28,4.8,114,ESE,18.4,19,NNE,26.6,23,NNE,26.5,24.5,33.0,62.6,1002.6,999.2,1004.8,93,65,100,,,
20/09/29,6.4,164,SSE,20.9,192,SSW,32.8,203,SSW,28.0,25.1,33.4,0.8,1003.4,1000.0,1005.5,86,62,100,,,
20/09/30,5.4,181,S,14.4,202,SSW,21.6,186,S,28.8,25.9,33.0,0.0,1003.1,1000.3,1005.8,79,62,92,,,

