date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
20/01/01,9.2,49,NE,23.4,77,ENE,40.0,73,ENE,28.8,25.1,33.3,0.0,1012.9,1010.3,1014.9,56,43,69,,,
20/01/02,6.7,51,NE,22.0,45,NE,32.8,96,E,28.7,24.4,34.2,0.0,1012.6,1010.2,1016.4,54,40,68,,,
20/01/03,4.6,46,NE,24.1,34,NE,33.1,39,NE,28.2,23.1,34.7,0.0,1010.4,1008.2,1013.9,59,37,81,,,
20/01/04,3.8,54,CALM,16.2,82,E,24.8,70,ENE,28.9,23.3,35.8,0.0,1008.7,1006.0,1011.9,57,36,81,,,
20/01/05,3.7,57,CALM,17.3,52,NE,24.5,96,E,28.3,22.1,35.7,0.0,1009.0,1006.4,1011.7,61,34,85,,,
20/01/06,3.4,98,CALM,15.5,72,ENE,24.1,42,NE,28.6,22.1,36.6,0.0,1008.6,1006.0,1012.3,59,33,89,,,
20/01/07,2.7,191,CALM,12.6,174,S,18.4,208,SSW,28.5,21.9,36.1,0.0,1008.1,1005.4,1011.1,62,37,88,,,
20/01/08,3.4,46,CALM,14.8,119,ESE,20.9,70,ENE,28.8,22.0,37.0,0.0,1007.6,1004.5,1010.8,58,30,86,,,
20/01/09,3.1,21,CALM,15.5,31,NNE,22.3,68,ENE,29.2,22.8,36.8,0.0,1006.7,1004.6,1009.9,55,32,79,,,
20/01/10,3.6,148,CALM,13.7,191,S,18.7,197,SSW,29.5,23.3,36.2,0.0,1005.8,1003.5,1008.5,62,38,87,,,
20/01/11,4.0,158,SSE,11.5,186,S,16.6,186,S,29.4,25.7,35.3,0.0,1005.7,1003.3,1008.4,71,44,93,,,
20/01/12,3.6,145,CALM,13.3,145,SE,18.4,166,SSE,29.8,25.5,35.7,0.0,1005.4,1002.4,1008.5,67,42,92,,,
20/01/13,3.4,159,CALM,12.6,182,S,18.0,141,SE,28.2,24.7,33.7,0.0,1006.6,1004.1,1008.7,69,46,91,,,
20/01/14,3.9,171,S,16.6,194,SSW,20.9,197,SSW,28.4,23.9,34.0,0.0,1007.2,1004.9,1010.0,74,49,92,,,
20/01/15,3.5,172,CALM,14.0,206,SSW,19.1,203,SSW,28.2,23.6,34.3,0.0,1007.6,1005.5,1010.3,72,46,93,,,
20/01/16,4.0,170,S,11.9,162,SSE,15.8,166,SSE,28.5,23.9,35.2,0.0,1008.2,1005.7,1010.6,72,42,95,,,
20/01/17,3.3,172,CALM,13.0,194,SSW,15.1,188,S,28.7,24.4,34.9,0.0,1008.5,1006.4,1011.5,74,48,95,,,
20/01/18,4.0,152,SSE,15.8,219,SW,25.6,211,SSW,29.1,24.5,35.6,0.0,1007.8,1005.2,1010.8,69,40,94,,,
20/01/19,3.1,138,CALM,11.2,187,S,15.8,146,SE,29.1,25.1,35.1,0.0,1008.6,1006.1,1011.1,68,43,94,,,
20/01/20,3.5,130,CALM,12.2,83,E,17.6,107,ESE,29.6,24.5,35.5,0.0,1010.0,1007.2,1011.9,57,35,80,,,
20/01/21,2.9,162,CALM,12.6,188,S,18.0,138,SE,29.0,24.1,35.3,0.0,1010.6,1008.7,1013.5,67,40,90,,,
20/01/22,3.7,164,CALM,10.8,184,S,15.1,205,SSW,29.4,25.2,35.6,0.0,1009.2,1006.8,1012.9,70,44,92,,,
20/01/23,6.2,169,S,16.2,207,SSW,23.0,174,S,29.5,25.4,35.9,0.0,1007.8,1005.2,1010.9,73,46,94,,,
20/01/24,7.1,166,SSE,20.9,192,SSW,25.2,188,S,29.4,25.4,35.5,0.0,1007.0,1004.4,1010.5,73,46,92,,,
20/01/25,7.1,170,S,18.4,190,S,26.3,233,SW,28.4,24.2,34.6,0.0,1006.2,1003.5,1008.5,73,46,91,,,
20/01/26,5.8,165,SSE,17.3,209,SSW,23.0,174,S,27.8,22.7,35.0,0.0,1005.2,1002.3,1008.6,65,28,97,,,
20/01/27,6.2,169,S,21.2,199,SSW,31.3,188,S,27.3,20.3,34.6,0.0,1005.2,1002.4,1007.6,57,29,97,,,
20/01/28,4.3,163,SSE,18.4,191,S,28.4,191,S,26.7,20.8,33.9,0.0,1007.2,1004.5,1009.1,57,26,88,,,
20/01/29,4.0,153,SSE,14.8,190,S,22.0,141,SE,27.7,21.9,34.7,0.0,1008.3,1005.7,1011.5,61,38,89,,,
20/01/30,9.7,68,ENE,19.4,56,NE,29.5,121,ESE,27.5,23.5,32.2,0.0,1008.7,1005.9,1011.6,50,38,73,,,
20/01/31,4.5,74,ENE,19.1,75,ENE,29.2,62,ENE,26.4,19.6,33.2,0.0,1009.3,1007.3,1011.7,50,35,82,,,

