date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
20/01/01,3.5,80,CALM,16.6,57,ENE,23.0,79,E,27.6,22.2,34.2,0.0,1013.3,1010.5,1015.7,62,43,87,,,
20/01/02,3.6,61,CALM,17.6,56,NE,29.2,73,ENE,26.7,20.1,33.9,0.0,1013.1,1010.6,1016.9,66,40,92,,,
20/01/03,2.7,110,CALM,14.8,60,ENE,22.0,70,ENE,27.0,20.1,34.3,0.0,1010.7,1008.4,1014.5,61,34,93,,,
20/01/04,1.7,93,CALM,12.2,48,NE,17.6,48,NE,26.8,21.0,34.1,0.0,1008.8,1006.1,1012.4,66,42,90,,,
20/01/05,2.4,94,CALM,13.3,125,SE,21.2,149,SSE,27.0,20.6,34.9,0.0,1009.1,1006.7,1011.9,63,37,86,,,
20/01/06,2.9,126,CALM,15.8,141,SE,20.2,129,SE,27.1,20.5,35.1,0.0,1008.5,1006.3,1012.3,62,37,86,,,
20/01/07,1.9,220,CALM,11.9,164,SSE,16.6,188,S,27.1,20.4,34.8,0.0,1008.1,1005.7,1011.1,65,39,88,,,
20/01/08,2.6,177,CALM,16.6,132,SE,25.6,138,SE,27.2,20.4,36.0,0.0,1007.7,1004.8,1011.1,62,30,90,,,
20/01/09,2.2,329,CALM,11.9,47,NE,19.1,73,ENE,27.7,20.8,36.1,0.0,1006.9,1004.8,1010.3,59,32,90,,,
20/01/10,1.8,105,CALM,11.2,78,ENE,16.9,87,E,28.0,21.0,36.3,0.0,1005.8,1003.4,1008.6,62,35,88,,,
20/01/11,1.8,12,CALM,9.0,48,NE,13.7,42,NE,27.7,21.7,35.4,0.0,1005.6,1003.2,1008.4,63,34,91,,,
20/01/12,2.7,170,CALM,11.9,165,SSE,16.2,158,SSE,28.0,21.7,34.3,0.0,1005.4,1002.7,1008.6,68,46,91,,,
20/01/13,5.5,168,SSE,17.6,159,SSE,25.9,143,SE,28.5,24.3,34.5,0.0,1006.4,1003.9,1008.8,63,39,86,,,
20/01/14,4.5,195,SSW,16.6,182,S,22.0,203,SSW,28.9,23.9,35.1,0.0,1006.9,1004.5,1009.7,67,41,89,,,
20/01/15,2.8,171,CALM,13.3,168,SSE,17.3,191,S,28.0,22.6,34.2,0.0,1007.3,1005.1,1010.0,67,42,90,,,
20/01/16,2.3,209,CALM,11.5,193,SSW,18.7,219,SW,28.1,22.5,36.0,0.0,1007.9,1005.5,1010.5,68,40,94,,,
20/01/17,1.8,207,CALM,13.3,189,S,22.3,163,SSE,27.8,22.7,35.7,0.0,1008.4,1006.3,1011.5,69,34,94,,,
20/01/18,2.5,134,CALM,14.4,179,S,19.8,166,SSE,28.7,23.2,36.0,0.0,1007.7,1005.1,1010.8,62,33,87,,,
20/01/19,3.2,136,CALM,14.0,191,S,19.4,169,S,28.7,23.8,34.3,0.0,1008.4,1005.9,1011.0,63,44,87,,,
20/01/20,2.3,118,CALM,15.1,322,NW,23.4,301,WNW,28.2,23.0,34.8,0.0,1009.9,1007.3,1012.3,57,37,78,,,
20/01/21,2.4,120,CALM,15.5,181,S,19.8,174,S,28.6,23.6,35.9,0.0,1010.4,1008.5,1013.6,61,35,87,,,
20/01/22,2.9,172,CALM,12.6,141,SE,18.7,298,WNW,29.3,23.7,36.3,0.0,1008.8,1006.6,1012.6,65,43,87,,,
20/01/23,7.6,197,SSW,22.3,201,SSW,29.9,208,SSW,30.3,24.1,36.6,0.0,1007.3,1004.2,1010.6,63,35,92,,,
20/01/24,7.3,183,S,22.3,180,S,29.2,186,S,29.7,25.3,36.1,0.0,1006.5,1003.6,1010.2,69,44,92,,,
20/01/25,7.7,206,SSW,20.5,193,SSW,27.0,203,SSW,29.0,23.3,35.8,0.0,1005.7,1002.4,1008.5,67,35,93,,,
20/01/26,3.8,227,CALM,14.4,181,S,22.3,183,S,26.7,17.4,36.4,0.0,1004.8,1001.8,1008.3,51,20,94,,,
20/01/27,4.1,236,SW,19.4,188,S,26.3,203,SSW,26.3,17.4,34.9,0.0,1004.8,1001.5,1007.2,47,19,80,,,
20/01/28,3.1,325,CALM,14.4,226,SW,21.6,233,SW,25.0,18.2,34.6,0.0,1007.0,1004.0,1009.4,50,13,82,,,
20/01/29,2.8,331,CALM,12.2,42,NE,20.2,118,ESE,26.1,19.8,33.8,0.0,1008.4,1005.9,1011.8,64,40,84,,,
20/01/30,5.9,114,ESE,15.8,141,SE,23.4,129,SE,27.0,22.0,32.8,0.0,1008.7,1005.6,1011.8,51,38,72,,,
20/01/31,4.0,136,SE,15.8,134,SE,25.6,107,ESE,26.4,20.7,32.9,0.0,1009.3,1006.7,1012.4,49,35,66,,,

