date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
20/12/01,3.8,38,CALM,15.1,60,ENE,23.8,17,NNE,25.3,21.8,30.9,0.0,1012.8,1010.3,1016.5,69,45,99,,,
20/12/02,3.9,52,NE,15.8,72,ENE,25.2,39,NE,25.1,21.9,29.2,0.0,1011.7,1009.3,1014.4,73,50,100,,,
20/12/03,5.3,45,NE,21.2,69,ENE,32.4,82,E,25.0,19.3,31.9,0.0,1012.1,1009.4,1014.5,67,41,100,,,
20/12/04,5.0,64,ENE,20.2,51,NE,29.5,39,NE,23.2,16.7,30.6,0.0,1012.9,1009.4,1015.4,61,38,91,,,
20/12/05,4.3,1,N,14.8,68,ENE,25.2,39,NE,22.1,16.1,29.7,0.0,1013.9,1010.6,1017.0,68,35,100,,,
20/12/06,3.3,349,CALM,14.0,62,ENE,22.0,113,ESE,22.6,16.4,30.8,0.0,1013.3,1010.6,1016.5,74,36,100,,,
20/12/07,3.5,347,CALM,13.7,48,NE,19.4,76,ENE,23.5,17.7,31.5,0.0,1013.3,1010.5,1016.0,72,32,100,,,
20/12/08,3.5,43,CALM,16.6,92,E,24.1,84,E,23.2,16.7,31.4,0.0,1012.3,1009.8,1016.1,75,39,100,,,
20/12/09,3.4,14,CALM,14.8,53,NE,22.7,129,SE,22.7,16.6,31.0,0.0,1010.9,1008.7,1014.4,75,37,100,,,
20/12/10,4.1,332,NNW,14.4,316,NW,19.4,70,ENE,23.2,17.1,31.4,0.0,1010.9,1008.6,1013.3,76,32,100,,,
20/12/11,4.8,323,NW,14.4,314,NW,20.5,34,NE,24.9,20.2,32.5,0.0,1009.8,1007.3,1013.3,73,38,100,,,
20/12/12,3.9,318,NW,13.0,308,NW,17.6,309,NW,26.5,20.8,33.3,0.0,1008.5,1006.2,1012.1,72,39,100,,,
20/12/13,2.7,290,CALM,11.5,312,NW,16.2,309,NW,27.1,22.2,34.7,0.0,1007.5,1004.7,1010.6,77,42,100,,,
20/12/14,2.3,325,CALM,12.2,150,SSE,18.7,115,ESE,26.7,22.8,34.0,0.0,1009.1,1006.8,1011.1,83,48,100,,,
20/12/15,3.0,354,CALM,15.8,74,ENE,25.2,73,ENE,26.3,21.9,33.2,0.0,1011.0,1008.8,1013.1,82,47,100,,,
20/12/16,3.9,37,CALM,15.8,106,ESE,25.6,56,NE,26.3,20.8,33.6,0.2,1011.4,1008.6,1014.4,70,40,97,,,
20/12/17,3.9,62,CALM,15.1,72,ENE,24.1,8,N,24.7,19.4,32.6,0.0,1011.0,1008.4,1014.1,71,40,99,,,
20/12/18,4.6,29,NNE,14.4,65,ENE,22.7,53,NE,25.3,20.4,32.0,0.0,1011.6,1008.8,1014.1,65,38,92,,,
20/12/19,4.9,56,NE,17.6,59,ENE,26.3,39,NE,23.9,18.6,31.0,0.0,1013.1,1010.0,1015.5,61,38,82,,,
20/12/20,5.3,49,NE,21.2,54,NE,31.3,28,NNE,22.3,16.3,29.5,0.0,1014.1,1010.8,1017.3,59,36,88,,,
20/12/21,4.3,18,NNE,17.6,14,NNE,27.0,124,SE,21.0,14.5,28.8,0.0,1013.8,1010.4,1017.3,67,34,97,,,
20/12/22,5.6,333,NNW,16.6,314,NW,23.8,315,NW,20.3,14.5,28.0,0.0,1012.1,1009.2,1016.6,74,37,100,,,
20/12/23,5.3,330,NNW,15.5,312,NW,22.3,295,WNW,22.2,16.1,29.9,0.0,1009.9,1007.5,1013.7,72,39,100,,,
20/12/24,5.5,329,NNW,15.8,302,WNW,24.8,354,N,24.4,17.9,31.1,0.0,1009.4,1006.9,1012.5,66,39,96,,,
20/12/25,3.0,19,CALM,11.5,101,E,17.3,82,E,24.9,20.5,32.2,0.0,1009.9,1007.4,1012.7,71,39,100,,,
20/12/26,2.7,334,CALM,11.5,42,NE,17.3,84,E,25.0,20.5,31.7,0.0,1010.1,1007.7,1013.2,79,46,100,,,
20/12/27,2.2,189,CALM,12.2,276,W,15.1,276,W,26.3,20.6,34.9,0.0,1008.3,1006.0,1011.9,77,42,100,,,
20/12/28,2.3,171,CALM,13.0,270,W,15.5,259,W,26.1,20.7,33.8,0.0,1008.0,1005.9,1010.9,82,47,100,,,
20/12/29,3.3,322,CALM,12.6,269,W,15.1,270,W,25.6,20.5,33.7,0.0,1008.3,1005.7,1010.9,76,43,100,,,
20/12/30,10.1,64,ENE,28.1,73,ENE,39.6,56,NE,25.8,18.6,32.5,0.0,1011.3,1007.9,1014.5,50,33,91,,,
20/12/31,7.2,57,ENE,26.3,69,ENE,40.7,56,NE,21.3,12.9,28.7,0.0,1014.3,1011.0,1017.0,55,33,90,,,

