date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
20/05/01,6.4,278,W,18.0,122,ESE,25.6,118,ESE,31.9,26.6,39.4,0.0,1003.8,1000.1,1006.7,62,34,85,,,
20/05/02,5.6,206,SSW,17.3,126,SE,22.7,121,ESE,32.4,27.6,38.4,0.0,1002.8,999.3,1006.0,61,41,81,,,
20/05/03,6.5,209,SSW,21.6,124,SE,27.7,115,ESE,33.8,28.9,40.5,0.0,1002.8,999.3,1005.9,55,31,73,,,
20/05/04,6.2,241,WSW,18.7,117,ESE,25.6,340,NNW,31.8,27.3,40.2,0.0,1003.9,1000.7,1006.9,62,35,79,,,
20/05/05,5.8,209,SSW,15.5,122,ESE,20.9,127,SE,34.3,28.2,41.5,0.0,1002.1,999.2,1005.4,54,31,75,,,
20/05/06,6.9,219,SW,19.4,127,SE,28.8,113,ESE,34.0,28.6,41.4,0.0,1001.7,998.4,1004.4,55,33,75,,,
20/05/07,6.8,242,WSW,23.8,125,SE,33.1,163,SSE,32.7,27.4,40.9,0.0,1001.7,997.7,1004.3,61,36,79,,,
20/05/08,5.0,243,WSW,23.4,210,SSW,34.6,174,S,31.0,27.0,40.6,1.8,1002.1,999.4,1003.8,70,34,87,,,
20/05/09,6.1,170,S,20.2,119,ESE,25.9,118,ESE,32.8,27.8,39.5,0.0,1002.7,999.6,1005.5,62,41,82,,,
20/05/10,6.0,172,S,18.4,119,ESE,26.6,127,SE,33.6,28.9,39.7,0.0,1002.8,999.8,1005.5,58,39,79,,,
20/05/11,5.2,273,W,30.2,218,SW,41.8,211,SSW,27.4,24.3,35.8,4.0,1004.8,1002.9,1006.2,82,54,95,,,
20/05/12,4.2,184,S,15.1,124,SE,19.8,115,ESE,31.1,25.6,37.2,0.0,1003.8,1001.0,1006.6,64,39,91,,,
20/05/13,6.5,153,SSE,20.9,101,E,28.8,110,ESE,32.4,27.5,38.6,0.0,1003.1,1000.2,1005.4,61,36,84,,,
20/05/14,5.8,202,SSW,18.4,126,SE,25.6,129,SE,32.8,27.0,39.4,0.0,1002.5,999.7,1005.8,59,35,79,,,
20/05/15,6.3,193,SSW,21.2,126,SE,27.0,118,ESE,33.2,28.0,39.6,0.0,1000.6,997.2,1003.6,57,31,75,,,
20/05/16,6.7,203,SSW,21.2,118,ESE,29.2,135,SE,33.6,29.1,40.3,0.0,999.9,996.5,1002.7,56,34,71,,,
20/05/17,5.0,239,WSW,19.8,315,NW,29.5,290,WNW,31.1,27.3,39.7,1.8,1000.2,997.7,1002.7,68,40,85,,,
20/05/18,4.7,217,SW,21.6,313,NW,29.2,321,NW,30.8,26.4,39.5,0.8,1000.2,996.9,1002.1,71,41,91,,,
20/05/19,5.6,235,SW,22.0,217,SW,30.2,208,SSW,31.4,26.9,37.7,0.2,1000.8,997.4,1003.1,63,42,84,,,
20/05/20,6.5,221,SW,22.0,117,ESE,32.0,115,ESE,31.6,27.4,38.3,0.0,1001.5,998.4,1003.3,64,40,80,,,
20/05/21,5.9,253,WSW,17.3,218,SW,23.4,259,W,32.7,28.0,39.3,0.0,1001.9,999.1,1004.3,58,40,77,,,
20/05/22,7.6,261,W,21.2,213,SSW,28.1,217,SW,33.2,29.2,40.7,0.0,1001.4,998.1,1003.9,59,32,75,,,
20/05/23,6.7,232,SW,23.0,178,S,28.4,312,NW,33.3,29.5,39.4,0.0,1001.8,998.5,1003.9,58,36,74,,,
20/05/24,6.0,241,WSW,24.8,119,ESE,41.8,318,NW,30.7,25.8,39.3,12.4,1003.5,999.9,1006.0,74,40,96,,,
20/05/25,3.8,263,CALM,20.2,317,NW,26.6,290,WNW,29.4,26.3,37.9,0.8,1005.1,1003.0,1006.7,76,45,90,,,
20/05/26,5.6,255,WSW,22.0,187,S,28.8,203,SSW,29.9,27.3,37.6,1.2,1004.8,1002.7,1007.1,73,45,86,,,
20/05/27,5.6,258,WSW,17.6,319,NW,24.5,248,WSW,32.0,27.4,39.1,0.4,1003.9,1000.5,1006.3,61,34,84,,,
20/05/28,4.8,260,W,27.7,234,SW,46.8,214,SW,28.8,24.9,39.2,21.6,1004.2,1001.2,1005.8,78,39,96,,,
20/05/29,6.0,247,WSW,19.1,318,NW,26.3,295,WNW,30.1,26.5,37.3,0.0,1004.5,1000.9,1006.5,69,42,88,,,
20/05/30,5.6,191,S,21.6,239,WSW,32.8,208,SSW,28.9,23.5,36.1,27.6,1005.5,1001.8,1007.6,76,43,98,,,
20/05/31,5.2,234,SW,20.9,212,SSW,27.0,197,SSW,30.4,26.2,37.4,0.0,1005.5,1002.1,1007.7,70,44,93,,,

