date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
20/10/01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20/10/02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20/10/03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20/10/04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20/10/05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20/10/06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20/10/07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20/10/08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20/10/09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20/10/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20/10/11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20/10/12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20/10/13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20/10/14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20/10/15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20/10/16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20/10/17,1.2,18,CALM,9.4,282,WNW,13.7,256,WSW,23.8,22.1,28.0,18.2,998.3,995.4,1000.0,94,0,97,,,
20/10/18,0.2,47,CALM,3.6,80,CALM,9.0,20,NNE,24.3,22.3,26.9,2.0,1001.1,998.8,1002.9,92,77,97,,,
20/10/19,0.1,55,CALM,6.8,305,NW,10.1,295,WNW,25.6,23.5,30.6,0.0,1002.2,999.7,1003.9,87,66,96,,,
20/10/20,0.4,62,CALM,4.0,85,E,8.6,23,NNE,25.7,22.7,29.6,0.0,1003.2,1000.6,1004.7,86,71,96,,,
20/10/21,0.8,58,CALM,6.5,347,NNW,14.4,53,NE,26.1,23.0,31.1,0.0,1002.9,1000.4,1005.4,84,65,96,,,
20/10/22,1.1,87,CALM,6.5,62,ENE,12.2,62,ENE,26.9,23.0,33.3,0.0,1002.8,1000.1,1004.9,74,47,89,,,
20/10/23,1.5,97,CALM,7.6,59,ENE,15.1,23,NNE,24.8,20.4,31.7,0.0,1003.5,1000.6,1005.4,78,45,96,,,
20/10/24,1.0,97,CALM,6.5,72,ENE,12.6,79,E,25.2,19.3,34.0,0.0,1003.7,1001.0,1005.8,74,36,95,,,
20/10/25,0.5,92,CALM,6.5,61,ENE,11.9,82,E,25.5,19.7,34.2,0.0,1003.4,1001.4,1006.0,77,35,95,,,
20/10/26,0.6,76,CALM,8.3,265,W,11.2,276,W,26.7,22.0,34.3,0.0,1002.5,1000.0,1005.1,77,43,95,,,
20/10/27,0.4,63,CALM,6.8,267,W,10.1,318,NW,26.4,23.8,31.8,0.0,1002.0,999.7,1003.9,84,59,97,,,
20/10/28,3.3,258,CALM,11.5,269,W,16.6,304,NW,27.7,24.3,32.4,0.0,1000.7,998.7,1003.9,80,53,97,,,
20/10/29,1.8,307,CALM,14.0,298,WNW,22.3,304,NW,26.0,24.0,31.5,7.2,1001.4,998.4,1003.5,88,58,97,,,
20/10/30,1.0,120,CALM,11.2,247,WSW,15.5,231,SW,26.1,24.2,33.5,26.6,1003.7,1001.1,1005.4,92,59,98,,,
20/10/31,1.0,98,CALM,14.0,255,WSW,19.4,211,SSW,26.2,24.1,32.8,10.4,1004.5,1001.8,1006.6,93,65,98,,,

