date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
20/10/01,1.8,125,CALM,8.6,126,SE,14.0,124,SE,27.8,23.4,32.0,0.2,1001.6,998.8,1004.4,79,62,97,,,
20/10/02,0.8,125,CALM,8.6,126,SE,14.8,129,SE,26.9,22.2,31.4,11.6,1002.2,999.5,1004.2,85,68,98,,,
20/10/03,1.8,125,CALM,10.1,126,SE,16.2,121,ESE,26.7,24.0,30.2,66.0,1003.5,1000.7,1005.4,88,72,98,,,
20/10/04,2.5,125,CALM,8.3,126,SE,13.7,124,SE,27.5,24.2,30.9,10.6,1003.8,1001.4,1005.8,84,68,98,,,
20/10/05,1.3,125,CALM,9.7,126,SE,19.1,124,SE,27.2,24.4,32.5,6.0,1003.7,1000.6,1006.0,87,61,98,,,
20/10/06,1.4,126,CALM,11.9,125,SE,18.0,129,SE,26.1,23.5,31.8,1.8,1003.4,1001.2,1005.7,91,67,98,,,
20/10/07,5.0,125,SE,21.6,125,SE,31.0,121,ESE,27.8,23.9,33.1,0.6,1001.8,999.5,1004.8,79,64,96,,,
20/10/08,4.2,125,SE,13.0,126,SE,17.6,129,SE,24.5,23.6,26.9,0.2,1001.0,999.3,1003.2,94,79,97,,,
20/10/09,5.9,125,SE,12.6,126,SE,20.9,127,SE,25.1,23.5,27.8,0.4,1001.7,999.4,1003.5,93,83,97,,,
20/10/10,3.2,125,CALM,10.8,125,SE,16.9,127,SE,24.2,23.4,26.0,0.2,1001.9,1000.1,1004.0,94,83,97,,,
20/10/11,2.9,125,CALM,11.9,126,SE,18.7,129,SE,24.9,23.1,30.8,0.2,1001.1,998.7,1003.1,91,67,97,,,
20/10/12,2.0,125,CALM,10.4,126,SE,15.8,124,SE,26.3,23.6,30.4,0.8,1000.9,998.5,1002.8,84,68,95,,,
20/10/13,3.1,125,CALM,13.0,125,SE,20.9,121,ESE,24.1,23.1,26.9,0.2,1002.1,1000.1,1004.0,92,74,98,,,
20/10/14,1.1,125,CALM,7.6,126,SE,11.9,127,SE,27.1,24.8,30.3,0.4,1001.6,999.4,1004.4,84,67,94,,,
20/10/15,1.7,125,CALM,8.3,126,SE,13.7,124,SE,27.8,25.1,31.3,84.2,1000.9,998.5,1003.4,81,67,96,,,
20/10/16,0.7,125,CALM,9.4,124,SE,16.6,121,ESE,24.8,23.7,28.9,6.6,1000.4,998.2,1002.7,96,84,98,,,
20/10/17,3.1,125,CALM,11.9,125,SE,20.2,121,ESE,23.6,22.1,25.2,97.6,1000.9,998.5,1002.3,96,91,99,,,
20/10/18,2.1,125,CALM,11.9,125,SE,17.6,127,SE,24.3,22.4,28.4,0.2,1003.1,1001.0,1004.7,89,72,95,,,
20/10/19,1.5,125,CALM,9.0,126,SE,13.0,129,SE,25.5,23.6,29.3,0.0,1004.2,1002.2,1005.8,85,70,94,,,
20/10/20,2.4,125,CALM,10.1,126,SE,17.6,124,SE,26.3,23.7,30.5,0.0,1005.1,1002.4,1006.4,82,67,91,,,
20/10/21,2.9,125,CALM,10.8,126,SE,18.7,129,SE,27.1,24.0,31.7,0.0,1004.8,1002.6,1007.6,78,61,91,,,
20/10/22,2.9,125,CALM,11.9,126,SE,19.4,129,SE,27.3,22.6,32.3,0.0,1004.5,1001.8,1006.6,71,52,90,,,
20/10/23,2.5,125,CALM,9.7,125,SE,17.3,124,SE,26.8,23.2,33.2,0.0,1005.1,1002.4,1007.0,64,45,89,,,
20/10/24,1.5,125,CALM,8.3,125,SE,15.5,127,SE,26.7,21.4,32.4,0.0,1005.5,1002.9,1007.5,66,44,88,,,
20/10/25,1.2,126,CALM,9.7,125,SE,16.6,127,SE,26.0,21.8,32.8,0.0,1005.3,1003.6,1007.7,72,44,93,,,
20/10/26,0.2,125,CALM,6.1,125,SE,7.9,127,SE,27.0,23.0,32.7,0.0,1004.3,1002.2,1006.9,76,46,93,,,
20/10/27,0.6,125,CALM,8.3,125,SE,12.2,127,SE,27.0,25.1,30.7,0.0,1003.9,1001.7,1005.7,78,62,88,,,
20/10/28,0.9,125,CALM,8.6,124,SE,13.7,129,SE,27.1,25.5,29.4,0.0,1003.0,1000.8,1006.2,82,70,90,,,
20/10/29,2.0,125,CALM,9.0,126,SE,15.5,127,SE,25.9,23.1,30.3,10.4,1003.4,1000.6,1005.2,86,67,97,,,
20/10/30,0.9,126,CALM,8.3,126,SE,11.9,129,SE,25.2,23.5,31.1,6.8,1005.6,1003.2,1007.1,92,67,99,,,
20/10/31,1.6,125,CALM,9.7,125,SE,15.8,129,SE,25.8,24.0,31.3,0.4,1006.4,1004.2,1008.3,93,70,99,,,

