date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
20/06/01,3.4,285,CALM,22.0,287,WNW,31.3,270,W,28.3,23.6,37.1,0.0,1003.6,1001.2,1005.8,75,38,100,,,
20/06/02,4.1,274,W,20.5,289,WNW,31.7,290,WNW,27.5,24.2,32.8,0.0,1003.1,1000.6,1005.7,71,54,83,,,
20/06/03,5.1,261,W,21.2,276,W,32.0,259,W,28.6,25.3,35.3,0.0,1002.0,1000.0,1003.9,66,45,80,,,
20/06/04,3.1,259,CALM,22.3,208,SSW,33.5,172,S,28.6,25.7,35.8,0.0,1001.6,998.3,1003.9,68,39,83,,,
20/06/05,2.4,300,CALM,15.1,11,N,25.2,14,NNE,27.9,25.3,34.3,0.0,1001.8,1000.1,1003.5,73,47,84,,,
20/06/06,3.2,203,CALM,19.8,188,S,29.5,239,WSW,27.8,25.7,33.8,0.0,1001.9,1000.1,1003.7,73,48,83,,,
20/06/07,4.8,249,WSW,16.6,292,WNW,24.8,278,W,29.2,24.9,34.8,0.0,1000.9,998.6,1003.3,61,40,78,,,
20/06/08,5.2,256,WSW,15.5,270,W,24.8,284,WNW,29.8,24.9,36.4,0.0,1000.6,997.3,1002.8,60,38,79,,,
20/06/09,4.9,263,W,19.8,196,SSW,29.2,293,WNW,29.2,25.5,35.9,0.0,1001.1,998.3,1003.0,64,41,84,,,
20/06/10,4.3,265,W,16.9,291,WNW,29.9,183,S,28.7,25.6,36.0,0.0,1001.5,998.8,1003.4,69,41,84,,,
20/06/11,5.7,269,W,17.3,291,WNW,24.8,270,W,30.4,26.4,35.7,0.0,1000.0,997.2,1002.7,59,41,78,,,
20/06/12,7.2,271,W,20.2,289,WNW,29.9,312,NW,30.6,26.5,36.2,0.0,998.2,995.3,1000.7,59,39,79,,,
20/06/13,6.4,273,W,18.0,292,WNW,31.7,293,WNW,31.7,27.7,37.2,0.0,997.8,994.6,1000.2,56,35,75,,,
20/06/14,4.3,118,ESE,18.7,44,NE,29.2,270,W,27.8,25.0,34.4,0.0,1000.5,996.5,1003.3,71,48,84,,,
20/06/15,3.8,225,CALM,14.0,262,W,23.4,219,SW,28.5,25.4,33.3,0.0,1002.3,999.5,1004.2,67,46,83,,,
20/06/16,5.4,236,SW,18.0,190,S,26.3,169,S,28.0,24.1,33.8,0.0,1002.5,999.5,1005.2,67,45,82,,,
20/06/17,5.7,271,W,27.7,279,W,49.0,273,W,26.8,23.7,33.5,0.0,1002.9,999.9,1004.7,71,48,83,,,
20/06/18,4.5,276,W,19.4,279,W,29.2,267,W,28.4,23.6,32.2,0.0,1002.0,999.6,1004.0,66,50,90,,,
20/06/19,3.0,271,CALM,16.2,212,SSW,24.1,163,SSE,27.2,24.3,34.4,0.0,1001.8,999.8,1003.9,74,44,88,,,
20/06/20,2.9,256,CALM,16.6,202,SSW,27.7,219,SW,30.2,26.3,35.9,0.0,1000.7,998.2,1003.0,62,41,81,,,
20/06/21,2.6,270,CALM,18.0,288,WNW,27.7,284,WNW,29.9,26.2,36.1,0.0,999.5,996.2,1001.9,66,42,82,,,
20/06/22,1.9,268,CALM,20.9,191,S,27.0,203,SSW,28.1,25.1,35.7,0.0,1000.6,998.4,1002.2,72,43,97,,,
20/06/23,0.9,267,CALM,15.5,242,WSW,30.2,200,SSW,28.3,25.5,35.4,0.0,1001.7,999.6,1003.0,75,41,91,,,
20/06/24,4.1,274,W,22.7,190,S,32.0,186,S,29.8,25.9,36.1,0.0,1000.8,997.7,1003.0,64,42,81,,,
20/06/25,3.4,261,CALM,18.7,259,W,31.0,248,WSW,29.2,24.7,36.5,0.0,1000.2,996.7,1002.1,67,39,85,,,
20/06/26,1.9,254,CALM,18.0,212,SSW,28.4,217,SW,28.1,24.9,35.6,0.0,1000.8,998.8,1002.9,71,46,89,,,
20/06/27,2.1,257,CALM,20.2,203,SSW,28.1,205,SSW,28.3,25.3,35.1,0.0,1000.8,998.7,1002.8,68,43,83,,,
20/06/28,2.3,259,CALM,15.1,259,W,25.9,214,SW,28.6,25.3,34.6,0.0,1000.4,998.1,1002.1,66,44,82,,,
20/06/29,3.9,239,WSW,17.3,188,S,25.6,211,SSW,28.9,24.3,32.0,0.0,1000.3,998.0,1001.9,68,53,100,,,
20/06/30,3.8,269,CALM,22.7,270,W,34.9,273,W,26.9,24.5,34.2,0.0,1000.2,998.3,1002.1,80,46,100,,,

