date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
20/08/01,7.5,220,SW,17.3,227,SW,30.6,250,WSW,29.0,27.2,31.6,0.8,1000.8,999.1,1002.2,82,73,98,,,
20/08/02,7.6,219,SW,23.0,227,SW,32.4,256,WSW,28.0,25.7,29.8,3.4,1000.1,998.2,1001.9,86,74,98,,,
20/08/03,4.9,193,SSW,19.8,225,SW,32.0,250,WSW,26.9,24.0,32.1,26.4,1001.1,999.2,1003.4,89,70,98,,,
20/08/04,2.9,189,CALM,11.2,322,NW,21.6,158,SSE,26.7,24.2,30.1,12.6,1003.0,1001.0,1004.7,95,80,98,,,
20/08/05,3.9,202,SSW,16.9,223,SW,25.2,270,W,27.4,23.6,31.8,53.6,1004.5,1002.6,1006.1,89,70,98,,,
20/08/06,3.0,176,CALM,14.4,283,WNW,24.5,262,W,26.3,23.7,31.0,8.4,1004.8,1003.0,1006.5,95,79,98,,,
20/08/07,2.3,184,CALM,9.4,322,NW,12.6,149,SSE,25.9,23.5,28.8,17.2,1004.3,1002.4,1006.2,94,83,98,,,
20/08/08,2.6,168,CALM,12.6,51,NE,19.1,45,NE,26.0,24.2,30.6,0.8,1004.3,1002.4,1006.1,89,78,98,,,
20/08/09,3.3,184,CALM,17.3,227,SW,26.6,231,SW,27.2,24.3,30.8,0.0,1004.4,1001.5,1006.1,92,79,98,,,
20/08/10,3.0,200,CALM,16.9,225,SW,26.6,225,SW,27.2,25.0,31.0,0.0,1005.4,1003.5,1007.9,91,76,98,,,
20/08/11,4.5,205,SSW,16.2,231,SW,25.2,273,W,27.7,23.3,32.8,0.0,1005.7,1003.1,1008.1,82,70,98,,,
20/08/12,4.4,126,SE,18.0,46,NE,25.2,219,SW,26.4,23.6,31.6,0.6,1005.9,1004.0,1007.5,86,72,98,,,
20/08/13,3.0,56,CALM,14.8,240,WSW,20.5,270,W,25.3,23.3,30.3,0.0,1005.5,1003.1,1008.1,93,82,98,,,
20/08/14,3.1,359,CALM,20.9,268,W,31.7,290,WNW,25.8,22.0,30.9,0.0,1006.4,1003.7,1008.6,84,0,98,,,
20/08/15,2.2,14,CALM,13.7,324,NW,22.3,323,NW,25.4,23.1,30.4,0.0,1006.5,1005.0,1008.0,91,75,98,,,
20/08/16,2.9,50,CALM,13.3,232,SW,20.5,236,SW,26.3,23.6,32.3,0.0,1005.8,1003.7,1008.1,87,66,98,,,
20/08/17,2.7,206,CALM,15.1,228,SW,22.7,242,WSW,27.6,24.3,32.6,0.0,1004.8,1002.1,1006.9,88,72,98,,,
20/08/18,2.8,28,CALM,15.1,226,SW,22.7,233,SW,27.5,24.9,33.2,0.0,1004.3,1001.7,1006.3,90,61,98,,,
20/08/19,3.3,196,CALM,19.4,223,SW,31.0,239,WSW,28.3,22.7,32.9,0.0,1004.3,1001.6,1006.5,85,65,98,,,
20/08/20,2.8,135,CALM,12.2,244,WSW,18.0,236,SW,27.4,22.4,32.6,0.0,1005.5,1002.8,1008.2,88,67,98,,,
20/08/21,2.4,182,CALM,11.2,221,SW,19.4,242,WSW,26.8,24.0,31.0,0.0,1006.3,1003.9,1008.5,92,76,98,,,
20/08/22,3.3,171,CALM,13.3,224,SW,23.0,253,WSW,28.7,24.2,33.4,0.0,1005.9,1003.6,1007.3,83,66,98,,,
20/08/23,3.2,190,CALM,15.8,231,SW,25.2,250,WSW,28.6,24.5,33.2,0.0,1006.5,1004.2,1007.9,86,65,98,,,
20/08/24,3.4,204,CALM,14.0,224,SW,19.4,222,SW,28.7,25.0,33.4,0.0,1006.5,1004.4,1008.4,83,62,98,,,
20/08/25,3.1,190,CALM,16.2,236,SW,22.0,233,SW,29.0,25.4,34.0,0.0,1006.2,1004.3,1008.0,85,63,98,,,
20/08/26,3.3,186,CALM,14.8,235,SW,23.0,225,SW,29.3,25.6,33.9,0.0,1005.0,1003.0,1007.2,84,64,98,,,
20/08/27,4.2,222,SW,15.1,246,WSW,22.0,239,WSW,29.2,25.9,33.5,0.0,1003.4,1001.6,1005.7,81,60,98,,,
20/08/28,3.3,1,CALM,16.2,227,SW,22.7,222,SW,27.4,23.8,33.5,0.0,1003.1,1001.4,1004.5,87,64,98,,,
20/08/29,3.0,152,CALM,13.0,206,SSW,20.2,231,SW,28.9,25.2,34.8,0.0,1003.0,1000.8,1004.8,84,56,98,,,
20/08/30,3.1,129,CALM,13.3,240,WSW,22.0,155,SSE,28.4,25.0,33.5,0.0,1003.4,1000.7,1006.2,87,65,98,,,
20/08/31,3.4,164,CALM,13.7,218,SW,24.1,239,WSW,29.1,25.5,34.0,0.0,1006.1,1003.4,1008.1,85,65,98,,,

