date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
20/03/01,4.0,89,E,15.5,212,SSW,22.3,236,SW,28.0,24.4,34.2,0.0,1008.3,1006.3,1010.9,83,59,100,,,
20/03/02,4.2,126,SE,16.9,210,SSW,22.7,214,SW,28.7,24.5,33.9,0.0,1008.5,1006.4,1010.6,82,61,100,,,
20/03/03,4.9,125,SE,16.6,235,SW,23.8,236,SW,28.5,25.7,33.9,0.0,1008.5,1005.9,1011.8,82,58,97,,,
20/03/04,2.8,44,CALM,11.2,164,SSE,17.6,188,S,25.9,23.7,28.7,0.0,1008.7,1006.9,1010.9,96,84,100,,,
20/03/05,4.8,139,SE,15.5,217,SW,21.6,141,SE,28.3,24.1,33.5,0.0,1009.2,1006.6,1011.4,85,63,100,,,
20/03/06,4.6,81,E,15.8,152,SSE,23.0,158,SSE,27.4,23.1,33.3,0.0,1010.5,1008.5,1013.4,87,61,100,,,
20/03/07,4.2,78,ENE,14.0,184,S,20.5,191,S,28.6,23.5,34.2,0.0,1009.7,1007.7,1013.3,81,51,100,,,
20/03/08,4.6,60,ENE,14.4,225,SW,22.3,256,WSW,28.5,24.5,34.6,0.0,1007.2,1005.0,1011.7,83,56,100,,,
20/03/09,4.4,91,E,14.8,184,S,22.0,158,SSE,28.4,23.2,35.3,0.0,1005.9,1003.6,1009.1,84,51,100,,,
20/03/10,4.8,81,E,14.4,246,WSW,21.6,172,S,28.0,22.0,34.5,0.0,1006.9,1004.9,1009.3,81,58,100,,,
20/03/11,4.4,93,E,14.4,215,SW,19.8,166,SSE,28.7,23.8,35.2,0.0,1008.5,1006.5,1010.6,82,57,99,,,
20/03/12,4.0,138,SE,15.5,235,SW,22.3,177,S,29.7,25.8,34.8,0.0,1010.0,1008.0,1012.1,82,62,97,,,
20/03/13,3.1,92,CALM,15.1,220,SW,20.2,219,SW,29.7,26.6,35.3,0.0,1009.4,1007.3,1012.5,82,59,97,,,
20/03/14,3.3,100,CALM,14.4,187,S,21.2,186,S,29.6,26.8,34.6,0.0,1008.3,1005.8,1010.8,85,66,98,,,
20/03/15,3.7,27,CALM,21.6,294,WNW,34.9,315,NW,26.9,23.4,34.2,0.0,1009.4,1007.4,1011.3,88,63,100,,,
20/03/16,4.1,127,SE,14.8,210,SSW,20.9,191,S,28.9,23.8,34.4,0.0,1010.2,1008.4,1011.6,81,56,100,,,
20/03/17,4.3,86,E,15.5,142,SE,24.1,152,SSE,28.2,25.6,34.1,0.0,1010.2,1008.0,1013.1,83,56,96,,,
20/03/18,3.4,108,CALM,17.3,196,SSW,26.6,208,SSW,28.4,24.4,32.9,0.0,1008.6,1006.3,1011.5,85,64,100,,,
20/03/19,3.0,99,CALM,14.0,212,SSW,18.7,152,SSE,28.4,24.5,33.7,0.0,1008.6,1006.2,1010.7,85,51,100,,,
20/03/20,4.4,115,ESE,18.7,132,SE,29.2,124,SE,28.3,23.4,33.9,0.0,1009.2,1006.5,1011.6,85,60,100,,,
20/03/21,3.3,47,CALM,16.6,220,SW,22.0,225,SW,27.6,24.4,33.5,0.0,1009.6,1007.6,1012.7,87,62,100,,,
20/03/22,3.8,76,CALM,13.3,208,SSW,20.2,236,SW,28.5,24.7,34.1,0.0,1008.6,1006.6,1011.7,82,59,99,,,
20/03/23,4.0,88,E,14.4,208,SSW,21.6,200,SSW,28.4,25.1,34.0,0.0,1008.0,1005.8,1011.0,84,61,99,,,
20/03/24,2.9,83,CALM,15.1,222,SW,20.2,214,SW,28.3,25.1,33.5,0.0,1006.7,1004.7,1010.1,83,62,98,,,
20/03/25,4.5,84,E,16.2,207,SSW,22.0,183,S,28.2,24.8,33.6,0.0,1007.0,1005.1,1009.0,85,65,100,,,
20/03/26,4.0,92,E,16.9,210,SSW,21.2,203,SSW,29.0,25.5,33.6,0.0,1008.1,1006.4,1009.8,84,64,99,,,
20/03/27,4.1,84,E,15.1,220,SW,20.9,155,SSE,29.1,25.8,34.6,0.0,1007.8,1006.2,1010.3,83,57,100,,,
20/03/28,4.0,90,E,13.7,215,SW,20.5,183,S,29.2,25.3,34.8,0.0,1006.7,1004.6,1010.0,84,62,99,,,
20/03/29,4.2,108,ESE,16.2,207,SSW,22.7,239,WSW,29.6,25.9,34.5,0.0,1006.5,1004.6,1009.4,83,61,99,,,
20/03/30,3.9,75,ENE,21.2,39,NE,28.1,20,NNE,27.7,24.2,32.9,0.0,1007.5,1005.3,1010.3,92,70,100,,,
20/03/31,4.1,90,E,15.1,230,SW,20.5,217,SW,29.4,25.8,35.4,0.0,1007.1,1004.9,1010.1,81,45,100,,,

