date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
20/10/01,7.1,242,WSW,20.2,261,W,31.3,270,W,29.0,27.0,33.4,0.0,1006.0,1003.7,1008.6,74,60,88,,,
20/10/02,3.6,271,CALM,14.0,275,W,23.0,236,SW,28.5,25.5,34.6,1.0,1006.2,1004.0,1008.0,80,57,91,,,
20/10/03,4.4,215,SW,15.8,136,SE,19.1,141,SE,28.1,25.8,31.7,0.0,1007.7,1005.0,1010.3,81,68,91,,,
20/10/04,5.8,217,SW,16.6,138,SE,24.5,264,W,29.4,26.7,35.5,0.0,1008.0,1005.5,1010.0,76,52,85,,,
20/10/05,2.3,330,CALM,12.2,264,W,19.8,273,W,29.2,26.7,33.4,0.0,1007.7,1004.9,1009.7,79,63,92,,,
20/10/06,1.3,322,CALM,11.5,90,E,17.3,219,SW,27.7,25.0,32.4,0.2,1007.5,1005.8,1009.3,85,72,92,,,
20/10/07,4.2,306,NW,18.0,52,NE,28.1,332,NNW,28.3,24.7,34.6,36.4,1006.1,1003.6,1008.8,83,59,98,,,
20/10/08,4.0,321,NW,16.2,317,NW,27.4,318,NW,27.1,24.7,30.4,1.0,1005.0,1002.6,1007.3,86,72,98,,,
20/10/09,2.2,317,CALM,10.4,301,WNW,17.3,295,WNW,26.6,25.0,28.8,9.0,1005.6,1003.6,1007.3,91,86,96,,,
20/10/10,2.6,323,CALM,12.6,333,NNW,21.6,315,NW,25.6,24.7,27.5,4.8,1005.9,1004.0,1008.1,94,87,97,,,
20/10/11,1.6,305,CALM,11.2,39,NE,17.3,8,N,26.2,24.8,29.5,24.2,1005.4,1002.8,1007.1,93,80,98,,,
20/10/12,2.9,318,CALM,13.3,352,N,17.6,0,N,25.6,24.0,29.5,37.0,1005.2,1003.3,1006.8,95,87,99,,,
20/10/13,3.2,326,CALM,16.2,359,N,24.5,326,NW,26.0,24.1,32.0,45.6,1006.4,1003.6,1008.6,92,74,98,,,
20/10/14,4.2,235,SW,12.2,245,WSW,23.8,262,W,27.6,24.6,31.2,1.4,1006.0,1003.7,1008.8,85,70,98,,,
20/10/15,6.5,244,WSW,17.3,287,WNW,29.2,281,W,28.0,25.5,31.7,0.0,1005.1,1002.4,1007.6,79,67,88,,,
20/10/16,3.2,268,CALM,15.5,238,WSW,26.3,278,W,27.4,24.9,32.4,7.0,1004.6,1001.9,1006.8,84,67,96,,,
20/10/17,2.6,286,CALM,14.4,10,N,22.3,14,NNE,26.3,24.3,30.6,15.4,1005.3,1002.3,1007.0,92,80,97,,,
20/10/18,5.5,1,N,12.6,17,NNE,19.1,352,N,25.0,23.5,28.3,58.0,1007.3,1004.9,1008.9,96,92,99,,,
20/10/19,3.5,349,CALM,11.2,348,NNW,17.3,323,NW,25.7,23.8,28.8,16.4,1008.2,1006.1,1009.8,93,83,98,,,
20/10/20,5.3,347,NNW,15.8,47,NE,23.4,51,NE,27.1,24.6,31.5,29.6,1009.1,1005.9,1011.0,88,71,96,,,
20/10/21,4.8,345,NNW,16.9,13,NNE,25.9,23,NNE,27.9,25.0,31.9,0.0,1008.7,1006.0,1011.5,82,67,94,,,
20/10/22,4.9,347,NNW,17.3,17,NNE,24.8,28,NNE,28.4,25.4,32.4,0.0,1008.4,1005.4,1010.7,79,68,93,,,
20/10/23,4.5,344,NNW,14.4,9,N,21.2,23,NNE,27.4,24.0,32.0,0.0,1009.1,1006.4,1011.0,79,64,91,,,
20/10/24,5.4,355,N,16.6,66,ENE,27.0,53,NE,27.5,23.2,32.1,0.0,1009.5,1006.8,1011.5,74,51,90,,,
20/10/25,2.8,343,CALM,14.8,102,ESE,23.4,65,ENE,27.9,24.2,31.9,0.0,1009.4,1007.8,1011.9,78,60,93,,,
20/10/26,2.5,197,CALM,11.2,101,E,15.8,270,W,29.0,25.0,32.7,0.0,1008.3,1006.1,1011.1,79,64,93,,,
20/10/27,1.9,324,CALM,16.2,357,N,21.2,0,N,27.2,25.0,32.4,8.8,1008.1,1005.9,1010.1,87,67,97,,,
20/10/28,3.9,259,W,11.5,228,SW,21.2,183,S,26.6,25.2,31.5,28.0,1007.6,1005.6,1010.4,92,76,97,,,
20/10/29,4.7,260,W,17.6,250,WSW,25.9,278,W,28.0,24.5,34.9,2.6,1007.4,1004.6,1009.8,81,58,95,,,
20/10/30,3.4,166,CALM,11.5,123,ESE,14.0,132,SE,27.7,24.5,31.8,15.8,1009.4,1006.4,1011.1,87,73,97,,,
20/10/31,3.4,342,CALM,10.1,103,ESE,13.3,110,ESE,28.2,24.9,32.1,0.0,1010.2,1007.7,1012.4,86,69,97,,,

