date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
20/02/01,12.9,120,ESE,20.9,132,SE,24.8,129,SE,25.0,22.6,31.0,0.0,1011.0,1008.8,1012.5,77,59,85,,,
20/02/02,11.2,117,ESE,16.9,106,ESE,22.0,87,E,25.3,22.1,33.6,0.0,1011.5,0.0,1014.5,74,57,84,,,
20/02/03,9.6,127,SE,16.6,137,SE,19.4,135,SE,25.1,21.5,31.5,0.0,1011.5,1009.8,1014.0,72,55,82,,,
20/02/04,8.9,126,SE,14.0,133,SE,17.6,138,SE,25.3,21.6,32.7,0.0,1010.7,1008.8,1012.8,70,50,81,,,
20/02/05,9.8,126,SE,14.8,131,SE,18.7,138,SE,25.5,22.2,32.0,0.0,1010.5,1008.5,1012.2,72,53,83,,,
20/02/06,7.4,110,ESE,13.0,103,ESE,16.6,110,ESE,25.3,20.0,33.5,0.0,1011.3,1009.5,1013.3,74,51,91,,,
20/02/07,5.8,108,ESE,11.9,170,S,15.8,96,E,25.2,21.4,32.3,0.0,1011.5,1009.8,1013.7,73,51,88,,,
20/02/08,6.3,119,ESE,13.0,106,ESE,19.1,87,E,25.0,19.9,32.4,0.8,1012.2,1010.6,1013.7,73,51,93,,,
20/02/09,5.1,49,NE,16.6,73,ENE,24.5,82,E,24.8,20.5,31.2,0.0,1010.8,1008.9,1013.7,76,55,89,,,
20/02/10,8.7,81,E,21.2,87,E,31.0,98,E,23.8,20.0,30.6,45.0,1011.3,1010.0,1012.7,85,61,100,,,
20/02/11,12.8,104,ESE,19.4,103,ESE,28.4,84,E,25.5,23.2,29.2,0.0,1011.8,1010.2,1013.2,80,69,87,,,
20/02/12,10.8,121,ESE,17.3,118,ESE,20.2,113,ESE,26.3,24.3,32.6,0.0,1011.5,1009.5,1014.3,77,55,87,,,
20/02/13,7.5,129,SE,14.0,118,ESE,16.6,127,SE,26.5,24.3,32.5,0.0,1010.2,1008.2,1013.2,76,55,86,,,
20/02/14,4.7,111,ESE,11.5,134,SE,14.8,163,SSE,25.7,23.1,32.3,0.0,1009.2,1007.3,1010.9,81,57,94,,,
20/02/15,5.3,133,SE,11.5,161,SSE,15.5,169,S,27.0,22.7,34.8,0.0,1010.3,1008.2,1012.2,77,52,94,,,
20/02/16,5.2,92,E,10.8,101,E,16.2,45,NE,26.7,21.9,34.4,0.0,1011.0,1009.2,1012.8,76,50,96,,,
20/02/17,5.9,98,E,21.6,93,E,31.3,96,E,26.5,21.5,34.0,0.0,1011.8,1010.2,1013.5,75,50,97,,,
20/02/18,18.7,120,ESE,27.7,119,ESE,34.6,96,E,25.6,22.8,28.1,0.0,1012.1,1010.3,1014.0,80,70,94,,,
20/02/19,10.2,118,ESE,26.6,105,ESE,33.8,110,ESE,23.4,20.5,28.3,12.8,1012.3,1010.7,1014.3,88,68,100,,,
20/02/20,11.8,114,ESE,19.1,114,ESE,24.8,104,ESE,26.4,-7.2,28.5,0.2,1012.1,1010.0,1013.9,75,0,85,,,
20/02/21,9.8,84,E,22.7,116,ESE,28.4,53,NE,27.6,24.4,31.4,3.4,1013.4,1011.5,1015.5,82,67,98,,,
20/02/22,11.2,102,ESE,27.4,96,E,41.8,110,ESE,28.0,25.8,30.6,0.6,1013.0,1010.9,1015.3,81,68,94,,,
20/02/23,9.0,97,E,30.2,95,E,38.2,113,ESE,27.6,23.2,30.8,10.8,1012.2,1010.4,1014.9,81,69,98,,,
20/02/24,12.3,123,ESE,22.7,127,SE,28.8,132,SE,28.0,25.5,29.2,3.4,1010.7,1008.7,1013.2,79,75,96,,,
20/02/25,11.1,131,SE,18.7,132,SE,22.7,129,SE,28.0,27.1,30.1,0.0,1010.4,1008.2,1012.4,77,69,83,,,
20/02/26,9.4,131,SE,17.3,134,SE,19.8,135,SE,28.3,27.2,30.2,0.0,1010.1,1008.2,1012.3,79,69,86,,,
20/02/27,10.1,140,SE,20.2,137,SE,24.1,138,SE,28.4,27.4,30.9,0.0,1009.6,1007.9,1011.3,79,70,86,,,
20/02/28,10.9,130,SE,17.6,168,SSE,20.9,135,SE,28.2,27.0,29.9,0.0,1008.9,1007.2,1010.7,78,71,83,,,
20/02/29,9.1,142,SE,15.1,136,SE,18.4,129,SE,28.1,25.4,30.1,0.0,1009.0,1007.3,1010.6,79,70,90,,,

