date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
20/01/01,9.2,83,E,28.1,77,ENE,43.9,45,NE,27.6,25.7,30.5,0.0,1012.5,1010.4,1014.5,72,63,82,,,
20/01/02,10.0,82,E,25.6,145,SE,35.6,129,SE,27.6,25.9,30.3,0.4,1012.4,1010.2,1014.6,76,65,86,,,
20/01/03,9.1,81,E,24.1,100,E,33.5,107,ESE,27.7,26.0,31.1,0.4,1011.1,1009.2,1013.5,77,62,88,,,
20/01/04,7.3,105,ESE,23.4,71,ENE,33.5,42,NE,27.3,24.8,30.8,0.0,1009.9,1007.5,1012.3,76,59,86,,,
20/01/05,9.3,91,E,22.7,90,E,31.7,84,E,27.1,24.6,30.9,0.0,1010.4,1008.2,1012.0,75,57,85,,,
20/01/06,6.1,83,E,19.8,80,E,29.5,90,E,27.1,22.6,31.3,0.0,1010.2,1008.0,1012.6,76,54,97,,,
20/01/07,6.9,78,ENE,19.4,73,ENE,28.1,53,NE,27.6,22.8,30.6,0.0,1009.5,1007.4,1011.6,76,60,97,,,
20/01/08,7.8,88,E,24.8,113,ESE,36.4,141,SE,27.9,25.3,31.3,0.0,1008.4,1005.8,1010.4,76,61,84,,,
20/01/09,7.1,90,E,22.7,77,ENE,35.3,17,NNE,27.4,23.7,31.4,0.0,1008.5,1006.4,1010.4,76,55,96,,,
20/01/10,5.2,71,ENE,20.5,93,E,27.7,37,NE,27.2,23.8,31.4,0.0,1008.4,1006.1,1010.1,81,63,98,,,
20/01/11,3.7,69,CALM,15.8,33,NNE,22.0,23,NNE,27.2,23.4,32.8,0.0,1008.2,1006.2,1010.2,80,51,98,,,
20/01/12,5.6,72,ENE,16.6,33,NNE,24.8,17,NNE,27.9,23.6,32.5,0.0,1007.3,1005.4,1010.0,76,55,97,,,
20/01/13,9.4,89,E,21.6,102,ESE,32.4,98,E,27.4,25.0,31.0,0.0,1008.2,1005.9,1009.5,76,62,85,,,
20/01/14,8.3,92,E,20.9,93,E,29.9,28,NNE,27.3,25.0,31.4,0.0,1008.8,1006.8,1011.2,75,56,86,,,
20/01/15,7.8,71,ENE,20.5,121,ESE,34.2,107,ESE,26.7,22.4,31.2,0.0,1009.4,1007.5,1011.0,77,56,97,,,
20/01/16,5.2,51,NE,18.0,76,ENE,29.9,56,NE,26.3,22.1,31.6,0.0,1010.1,1008.4,1011.5,79,54,99,,,
20/01/17,7.0,72,ENE,20.2,97,E,34.2,129,SE,27.6,22.2,31.7,0.0,1010.2,1008.1,1012.2,77,57,99,,,
20/01/18,7.9,89,E,23.0,69,ENE,30.6,65,ENE,27.8,25.6,32.0,0.0,1009.5,1007.5,1011.7,78,60,89,,,
20/01/19,9.1,90,E,20.9,72,ENE,33.1,59,ENE,28.0,25.7,31.7,0.0,1009.9,1007.7,1011.7,78,62,87,,,
20/01/20,8.0,79,E,23.0,94,E,32.8,101,E,28.0,25.7,32.2,0.2,1011.1,1008.6,1013.5,77,58,91,,,
20/01/21,8.8,98,E,25.9,72,ENE,38.5,87,E,27.7,25.4,31.4,0.0,1011.8,1009.9,1014.1,77,60,86,,,
20/01/22,7.9,90,E,22.3,73,ENE,33.1,76,ENE,27.7,25.3,31.8,4.4,1010.9,1008.9,1013.3,79,59,94,,,
20/01/23,7.1,79,E,20.5,34,NE,27.4,82,E,27.9,25.1,32.1,0.0,1010.1,1007.7,1012.2,78,61,87,,,
20/01/24,5.7,81,E,19.4,77,ENE,30.2,87,E,26.7,21.7,31.7,0.0,1009.8,1007.8,1012.4,73,30,97,,,
20/01/25,5.3,75,ENE,17.6,61,ENE,25.9,34,NE,26.8,22.3,32.4,0.0,1009.0,1006.7,1011.3,77,49,99,,,
20/01/26,3.9,66,CALM,15.5,48,NE,23.8,45,NE,26.2,22.1,32.2,0.0,1008.1,1005.9,1010.6,82,57,99,,,
20/01/27,3.7,64,CALM,16.2,41,NE,22.0,20,NNE,27.0,22.5,32.7,0.0,1008.1,1005.8,1010.7,79,55,99,,,
20/01/28,3.7,47,CALM,14.4,45,NE,22.0,48,NE,27.5,22.9,32.4,0.0,1008.9,1005.7,1011.1,79,58,98,,,
20/01/29,4.5,74,ENE,21.2,37,NE,29.2,14,NNE,27.8,23.3,33.2,0.2,1010.7,1008.5,1012.3,76,51,97,,,
20/01/30,6.8,55,NE,18.0,30,NNE,27.7,346,NNW,27.9,23.5,32.6,0.0,1010.5,1008.1,1012.3,72,51,96,,,
20/01/31,10.4,87,E,25.2,100,E,37.1,39,NE,27.7,24.4,31.8,18.8,1010.7,1008.5,1012.4,77,56,98,,,

