date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
20/07/01,14.9,225,SW,33.1,245,WSW,47.5,239,WSW,28.0,25.5,31.2,0.0,960.3,958.1,962.6,67,59,75,,,
20/07/02,14.8,226,SW,37.8,240,WSW,48.6,233,SW,28.3,24.8,32.2,0.0,959.9,957.1,961.5,67,56,79,,,
20/07/03,14.4,225,SW,32.4,239,WSW,42.5,225,SW,27.6,24.2,32.0,0.0,961.7,959.4,963.5,67,56,83,,,
20/07/04,12.5,230,SW,31.7,236,SW,38.9,250,WSW,27.1,24.8,29.9,0.0,962.8,960.8,964.6,70,62,80,,,
20/07/05,12.1,233,SW,36.4,247,WSW,43.6,239,WSW,27.9,22.6,33.3,0.0,960.9,958.5,963.3,70,50,93,,,
20/07/06,9.7,151,SSE,27.4,246,WSW,31.7,250,WSW,27.7,23.6,33.8,18.4,961.0,958.7,963.0,77,51,97,,,
20/07/07,6.0,99,E,29.5,151,SSE,38.2,155,SSE,25.8,22.2,33.2,0.8,963.0,960.9,964.8,85,54,97,,,
20/07/08,5.7,170,S,20.2,239,WSW,25.2,59,ENE,28.4,22.9,34.2,0.0,962.7,960.7,964.6,72,50,94,,,
20/07/09,8.4,194,SSW,28.1,248,WSW,33.1,245,WSW,28.3,23.3,33.1,0.0,961.2,959.4,963.1,73,53,91,,,
20/07/10,8.4,195,SSW,27.4,232,SW,33.8,242,WSW,28.9,23.4,34.2,0.0,961.8,959.9,963.5,69,50,93,,,
20/07/11,7.7,214,SW,26.3,253,WSW,31.0,242,WSW,28.2,24.1,32.3,0.0,961.7,960.0,963.2,73,57,91,,,
20/07/12,4.2,98,E,11.2,139,SE,15.1,132,SE,25.6,23.7,29.6,0.0,961.0,959.0,962.5,83,66,92,,,
20/07/13,5.8,190,S,26.6,239,WSW,30.6,242,WSW,25.9,22.4,31.9,5.6,961.8,958.8,963.6,84,58,96,,,
20/07/14,8.8,220,SW,25.6,245,WSW,29.9,250,WSW,27.4,23.2,32.7,7.6,961.8,959.0,964.2,78,55,97,,,
20/07/15,7.2,201,SSW,29.2,237,WSW,35.6,236,SW,26.8,22.4,32.8,0.0,961.3,959.2,963.2,79,53,95,,,
20/07/16,6.7,197,SSW,24.5,242,WSW,32.4,214,SW,26.8,22.6,32.3,0.0,961.0,957.9,962.4,77,54,95,,,
20/07/17,9.1,226,SW,25.9,255,WSW,34.2,236,SW,28.0,22.9,33.0,0.0,962.2,959.8,964.3,73,53,95,,,
20/07/18,8.0,178,S,28.1,244,WSW,32.4,256,WSW,27.7,23.1,34.8,5.0,962.6,960.2,964.6,79,51,96,,,
20/07/19,6.1,123,ESE,22.3,239,WSW,31.3,233,SW,27.1,23.3,33.5,1.6,962.0,959.3,964.1,79,55,95,,,
20/07/20,6.7,74,ENE,23.0,137,SE,32.4,166,SSE,26.4,23.4,33.1,2.2,962.3,959.9,964.0,83,53,96,,,
20/07/21,6.5,144,SE,26.3,281,W,29.5,284,WNW,25.5,22.6,31.5,11.2,963.1,960.8,964.7,87,59,97,,,
20/07/22,4.6,90,E,24.5,240,WSW,31.3,253,WSW,26.0,21.9,32.9,2.0,962.8,960.1,964.4,83,54,97,,,
20/07/23,4.4,118,ESE,30.2,238,WSW,35.3,239,WSW,26.5,23.0,32.9,18.6,963.0,961.1,964.5,84,56,97,,,
20/07/24,6.4,81,E,28.4,62,ENE,34.6,143,SE,25.6,22.7,33.1,8.6,962.9,961.0,965.0,86,56,97,,,
20/07/25,4.7,115,ESE,25.6,83,E,31.7,82,E,24.7,21.3,30.9,15.2,962.6,960.0,963.9,89,61,98,,,
20/07/26,5.6,147,SSE,21.2,260,W,25.9,115,ESE,27.2,22.1,33.0,0.0,962.0,960.0,964.2,76,55,97,,,
20/07/27,6.0,148,SSE,24.1,250,WSW,28.8,248,WSW,27.6,22.8,33.8,0.2,961.3,958.4,963.2,76,54,94,,,
20/07/28,6.9,165,SSE,23.4,253,WSW,26.6,259,W,25.9,21.4,31.4,7.8,962.5,959.6,965.4,84,63,98,,,
20/07/29,12.5,235,SW,32.0,232,SW,42.5,236,SW,26.6,22.0,32.1,21.4,962.9,960.1,965.4,78,56,98,,,
20/07/30,11.2,228,SW,25.9,248,WSW,31.7,248,WSW,27.7,23.6,31.5,0.0,961.2,959.3,963.8,73,61,89,,,
20/07/31,11.9,215,SW,26.6,231,SW,35.6,239,WSW,28.4,25.0,32.3,0.0,959.0,956.7,961.6,70,57,84,,,

