date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
20/06/01,4.5,191,S,19.4,173,S,29.5,143,SE,30.1,26.1,36.5,0.0,985.8,983.5,988.2,65,39,81,,,
20/06/02,3.2,142,CALM,20.5,260,W,32.0,233,SW,26.8,23.8,34.4,13.6,985.3,982.5,987.8,80,51,98,,,
20/06/03,3.2,179,CALM,23.8,256,WSW,38.5,264,W,27.9,24.8,35.8,0.6,984.2,982.1,986.2,74,45,88,,,
20/06/04,3.6,180,CALM,16.6,253,WSW,25.2,287,WNW,29.6,25.8,37.0,0.0,983.7,980.7,985.9,65,39,85,,,
20/06/05,2.9,230,CALM,15.5,20,NNE,22.0,59,ENE,28.4,25.7,34.1,0.8,983.9,982.2,985.5,74,51,90,,,
20/06/06,5.1,174,S,19.1,171,S,30.2,172,S,30.4,25.8,36.7,0.2,983.8,981.1,985.5,62,39,83,,,
20/06/07,4.9,176,S,18.4,166,SSE,25.9,124,SE,29.9,25.5,35.3,0.0,983.1,980.5,985.5,64,44,80,,,
20/06/08,4.5,184,S,15.5,165,SSE,23.8,172,S,30.8,25.5,37.1,0.0,983.3,980.6,985.7,57,39,72,,,
20/06/09,4.3,201,SSW,18.0,172,S,27.4,208,SSW,30.8,25.5,37.6,0.0,983.9,981.1,985.6,59,36,82,,,
20/06/10,3.8,202,CALM,14.8,177,S,24.5,183,S,30.6,25.0,37.7,0.0,984.2,981.1,986.4,58,33,82,,,
20/06/11,3.7,222,CALM,16.6,164,SSE,27.0,174,S,30.8,26.2,38.6,0.0,982.9,980.6,985.4,57,33,77,,,
20/06/12,4.1,227,SW,14.8,254,WSW,23.0,264,W,31.9,26.7,37.9,0.0,980.9,978.2,983.5,56,32,81,,,
20/06/13,5.3,204,SSW,18.0,170,S,29.2,203,SSW,32.3,27.1,39.5,0.4,980.6,977.6,982.9,56,31,81,,,
20/06/14,3.8,88,CALM,13.0,172,S,20.5,290,WNW,27.3,23.6,32.5,40.0,983.4,979.6,986.2,84,59,100,,,
20/06/15,3.5,167,CALM,14.0,171,S,21.6,129,SE,28.2,24.7,33.7,0.4,985.0,982.2,986.6,73,53,100,,,
20/06/16,3.3,185,CALM,13.0,257,WSW,22.3,267,W,27.3,23.9,34.3,19.0,985.1,982.7,987.3,78,48,100,,,
20/06/17,3.5,188,CALM,13.3,256,WSW,24.1,236,SW,26.8,24.2,33.7,3.0,985.3,982.8,986.8,77,53,92,,,
20/06/18,3.7,259,CALM,15.8,301,WNW,25.6,323,NW,28.4,25.6,31.9,0.0,984.9,983.0,986.7,71,54,85,,,
20/06/19,2.9,239,CALM,15.1,259,W,25.2,276,W,28.4,24.7,35.9,1.0,984.6,982.6,986.9,73,42,92,,,
20/06/20,3.1,189,CALM,10.4,21,NNE,17.3,295,WNW,30.4,26.0,35.8,0.0,983.6,981.4,986.0,64,45,83,,,
20/06/21,4.4,250,WSW,16.9,257,WSW,26.3,259,W,30.2,23.4,36.6,25.4,982.5,979.4,985.2,66,41,100,,,
20/06/22,3.1,182,CALM,19.1,166,SSE,30.2,166,SSE,28.0,24.7,36.6,8.8,983.4,980.4,985.2,83,43,100,,,
20/06/23,2.8,227,CALM,11.5,314,NW,20.2,160,SSE,29.8,25.5,35.9,0.0,984.5,982.0,986.0,69,44,100,,,
20/06/24,3.2,235,CALM,10.1,262,W,16.9,169,S,31.5,26.5,37.7,0.0,983.6,980.7,986.0,61,38,84,,,
20/06/25,3.5,215,CALM,22.0,260,W,31.0,259,W,31.0,26.1,37.7,0.0,982.9,980.1,984.5,60,38,80,,,
20/06/26,3.0,208,CALM,18.4,262,W,27.0,259,W,28.7,25.5,35.3,0.0,983.5,981.8,985.1,70,46,86,,,
20/06/27,2.9,206,CALM,16.2,102,ESE,24.8,84,E,28.6,25.0,35.5,26.4,983.4,981.1,985.5,72,42,100,,,
20/06/28,4.4,221,SW,15.1,161,SSE,23.8,163,SSE,32.7,27.3,35.7,0.0,983.8,981.8,984.9,55,45,77,,,
20/06/29,3.9,178,S,15.5,173,S,25.9,152,SSE,29.7,25.6,35.6,0.0,982.2,979.7,984.0,64,41,80,,,
20/06/30,5.4,196,SSW,20.2,260,W,28.4,250,WSW,29.9,26.2,35.3,0.0,981.9,979.3,983.8,65,43,83,,,

