date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
20/11/01,4.7,28,NNE,13.7,38,NE,20.5,3,N,26.8,23.1,32.4,0.2,988.9,986.4,991.5,83,58,100,,,
20/11/02,5.8,33,NNE,18.0,35,NE,25.9,34,NE,26.6,22.1,31.7,0.0,989.6,986.9,991.7,77,57,92,,,
20/11/03,6.5,36,NE,23.4,24,NNE,31.0,14,NNE,26.0,21.7,31.6,0.0,989.6,986.9,992.8,79,56,93,,,
20/11/04,5.0,16,NNE,15.5,24,NNE,23.4,28,NNE,25.4,21.8,30.6,0.0,989.7,987.2,991.9,81,59,96,,,
20/11/05,5.3,19,NNE,17.3,30,NNE,26.6,20,NNE,25.7,21.7,31.0,0.0,989.3,986.9,991.0,79,53,98,,,
20/11/06,6.4,27,NNE,15.8,29,NNE,25.2,45,NE,25.9,22.7,30.7,0.0,989.9,987.5,991.8,78,59,91,,,
20/11/07,7.3,28,NNE,20.9,36,NE,32.4,45,NE,25.5,22.5,28.5,0.0,990.6,988.2,992.7,76,63,85,,,
20/11/08,7.6,21,NNE,20.5,41,NE,29.2,73,ENE,24.9,20.3,30.1,0.0,990.6,988.9,993.6,75,56,93,,,
20/11/09,7.8,22,NNE,24.1,19,NNE,36.0,23,NNE,24.3,19.1,30.2,0.0,989.9,987.6,991.8,74,51,93,,,
20/11/10,9.1,15,NNE,24.8,38,NE,37.1,332,NNW,25.0,20.0,29.5,0.6,989.4,986.3,991.9,64,45,88,,,
20/11/11,7.9,3,N,22.0,10,N,31.3,23,NNE,22.0,19.5,25.6,4.6,990.8,988.9,992.6,82,61,96,,,
20/11/12,6.1,15,NNE,16.2,4,N,28.8,51,NE,23.0,18.8,28.0,0.0,990.9,989.0,993.2,82,67,93,,,
20/11/13,4.4,5,N,18.0,24,NNE,28.1,23,NNE,23.0,17.5,29.5,0.0,989.5,987.1,992.2,73,39,99,,,
20/11/14,5.2,357,N,21.2,16,NNE,32.4,6,N,23.6,18.5,30.5,0.0,988.6,986.2,991.3,70,35,96,,,
20/11/15,4.5,32,NNE,17.3,26,NNE,27.4,346,NNW,24.7,20.2,30.1,0.0,989.3,987.1,991.3,75,53,98,,,
20/11/16,2.5,356,CALM,11.5,54,NE,16.9,14,NNE,25.9,21.0,32.0,0.0,989.1,987.3,992.0,80,52,97,,,
20/11/17,2.4,111,CALM,13.3,33,NNE,19.1,25,NNE,26.7,22.1,33.7,0.0,987.4,985.2,990.4,82,50,100,,,
20/11/18,2.3,79,CALM,13.0,106,ESE,20.9,53,NE,27.4,21.7,35.2,0.0,986.7,984.6,988.9,79,45,100,,,
20/11/19,2.2,51,CALM,12.6,27,NNE,17.3,152,SSE,27.5,22.5,35.2,0.0,986.1,983.5,988.7,79,45,100,,,
20/11/20,2.1,56,CALM,11.5,25,NNE,16.9,121,ESE,28.2,23.2,35.2,0.0,986.6,984.2,989.1,78,44,99,,,
20/11/21,3.2,109,CALM,17.6,138,SE,24.8,160,SSE,28.2,23.9,34.9,15.8,987.2,984.1,989.1,79,46,100,,,
20/11/22,3.1,63,CALM,10.8,21,NNE,16.6,121,ESE,27.6,22.8,34.6,0.0,988.9,986.1,990.9,80,52,100,,,
20/11/23,5.3,31,NNE,14.4,146,SE,20.9,31,NNE,26.6,22.1,32.2,0.0,990.8,987.0,992.6,76,55,91,,,
20/11/24,5.4,33,NNE,16.6,127,SE,23.0,68,ENE,26.7,21.7,33.1,0.0,991.2,988.6,994.2,75,47,95,,,
20/11/25,5.2,38,NE,15.5,72,ENE,23.0,37,NE,26.5,21.5,33.0,0.0,991.3,988.1,993.9,74,49,95,,,
20/11/26,5.9,30,NNE,22.0,16,NNE,36.4,149,SSE,26.0,21.1,32.0,0.0,992.0,989.1,994.9,75,50,96,,,
20/11/27,7.5,25,NNE,20.9,26,NNE,31.3,28,NNE,25.8,20.0,32.3,0.0,993.1,990.2,995.2,71,49,94,,,
20/11/28,8.8,24,NNE,20.2,23,NNE,29.5,20,NNE,25.6,20.7,31.2,0.0,993.0,989.9,996.0,70,51,90,,,
20/11/29,11.0,36,NE,25.6,25,NNE,32.8,25,NNE,25.4,21.1,31.4,0.0,993.0,990.0,995.3,65,46,83,,,
20/11/30,10.4,24,NNE,25.2,24,NNE,34.9,37,NE,24.6,20.7,29.7,0.0,993.5,990.2,995.6,67,52,80,,,

