date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
20/07/01,8.7,213,SSW,20.5,287,WNW,29.2,287,WNW,29.4,24.6,35.3,0.4,986.0,983.3,988.4,69,48,92,,,
20/07/02,7.8,187,S,19.8,158,SSE,25.2,163,SSE,27.5,24.7,33.2,2.8,986.1,983.2,987.7,78,54,90,,,
20/07/03,7.5,193,SSW,23.0,201,SSW,34.6,217,SW,26.8,23.9,32.9,6.2,988.2,985.1,990.3,82,59,94,,,
20/07/04,6.7,212,SSW,18.4,220,SW,25.2,225,SW,27.3,24.0,31.8,0.6,989.1,986.6,991.3,76,54,93,,,
20/07/05,5.1,226,SW,16.9,212,SSW,23.8,287,WNW,29.2,24.9,34.6,0.0,986.7,984.4,989.6,70,48,91,,,
20/07/06,6.0,165,SSE,18.4,161,SSE,26.6,172,S,29.6,24.7,36.2,0.0,987.4,984.4,990.1,70,44,91,,,
20/07/07,7.1,159,SSE,36.7,175,S,52.9,186,S,28.3,22.8,34.8,24.6,989.9,987.1,991.9,75,50,97,,,
20/07/08,5.7,172,S,15.5,160,SSE,21.2,174,S,29.6,25.3,34.8,0.0,989.1,987.4,991.3,69,47,89,,,
20/07/09,5.4,192,SSW,14.8,230,SW,20.2,149,SSE,30.6,25.5,36.4,0.0,987.2,984.8,989.6,65,42,86,,,
20/07/10,7.0,189,S,16.9,239,WSW,28.1,217,SW,30.2,24.8,36.2,0.0,987.8,985.3,989.6,64,44,88,,,
20/07/11,5.3,182,S,13.3,206,SSW,19.4,180,S,30.1,25.7,36.1,0.0,987.8,985.1,989.6,65,46,84,,,
20/07/12,5.5,205,SSW,19.4,165,SSE,30.2,146,SE,28.3,23.7,35.3,4.2,987.4,984.0,989.9,75,48,95,,,
20/07/13,5.4,164,SSE,22.0,153,SSE,31.3,158,SSE,28.0,24.8,33.7,0.0,988.3,985.3,990.2,79,53,93,,,
20/07/14,5.2,242,WSW,25.6,118,ESE,33.1,118,ESE,27.8,23.3,35.1,7.0,988.1,984.9,991.1,78,48,97,,,
20/07/15,5.1,198,SSW,17.6,215,SW,22.3,228,SW,28.7,25.2,34.9,0.0,987.5,985.2,990.0,74,49,89,,,
20/07/16,5.9,180,S,21.2,216,SW,28.4,228,SW,28.4,24.4,33.5,3.4,987.6,984.7,989.4,76,55,92,,,
20/07/17,5.5,162,SSE,16.2,126,SE,21.2,110,ESE,29.1,25.0,34.8,0.0,988.7,986.3,990.0,73,49,95,,,
20/07/18,5.6,194,SSW,15.8,279,W,22.0,287,WNW,29.9,25.3,35.8,0.0,988.9,985.9,990.9,69,45,90,,,
20/07/19,5.7,187,S,16.2,215,SW,26.6,293,WNW,30.2,25.7,35.5,0.0,988.1,985.1,990.3,67,47,87,,,
20/07/20,5.2,184,S,19.4,156,SSE,24.8,152,SSE,28.3,24.3,35.6,0.0,988.8,985.5,991.6,74,47,93,,,
20/07/21,4.8,185,S,14.4,156,SSE,18.7,158,SSE,28.6,24.4,34.2,0.0,989.5,987.2,991.1,74,53,94,,,
20/07/22,5.1,160,SSE,19.1,211,SSW,27.4,158,SSE,29.1,24.6,34.6,0.0,989.2,986.6,991.4,72,48,92,,,
20/07/23,4.2,214,SW,23.8,293,WNW,29.9,273,W,29.0,24.2,36.6,33.2,989.2,986.7,990.8,74,42,95,,,
20/07/24,5.2,177,S,18.7,23,NNE,31.7,23,NNE,26.3,23.3,33.1,20.6,989.4,986.5,991.8,85,59,96,,,
20/07/25,5.0,174,S,14.4,154,SSE,19.8,166,SSE,29.1,24.4,34.3,0.0,988.8,986.3,990.9,72,48,94,,,
20/07/26,5.3,205,SSW,15.8,208,SSW,19.4,200,SSW,29.6,24.9,34.7,0.0,988.2,985.8,990.6,68,47,91,,,
20/07/27,5.5,189,S,14.8,146,SE,20.5,163,SSE,30.3,25.7,36.0,0.0,987.3,984.1,989.5,67,44,91,,,
20/07/28,4.4,164,SSE,19.4,207,SSW,26.3,211,SSW,27.7,24.9,32.3,0.0,988.9,985.9,990.8,78,57,95,,,
20/07/29,6.3,251,WSW,18.4,298,WNW,23.8,228,SW,28.3,23.9,34.1,18.8,988.5,985.7,990.5,77,52,96,,,
20/07/30,7.5,247,WSW,18.4,287,WNW,24.1,259,W,29.8,25.5,34.6,0.0,986.5,984.2,989.3,68,48,87,,,
20/07/31,7.9,236,SW,24.5,17,NNE,38.2,17,NNE,28.3,23.1,35.2,62.8,984.4,981.5,987.3,76,48,98,,,

