date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
20/12/01,4.3,32,NNE,15.8,25,NNE,21.2,11,N,23.3,17.7,31.1,0.0,995.3,992.9,998.8,72,42,95,,,
20/12/02,5.0,44,NE,14.4,41,NE,20.5,25,NNE,23.7,17.4,31.6,0.0,994.5,991.4,996.9,71,43,92,,,
20/12/03,4.9,43,NE,15.5,46,NE,24.1,82,E,22.3,15.4,30.5,0.0,995.2,992.0,997.3,72,43,96,,,
20/12/04,5.3,39,NE,15.5,29,NNE,24.5,28,NNE,20.2,13.2,28.2,0.0,995.8,992.4,998.1,69,42,96,,,
20/12/05,3.7,18,CALM,14.4,29,NNE,20.2,23,NNE,19.6,13.2,28.5,0.0,996.0,993.1,999.0,72,39,99,,,
20/12/06,2.5,12,CALM,13.7,20,NNE,20.2,23,NNE,19.6,13.5,28.8,0.0,995.5,993.0,998.6,75,40,99,,,
20/12/07,3.9,25,NNE,14.0,15,NNE,22.0,11,N,22.1,14.8,30.5,0.0,995.6,992.6,998.4,74,44,98,,,
20/12/08,3.0,30,CALM,13.7,39,NE,19.8,8,N,20.9,14.0,30.1,0.0,994.9,992.4,998.4,74,40,99,,,
20/12/09,2.4,352,CALM,13.7,14,NNE,18.0,23,NNE,19.8,13.3,29.1,0.0,993.1,990.6,996.8,76,41,100,,,
20/12/10,2.9,331,CALM,13.3,9,N,19.1,357,N,21.8,13.8,30.4,0.0,992.6,990.2,995.1,74,40,100,,,
20/12/11,1.9,311,CALM,12.6,30,NNE,17.3,28,NNE,23.7,17.6,32.5,0.0,991.7,989.0,995.0,77,43,99,,,
20/12/12,1.7,47,CALM,10.4,4,N,16.2,0,N,25.1,18.7,33.6,0.0,990.3,988.1,993.8,76,43,99,,,
20/12/13,1.3,176,CALM,8.3,24,NNE,12.2,14,NNE,25.3,19.9,33.8,0.0,989.5,986.7,992.4,78,43,99,,,
20/12/14,1.7,40,CALM,12.2,53,NE,16.6,20,NNE,25.0,19.4,33.5,0.0,991.4,988.9,993.6,79,47,99,,,
20/12/15,3.6,42,CALM,13.7,44,NE,20.2,34,NE,24.7,18.4,32.2,0.0,993.8,991.0,996.0,77,54,99,,,
20/12/16,4.2,44,NE,13.0,33,NNE,20.5,37,NE,23.6,15.5,31.9,0.0,994.5,991.4,997.3,70,45,95,,,
20/12/17,3.5,35,CALM,14.8,20,NNE,20.5,20,NNE,22.3,15.5,30.8,0.0,993.9,991.0,997.0,72,45,97,,,
20/12/18,4.6,42,NE,15.5,22,NNE,22.0,8,N,22.0,13.8,30.3,0.0,994.9,991.7,996.7,68,45,97,,,
20/12/19,5.0,43,NE,15.1,11,N,23.8,53,NE,20.2,12.9,28.4,0.0,996.7,993.2,999.2,68,43,95,,,
20/12/20,4.3,38,NE,14.4,42,NE,23.4,349,N,17.7,11.3,26.8,0.0,997.4,994.3,1000.3,73,42,98,,,
20/12/21,4.2,28,NNE,16.2,23,NNE,24.5,20,NNE,17.8,11.2,26.6,0.0,996.2,993.4,999.4,71,39,98,,,
20/12/22,3.5,17,CALM,14.8,308,NW,23.0,34,NE,18.6,11.4,27.7,0.0,993.9,990.9,998.4,72,39,98,,,
20/12/23,2.9,14,CALM,15.1,14,NNE,21.6,23,NNE,20.3,13.4,28.8,0.0,991.8,989.1,995.5,77,45,99,,,
20/12/24,3.6,35,CALM,13.3,30,NNE,21.6,62,ENE,23.1,15.5,31.9,0.0,991.8,988.9,994.5,74,44,99,,,
20/12/25,2.7,42,CALM,13.3,32,NNE,21.2,31,NNE,23.3,17.7,31.1,0.0,992.5,989.9,995.6,75,46,96,,,
20/12/26,2.4,302,CALM,13.0,13,NNE,16.9,8,N,23.8,18.3,31.9,0.0,992.0,989.4,995.7,77,46,96,,,
20/12/27,1.5,56,CALM,11.2,19,NNE,15.8,6,N,24.9,19.5,33.2,0.0,990.4,988.3,994.0,77,46,99,,,
20/12/28,1.7,137,CALM,10.8,65,ENE,18.0,68,ENE,25.0,19.6,34.0,0.0,989.8,987.4,992.9,77,42,99,,,
20/12/29,2.7,74,CALM,12.2,323,NW,19.8,104,ESE,25.6,19.7,34.5,0.0,990.7,987.6,994.0,70,37,99,,,
20/12/30,6.4,51,NE,16.9,47,NE,27.0,90,E,21.9,13.4,31.9,0.0,995.3,991.6,998.9,66,39,94,,,
20/12/31,5.8,32,NNE,18.0,38,NE,26.6,25,NNE,17.8,10.4,27.0,0.0,997.9,994.8,1000.4,68,39,95,,,

