date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
20/11/01,2.5,345,CALM,15.5,315,NW,22.3,326,NW,27.0,24.4,33.3,13.0,1008.0,1005.5,1010.2,89,63,98,,,
20/11/02,2.3,1,CALM,12.6,279,W,21.6,253,WSW,26.3,23.8,30.5,38.6,1008.0,1004.9,1010.2,93,77,98,,,
20/11/03,2.3,48,CALM,20.2,247,WSW,28.4,253,WSW,26.5,24.2,34.3,32.8,1008.0,1005.3,1009.8,92,58,98,,,
20/11/04,1.9,31,CALM,13.7,268,W,18.7,28,NNE,26.5,23.9,34.0,1.2,1007.7,1005.6,1010.7,91,61,98,,,
20/11/05,2.1,342,CALM,15.8,243,WSW,21.6,304,NW,27.0,23.8,33.7,3.8,1007.9,1005.7,1009.6,89,57,98,,,
20/11/06,2.3,9,CALM,14.4,296,WNW,23.4,20,NNE,27.3,24.8,34.7,6.2,1007.7,1005.1,1009.4,89,57,98,,,
20/11/07,1.5,35,CALM,11.9,67,ENE,16.2,225,SW,26.1,23.7,33.2,41.2,1008.1,1006.1,1010.0,93,64,98,,,
20/11/08,1.8,351,CALM,12.2,275,W,17.6,163,SSE,27.4,24.1,35.4,0.0,1007.2,1004.6,1009.9,88,56,98,,,
20/11/09,2.2,18,CALM,15.5,62,ENE,21.6,65,ENE,25.8,23.0,32.5,1.0,1006.9,1004.6,1009.7,91,59,98,,,
20/11/10,2.0,36,CALM,14.0,62,ENE,22.0,79,E,27.6,23.4,33.7,1.0,1006.3,1003.1,1008.4,84,58,98,,,
20/11/11,3.1,12,CALM,12.6,58,ENE,19.8,51,NE,28.7,25.0,35.0,0.0,1006.4,1003.2,1008.6,80,55,98,,,
20/11/12,2.6,26,CALM,14.8,71,ENE,19.1,107,ESE,27.8,24.7,34.0,11.0,1006.5,1004.4,1008.8,86,60,98,,,
20/11/13,3.5,7,CALM,16.9,61,ENE,23.8,56,NE,27.9,24.1,35.2,2.2,1006.0,1003.7,1007.8,85,56,98,,,
20/11/14,3.0,16,CALM,14.8,79,E,21.2,59,ENE,27.4,24.3,34.1,1.4,1006.0,1002.6,1008.1,88,58,98,,,
20/11/15,4.4,35,NE,15.5,66,ENE,22.7,53,NE,28.8,25.1,35.2,0.2,1006.4,1003.1,1008.9,79,56,98,,,
20/11/16,6.4,46,NE,18.7,66,ENE,26.3,79,E,29.0,24.4,34.7,0.0,1006.2,1004.0,1008.6,77,55,97,,,
20/11/17,3.8,17,CALM,23.0,65,ENE,33.1,53,NE,26.7,24.0,33.0,8.0,1005.8,1003.5,1007.4,89,61,98,,,
20/11/18,2.5,354,CALM,15.1,68,ENE,20.9,73,ENE,26.9,24.5,34.8,16.6,1005.6,1003.2,1007.7,90,56,98,,,
20/11/19,3.5,45,CALM,20.2,65,ENE,26.6,76,ENE,27.9,24.2,34.4,0.2,1005.2,1002.2,1007.4,85,58,98,,,
20/11/20,2.0,324,CALM,17.3,287,WNW,25.2,287,WNW,27.0,23.9,34.0,42.2,1005.8,1003.6,1008.1,89,61,98,,,
20/11/21,2.8,45,CALM,15.5,55,NE,24.5,281,W,26.6,24.0,34.4,7.2,1006.8,1003.9,1008.9,91,58,98,,,
20/11/22,2.0,355,CALM,16.9,292,WNW,25.2,321,NW,25.4,23.3,32.5,46.2,1008.2,1005.2,1010.1,95,67,98,,,
20/11/23,2.9,22,CALM,16.6,80,E,24.5,121,ESE,27.2,23.8,34.3,0.6,1007.8,1004.8,1009.9,86,57,98,,,
20/11/24,4.0,45,NE,18.7,65,ENE,25.9,354,N,27.8,24.3,33.0,0.0,1006.8,1004.4,1009.4,81,60,98,,,
20/11/25,5.2,48,NE,22.3,71,ENE,34.2,82,E,26.9,24.6,31.8,0.6,1006.5,1004.4,1008.3,84,66,98,,,
20/11/26,8.7,55,NE,25.2,68,ENE,35.6,82,E,27.8,25.0,31.8,0.4,1006.0,1003.7,1008.5,80,64,98,,,
20/11/27,6.5,65,ENE,21.6,62,ENE,30.2,51,NE,26.4,24.8,29.7,12.0,1007.0,1005.0,1009.3,89,78,97,,,
20/11/28,3.9,54,NE,18.0,84,E,27.0,39,NE,26.8,23.4,33.6,7.0,1007.6,1004.8,1010.2,87,58,98,,,
20/11/29,3.7,40,CALM,18.0,41,NE,28.1,56,NE,27.4,23.8,33.4,0.2,1006.6,1004.1,1008.7,84,59,98,,,
20/11/30,3.8,19,CALM,15.5,60,ENE,22.7,48,NE,27.2,24.1,33.1,12.0,1006.5,1003.9,1008.2,86,61,98,,,

