date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
20/05/01,5.6,49,NE,19.1,40,NE,24.8,23,NNE,28.8,24.8,36.4,0.0,1006.0,1003.2,1008.6,74,46,95,,,
20/05/02,4.3,10,N,29.5,197,SSW,36.4,194,SSW,28.4,24.7,37.3,4.4,1005.6,1002.7,1007.8,80,41,97,,,
20/05/03,3.9,7,N,19.4,71,ENE,33.8,53,NE,29.6,24.1,37.0,0.2,1005.8,1002.4,1007.8,73,41,97,,,
20/05/04,4.9,240,WSW,31.3,56,NE,40.7,59,ENE,28.7,24.0,38.7,56.4,1006.7,1003.5,1008.9,77,32,98,,,
20/05/05,4.4,170,S,20.5,161,SSE,25.2,155,SSE,29.7,24.6,36.7,0.2,1005.8,1002.7,1007.9,75,41,98,,,
20/05/06,3.8,177,CALM,18.0,159,SSE,24.5,127,SE,29.3,25.5,35.3,0.0,1005.0,1002.5,1007.0,79,50,98,,,
20/05/07,4.3,196,SSW,19.8,136,SE,28.1,135,SE,29.1,25.2,36.8,11.2,1004.8,1001.2,1007.1,80,46,98,,,
20/05/08,3.4,197,CALM,22.0,160,SSE,32.8,163,SSE,27.8,25.3,34.9,0.2,1005.2,1002.4,1006.8,84,53,98,,,
20/05/09,4.3,167,SSE,24.5,215,SW,29.5,222,SW,29.4,25.4,36.5,0.0,1005.2,1002.2,1007.6,80,46,98,,,
20/05/10,4.1,130,SE,18.0,212,SSW,24.1,73,ENE,29.5,25.8,36.0,0.0,1005.2,1002.1,1007.2,81,48,96,,,
20/05/11,3.6,284,CALM,19.8,157,SSE,30.2,180,S,27.1,24.6,35.0,7.6,1005.7,1003.7,1007.8,88,57,98,,,
20/05/12,3.8,340,CALM,26.6,221,SW,33.8,222,SW,27.0,24.3,34.5,20.8,1005.7,1003.7,1007.4,90,58,98,,,
20/05/13,4.7,19,NNE,20.2,198,SSW,26.3,188,S,30.0,25.3,36.6,0.0,1004.9,1002.4,1007.0,75,44,98,,,
20/05/14,3.7,114,CALM,22.0,170,S,31.0,172,S,26.8,24.1,33.8,1.8,1005.0,1002.8,1006.9,87,58,98,,,
20/05/15,3.0,130,CALM,13.3,158,SSE,22.3,160,SSE,28.6,24.9,35.5,0.2,1003.3,1000.5,1005.2,81,50,98,,,
20/05/16,3.8,93,CALM,22.3,78,ENE,28.1,82,E,27.7,25.1,35.0,17.2,1003.7,1001.3,1005.8,87,53,98,,,
20/05/17,4.5,174,S,20.9,192,SSW,24.8,197,SSW,26.4,24.0,31.9,16.4,1004.7,1002.5,1007.9,87,69,98,,,
20/05/18,3.4,200,CALM,13.0,229,SW,16.9,225,SW,29.5,24.8,35.2,0.0,1003.5,1001.2,1005.2,77,53,97,,,
20/05/19,3.6,200,CALM,16.9,221,SW,20.2,248,WSW,29.9,25.4,36.2,0.0,1004.3,1001.3,1006.5,75,44,96,,,
20/05/20,3.8,226,CALM,17.6,282,WNW,25.2,293,WNW,30.1,26.0,36.4,0.0,1005.5,1003.5,1007.2,71,43,93,,,
20/05/21,4.5,219,SW,21.2,228,SW,30.2,239,WSW,29.3,25.5,34.7,16.4,1005.9,1004.2,1007.4,78,53,97,,,
20/05/22,3.5,215,CALM,14.4,284,WNW,23.0,281,W,28.3,25.0,33.8,0.4,1006.0,1003.4,1007.7,83,58,97,,,
20/05/23,4.7,186,S,23.8,196,SSW,28.8,214,SW,28.6,25.5,33.6,1.8,1006.4,1003.3,1008.7,82,61,96,,,
20/05/24,4.5,182,S,17.6,223,SW,23.8,239,WSW,27.7,24.7,32.1,0.8,1007.8,1005.6,1009.8,85,65,98,,,
20/05/25,3.9,267,W,17.3,217,SW,24.5,219,SW,28.8,24.7,35.3,0.0,1008.1,1005.1,1010.2,79,50,98,,,
20/05/26,3.5,217,CALM,22.7,194,SSW,27.4,160,SSE,28.1,24.8,32.8,0.6,1008.5,1006.5,1010.3,83,60,96,,,
20/05/27,3.4,301,CALM,16.6,217,SW,21.6,248,WSW,28.0,25.0,34.7,0.8,1007.7,1005.3,1009.6,85,56,98,,,
20/05/28,4.2,317,NW,16.2,135,SE,20.9,163,SSE,28.7,24.5,35.5,2.6,1006.9,1003.8,1009.3,79,50,98,,,
20/05/29,3.1,79,CALM,28.8,195,SSW,37.8,186,S,26.3,23.9,33.9,4.6,1008.2,1006.5,1009.9,91,59,98,,,
20/05/30,3.1,341,CALM,22.3,45,NE,32.0,17,NNE,27.4,24.0,34.5,28.8,1008.3,1006.1,1009.8,87,53,98,,,
20/05/31,2.4,345,CALM,14.8,152,SSE,19.1,158,SSE,26.1,23.8,34.1,65.8,1009.0,1006.8,1010.8,92,58,98,,,

