date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
20/12/01,9.5,53,NE,21.2,54,NE,27.7,48,NE,24.3,23.3,25.3,7.8,1006.6,1004.6,1009.6,97,92,100,,,
20/12/02,11.4,40,NE,19.1,36,NE,24.1,34,NE,23.5,23.2,23.9,29.6,1006.1,1004.2,1008.2,99,97,100,,,
20/12/03,9.0,52,NE,18.4,31,NNE,28.1,87,E,24.9,23.2,28.2,19.6,1006.2,1004.0,1008.4,91,81,100,,,
20/12/04,9.7,64,ENE,23.4,62,ENE,28.1,79,E,26.7,23.0,32.8,0.0,1006.0,1003.3,1007.8,80,57,97,,,
20/12/05,13.9,49,NE,24.5,55,NE,33.1,59,ENE,27.0,23.1,32.8,0.0,1007.1,1004.2,1008.9,78,52,96,,,
20/12/06,13.4,43,NE,23.4,51,NE,29.9,70,ENE,27.3,24.1,32.7,0.0,1007.5,1005.0,1009.5,78,54,92,,,
20/12/07,12.2,41,NE,22.3,30,NNE,30.6,14,NNE,27.6,23.9,33.4,0.0,1008.1,1005.3,1010.1,77,53,94,,,
20/12/08,11.3,43,NE,22.0,29,NNE,29.9,23,NNE,27.8,24.2,33.5,0.0,1007.3,1004.8,1010.2,78,52,95,,,
20/12/09,13.0,40,NE,22.7,65,ENE,30.2,76,ENE,27.6,24.1,32.8,0.0,1006.2,1003.9,1008.7,78,54,95,,,
20/12/10,12.1,43,NE,24.1,32,NNE,31.0,34,NE,27.8,23.9,33.2,0.0,1006.6,1004.5,1008.5,74,52,91,,,
20/12/11,9.8,42,NE,22.7,53,NE,28.1,8,N,27.4,23.2,33.6,0.0,1006.2,1003.3,1008.5,75,50,97,,,
20/12/12,4.7,40,NE,25.6,73,ENE,31.7,73,ENE,26.1,22.5,33.3,11.2,1005.7,1002.5,1008.0,86,49,100,,,
20/12/13,4.0,63,ENE,14.0,52,NE,20.9,129,SE,25.6,23.0,32.5,6.4,1005.4,1003.1,1008.1,93,63,100,,,
20/12/14,4.5,54,NE,18.4,178,S,27.0,163,SSE,26.2,23.2,32.3,26.6,1005.9,1002.9,1007.8,92,60,100,,,
20/12/15,8.0,58,ENE,27.7,45,NE,33.5,48,NE,26.5,23.9,34.7,5.0,1007.0,1004.5,1008.7,91,56,100,,,
20/12/16,9.1,56,NE,21.6,64,ENE,32.0,51,NE,26.0,24.0,31.5,3.2,1007.0,1004.3,1009.5,90,62,99,,,
20/12/17,6.4,67,ENE,19.1,128,SE,29.5,135,SE,25.4,23.6,28.9,1.0,1006.7,1004.9,1008.9,92,76,99,,,
20/12/18,7.5,55,NE,19.1,72,ENE,24.5,59,ENE,25.5,23.6,31.6,38.2,1006.7,1004.5,1008.6,93,66,100,,,
20/12/19,8.1,58,ENE,24.5,32,NNE,36.0,14,NNE,26.3,23.9,32.6,4.8,1007.0,1004.6,1008.8,89,61,98,,,
20/12/20,12.3,47,NE,21.6,37,NE,29.5,37,NE,25.6,23.5,28.9,0.0,1007.0,1004.5,1009.2,87,75,97,,,
20/12/21,17.7,37,NE,29.9,35,NE,38.2,17,NNE,25.9,23.1,30.8,0.0,1006.7,1004.1,1008.5,78,61,90,,,
20/12/22,15.4,38,NE,28.1,44,NE,38.5,25,NNE,25.9,22.7,31.4,0.0,1005.9,1003.1,1008.6,76,54,90,,,
20/12/23,14.5,35,NE,24.8,29,NNE,33.1,17,NNE,26.4,23.0,30.9,0.0,1004.6,1002.4,1007.3,78,61,89,,,
20/12/24,6.8,42,NE,20.9,50,NE,26.6,34,NE,23.8,22.7,25.3,10.8,1004.6,1003.0,1007.1,96,85,100,,,
20/12/25,4.9,80,E,14.0,131,SE,18.7,132,SE,26.6,22.8,33.0,28.8,1004.9,1001.8,1007.1,89,60,100,,,
20/12/26,5.3,52,NE,18.0,63,ENE,29.9,62,ENE,25.5,22.9,28.8,0.6,1006.2,1003.5,1008.1,94,80,100,,,
20/12/27,5.5,70,ENE,18.0,53,NE,24.8,124,SE,26.7,22.1,33.5,0.0,1005.4,1002.7,1008.6,85,58,100,,,
20/12/28,5.6,77,ENE,20.9,55,NE,25.9,39,NE,28.1,22.4,35.1,0.0,1005.4,1002.8,1007.5,79,50,100,,,
20/12/29,5.3,53,NE,16.6,44,NE,25.9,82,E,27.3,23.5,33.5,0.4,1005.6,1002.8,1008.1,84,56,100,,,
20/12/30,5.6,59,ENE,24.8,51,NE,36.0,90,E,27.0,22.7,34.9,1.6,1005.4,1002.3,1007.9,85,52,100,,,
20/12/31,10.9,54,NE,24.1,48,NE,31.0,53,NE,26.6,23.0,32.7,0.2,1006.5,1004.6,1008.1,79,55,100,,,

