date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
20/04/01,11.0,95,E,19.1,85,E,21.6,127,SE,30.3,26.3,34.2,0.0,1007.6,1004.8,1010.1,75,58,89,,,
20/04/02,8.0,103,ESE,19.4,95,E,27.0,93,E,30.8,26.8,37.7,0.0,1007.9,1005.3,1010.1,70,39,88,,,
20/04/03,5.5,79,E,15.8,90,E,21.2,6,N,29.5,25.3,36.1,0.0,1008.6,1006.3,1011.2,73,53,87,,,
20/04/04,8.8,70,ENE,19.1,67,ENE,29.5,68,ENE,30.4,25.7,36.4,0.0,1008.6,1006.2,1010.8,68,46,87,,,
20/04/05,7.8,73,ENE,19.8,61,ENE,29.2,121,ESE,29.7,26.2,38.2,2.2,1009.0,1006.5,1011.3,73,41,83,,,
20/04/06,10.2,97,E,23.4,112,ESE,25.2,107,ESE,29.7,25.2,36.2,2.8,1008.8,1006.2,1011.5,74,51,91,,,
20/04/07,9.0,100,E,20.9,108,ESE,23.0,104,ESE,29.7,25.9,34.0,0.0,1008.1,1005.6,1010.4,77,61,92,,,
20/04/08,9.5,102,ESE,19.1,106,ESE,22.0,96,E,30.5,26.8,34.2,0.0,1009.1,1006.5,1010.9,74,60,88,,,
20/04/09,6.0,97,E,14.8,89,E,19.1,76,ENE,30.4,27.1,35.9,0.0,1009.1,1006.4,1011.0,69,52,85,,,
20/04/10,8.3,93,E,21.2,90,E,28.8,104,ESE,30.4,27.1,36.0,0.0,1009.7,1007.0,1011.9,68,52,80,,,
20/04/11,9.4,88,E,20.5,91,E,30.6,23,NNE,30.9,27.1,37.8,0.0,1009.2,1006.8,1011.9,64,37,77,,,
20/04/12,9.4,101,E,21.6,119,ESE,24.5,124,SE,30.8,27.4,36.5,0.0,1008.2,1005.4,1010.4,71,44,84,,,
20/04/13,8.1,84,E,19.4,96,E,30.2,93,E,30.0,26.1,35.9,4.2,1008.0,1005.2,1010.9,74,49,87,,,
20/04/14,9.1,80,E,25.9,105,ESE,41.0,98,E,30.0,26.8,35.3,0.2,1008.6,1006.1,1010.9,72,59,87,,,
20/04/15,7.5,93,E,28.8,88,E,35.6,98,E,29.1,25.7,35.5,1.2,1008.7,1006.0,1011.1,76,52,89,,,
20/04/16,9.3,87,E,25.6,80,E,38.9,93,E,28.3,23.7,35.6,23.6,1007.9,1005.1,1009.7,81,55,92,,,
20/04/17,7.4,85,E,22.3,160,SSE,31.0,143,SE,27.0,25.3,29.9,0.2,1009.1,1006.0,1011.7,85,75,91,,,
20/04/18,7.5,96,E,16.9,85,E,26.6,98,E,29.6,25.9,35.1,0.0,1008.8,1005.9,1011.2,73,54,88,,,
20/04/19,7.4,93,E,17.6,91,E,22.0,98,E,30.5,27.2,34.9,0.0,1008.3,1005.7,1010.8,71,52,87,,,
20/04/20,7.9,92,E,20.9,90,E,27.7,93,E,30.5,26.7,35.2,0.0,1007.7,1005.2,1010.1,72,54,83,,,
20/04/21,6.8,90,E,18.4,87,E,23.0,79,E,30.5,27.1,36.8,0.0,1007.5,1005.1,1009.4,70,50,83,,,
20/04/22,9.4,91,E,19.1,86,E,21.6,104,ESE,29.4,25.2,35.4,16.2,1007.3,1003.9,1009.4,77,55,92,,,
20/04/23,7.1,96,E,17.3,157,SSE,23.0,163,SSE,29.0,26.2,34.0,0.2,1007.6,1004.9,1009.8,80,67,91,,,
20/04/24,7.3,82,E,18.0,78,ENE,21.2,98,E,29.7,26.7,35.2,0.0,1007.3,1004.7,1009.9,76,58,89,,,
20/04/25,6.7,94,E,16.2,85,E,23.4,76,ENE,30.5,27.3,35.7,0.0,1008.1,1005.0,1010.2,71,53,85,,,
20/04/26,10.0,68,ENE,33.5,92,E,46.4,93,E,28.7,26.1,33.9,3.0,1008.9,1007.3,1011.3,74,63,82,,,
20/04/27,9.5,61,ENE,23.4,90,E,36.7,68,ENE,28.5,26.1,33.9,0.0,1009.5,1006.8,1011.9,75,61,84,,,
20/04/28,10.4,69,ENE,24.1,90,E,36.4,11,N,28.4,24.8,35.5,0.0,1008.3,1006.5,1011.0,73,48,88,,,
20/04/29,6.5,89,E,27.4,85,E,38.5,82,E,28.3,25.6,36.0,17.2,1008.2,1005.8,1010.1,81,48,90,,,
20/04/30,8.2,67,ENE,23.4,66,ENE,37.8,115,ESE,28.4,25.5,35.7,12.6,1008.3,1006.1,1011.0,81,48,91,,,

