date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
20/04/01,5.3,234,SW,14.8,112,ESE,24.5,262,W,33.2,26.8,40.5,0.0,985.8,982.2,989.2,43,23,63,,,
20/04/02,4.9,180,S,16.6,233,SW,22.0,166,SSE,31.8,25.9,39.2,0.0,987.2,983.5,989.7,50,31,75,,,
20/04/03,5.1,251,WSW,31.0,226,SW,52.9,217,SW,30.1,25.1,39.8,0.0,988.1,984.7,990.7,60,30,82,,,
20/04/04,5.4,318,NW,15.8,129,SE,21.6,124,SE,31.6,25.9,38.9,0.0,988.2,985.0,990.5,55,32,76,,,
20/04/05,4.7,184,S,21.6,179,S,31.7,174,S,30.6,25.6,38.4,0.0,988.7,984.6,991.8,57,31,75,,,
20/04/06,4.6,217,SW,22.3,189,S,37.4,349,N,28.8,24.5,38.2,1.8,987.2,984.1,990.5,67,37,87,,,
20/04/07,5.2,187,S,21.6,219,SW,27.4,225,SW,30.6,24.6,38.1,0.0,986.7,983.3,989.5,55,29,82,,,
20/04/08,5.3,161,SSE,17.3,235,SW,25.2,225,SW,30.5,25.2,38.7,0.0,988.2,984.6,990.3,54,30,80,,,
20/04/09,5.3,128,SE,18.0,180,S,26.6,186,S,30.1,25.7,37.2,0.0,989.2,985.8,991.9,56,34,74,,,
20/04/10,5.0,171,S,19.4,129,SE,29.5,163,SSE,29.6,24.9,37.0,0.0,990.0,986.5,992.8,62,38,82,,,
20/04/11,4.9,208,SSW,16.2,194,SSW,24.5,186,S,31.0,26.2,38.6,0.0,988.7,985.4,992.3,56,33,77,,,
20/04/12,7.5,117,ESE,20.5,116,ESE,29.5,138,SE,28.8,22.5,38.8,0.0,988.5,983.8,992.2,67,33,96,,,
20/04/13,8.4,98,E,18.4,84,E,24.8,79,E,26.2,22.9,30.4,0.0,990.9,988.0,993.4,67,53,82,,,
20/04/14,3.2,132,CALM,14.4,77,ENE,19.4,90,E,26.8,22.9,32.4,0.0,990.6,988.3,993.8,64,45,87,,,
20/04/15,3.5,170,CALM,15.5,65,ENE,28.4,101,E,30.4,25.0,36.8,0.0,988.2,985.2,992.2,52,32,78,,,
20/04/16,3.2,230,CALM,15.8,299,WNW,23.0,293,WNW,30.1,25.2,38.1,0.0,987.5,984.6,990.6,55,28,76,,,
20/04/17,4.5,206,SSW,30.2,172,S,42.8,169,S,26.5,22.2,36.0,3.6,989.2,986.3,991.8,77,40,91,,,
20/04/18,3.4,213,CALM,11.9,65,ENE,19.4,194,SSW,29.3,24.3,35.2,0.2,988.7,986.0,992.3,65,44,88,,,
20/04/19,4.1,253,WSW,15.5,176,S,24.1,281,W,30.3,25.5,38.4,0.0,987.7,984.9,990.9,59,32,81,,,
20/04/20,4.6,251,WSW,18.0,266,W,27.0,318,NW,31.3,25.8,39.4,0.0,987.2,984.5,990.6,56,32,77,,,
20/04/21,4.8,234,SW,13.7,236,SW,19.1,188,S,33.3,27.0,40.7,0.0,986.0,982.9,988.8,53,29,76,,,
20/04/22,5.9,186,S,21.6,87,E,32.8,70,ENE,31.4,25.0,39.4,0.6,987.1,983.1,989.7,56,33,75,,,
20/04/23,5.7,98,E,21.2,174,S,32.4,138,SE,29.9,25.2,35.7,0.2,987.8,984.5,990.7,57,43,71,,,
20/04/24,6.4,60,ENE,27.7,177,S,39.6,217,SW,27.7,22.1,37.4,15.0,988.8,985.1,991.7,73,40,96,,,
20/04/25,7.4,56,NE,18.4,30,NNE,24.1,68,ENE,28.0,23.8,33.2,0.0,990.3,987.6,992.8,61,45,82,,,
20/04/26,8.4,64,ENE,19.4,16,NNE,28.1,23,NNE,29.7,23.8,35.1,0.0,989.9,987.0,992.5,53,38,69,,,
20/04/27,7.0,53,NE,15.8,70,ENE,23.8,115,ESE,28.8,24.0,34.1,0.0,991.3,988.4,993.7,53,41,65,,,
20/04/28,7.2,67,ENE,20.2,36,NE,31.7,3,N,30.6,25.4,36.4,0.0,988.7,985.9,992.7,42,29,58,,,
20/04/29,4.9,38,NE,14.4,70,ENE,22.0,68,ENE,30.7,25.9,37.0,0.0,988.5,985.4,990.8,53,33,77,,,
20/04/30,5.1,138,SE,16.9,123,ESE,23.0,160,SSE,32.2,27.2,37.9,0.0,987.7,985.1,991.1,50,33,71,,,

