date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
20/04/01,5.7,239,WSW,16.9,212,SSW,24.1,188,S,34.2,26.7,42.4,0.0,985.1,981.7,988.4,41,24,64,,,
20/04/02,6.1,188,S,24.1,100,E,34.9,135,SE,32.8,25.6,41.5,0.0,986.5,982.9,988.8,48,28,72,,,
20/04/03,5.0,256,WSW,29.5,347,NNW,49.3,45,NE,30.0,21.4,40.7,56.0,987.4,983.6,990.1,66,32,100,,,
20/04/04,5.0,46,NE,24.1,22,NNE,36.4,346,NNW,30.4,23.0,39.1,51.4,987.9,984.7,991.1,64,31,100,,,
20/04/05,4.6,84,E,18.7,297,WNW,29.9,290,WNW,30.6,25.5,37.2,0.0,988.2,984.6,991.4,60,40,82,,,
20/04/06,4.2,253,WSW,24.1,194,SSW,34.9,138,SE,29.9,25.7,38.8,0.0,986.5,982.5,989.8,63,37,80,,,
20/04/07,4.6,88,E,12.6,269,W,17.6,62,ENE,31.2,25.7,37.8,0.0,986.2,982.5,989.2,57,37,77,,,
20/04/08,4.5,81,E,16.9,86,E,27.4,194,SSW,30.4,25.8,37.7,0.0,987.7,984.1,989.9,59,37,78,,,
20/04/09,5.7,63,ENE,16.9,62,ENE,21.6,118,ESE,30.9,26.7,36.6,0.0,988.8,985.4,991.7,56,40,74,,,
20/04/10,4.5,195,SSW,14.8,105,ESE,20.2,124,SE,30.5,25.9,37.2,0.0,989.4,986.2,992.3,57,39,75,,,
20/04/11,4.5,289,WNW,18.4,293,WNW,24.8,31,NNE,31.5,26.2,39.3,0.0,988.0,984.7,991.4,54,33,75,,,
20/04/12,6.7,96,E,19.8,150,SSE,33.1,129,SE,29.8,23.4,39.4,1.0,987.9,983.6,991.4,62,37,88,,,
20/04/13,9.6,77,ENE,22.3,47,NE,29.5,42,NE,27.2,23.7,31.8,0.0,990.3,987.7,992.9,57,45,75,,,
20/04/14,3.9,79,E,14.8,98,E,20.5,28,NNE,28.0,23.6,34.1,0.0,989.9,987.4,993.0,58,39,81,,,
20/04/15,2.8,117,CALM,11.9,328,NNW,17.6,321,NW,31.2,25.5,38.2,0.0,987.5,984.5,991.7,51,30,76,,,
20/04/16,4.4,266,W,15.1,279,W,22.3,295,WNW,30.3,25.8,38.1,0.0,986.7,983.8,989.6,53,38,71,,,
20/04/17,5.1,263,W,27.7,285,WNW,46.1,293,WNW,26.9,21.2,38.8,0.6,988.4,984.6,991.0,81,33,100,,,
20/04/18,2.5,21,CALM,12.6,110,ESE,17.6,90,E,28.8,24.4,34.7,0.0,988.1,985.3,992.0,69,45,89,,,
20/04/19,4.0,256,WSW,16.9,189,S,25.9,188,S,30.0,25.4,39.1,0.0,987.1,984.1,990.2,64,31,83,,,
20/04/20,4.0,241,WSW,14.0,259,W,19.8,203,SSW,32.7,26.8,39.8,0.0,986.4,984.2,990.0,53,31,76,,,
20/04/21,4.1,238,WSW,11.9,281,W,17.6,250,WSW,34.0,28.1,41.5,0.0,985.2,982.4,988.0,49,26,70,,,
20/04/22,7.2,299,WNW,23.8,82,E,32.0,51,NE,31.5,24.9,40.6,0.0,986.6,982.4,989.7,56,32,78,,,
20/04/23,5.6,64,ENE,16.6,64,ENE,21.6,48,NE,31.0,26.4,36.8,0.0,987.3,983.6,990.5,57,41,74,,,
20/04/24,8.8,62,ENE,30.6,119,ESE,43.6,158,SSE,27.9,23.1,37.6,0.0,988.6,984.0,991.1,69,38,100,,,
20/04/25,6.8,44,NE,19.4,108,ESE,27.4,110,ESE,27.2,23.5,31.4,0.0,990.0,987.8,992.7,65,52,83,,,
20/04/26,9.6,62,ENE,21.2,45,NE,31.3,82,E,29.1,24.1,34.6,3.4,989.7,986.9,992.1,57,42,67,,,
20/04/27,7.6,49,NE,24.8,28,NNE,31.3,11,N,29.0,24.9,34.3,0.0,991.0,988.4,993.5,53,41,65,,,
20/04/28,9.1,63,ENE,21.6,82,E,28.8,70,ENE,29.9,25.2,35.1,0.0,988.4,986.0,992.2,47,34,61,,,
20/04/29,6.4,52,NE,23.4,102,ESE,31.3,113,ESE,30.8,26.5,36.4,0.0,988.2,985.5,990.6,49,34,64,,,
20/04/30,4.9,35,NE,15.8,115,ESE,20.5,37,NE,31.4,27.4,37.4,0.0,987.3,985.0,990.9,53,37,70,,,

