date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
20/03/01,5.4,141,SE,14.4,67,ENE,21.6,107,ESE,27.8,21.2,36.5,0.0,989.7,987.6,993.4,55,31,81,,,
20/03/02,5.2,146,SE,17.6,186,S,22.7,177,S,28.7,21.8,35.8,0.0,989.7,987.1,992.9,62,39,80,,,
20/03/03,5.2,154,SSE,16.6,179,S,23.0,211,SSW,29.0,23.6,35.2,0.0,989.7,986.8,993.7,64,44,86,,,
20/03/04,9.1,58,ENE,31.7,325,NW,43.2,338,NNW,26.5,22.9,34.4,33.6,990.8,987.8,993.6,79,48,96,,,
20/03/05,8.8,10,N,20.9,24,NNE,28.1,3,N,23.6,20.8,28.0,1.4,992.5,989.8,995.0,85,70,96,,,
20/03/06,6.7,36,NE,19.4,20,NNE,24.1,23,NNE,22.6,20.5,25.8,0.2,993.8,991.6,997.2,91,75,99,,,
20/03/07,4.9,53,NE,17.3,22,NNE,23.0,25,NNE,26.3,20.8,33.5,0.0,991.2,988.7,995.8,81,49,99,,,
20/03/08,6.6,218,SW,19.8,292,WNW,26.3,236,SW,29.1,21.9,37.7,0.0,987.3,984.6,992.5,57,29,93,,,
20/03/09,7.0,223,SW,22.3,222,SW,30.2,250,WSW,29.7,22.3,38.6,0.0,986.0,983.0,989.1,52,25,80,,,
20/03/10,7.4,109,ESE,18.4,334,NNW,25.9,318,NW,30.1,22.4,38.9,0.0,987.9,985.0,990.9,54,24,84,,,
20/03/11,5.2,113,ESE,19.1,32,NNE,23.0,96,E,28.8,22.9,37.1,0.0,990.1,987.1,993.1,65,37,86,,,
20/03/12,5.5,166,SSE,20.2,190,S,24.8,180,S,30.2,23.4,38.4,0.0,990.7,988.1,993.6,64,33,88,,,
20/03/13,4.7,179,S,19.4,193,SSW,25.2,34,NE,30.8,24.1,39.1,0.0,990.5,988.0,994.2,62,31,90,,,
20/03/14,10.6,83,E,27.7,80,E,36.4,96,E,31.4,24.9,38.7,0.0,990.4,987.0,993.3,57,34,89,,,
20/03/15,4.1,59,ENE,17.6,66,ENE,23.8,76,ENE,25.8,22.5,30.6,0.0,992.4,990.5,995.5,78,59,95,,,
20/03/16,4.1,113,ESE,15.5,42,NE,25.2,338,NNW,28.3,22.7,34.8,0.0,992.2,990.0,994.9,69,47,91,,,
20/03/17,5.4,173,S,19.1,181,S,23.0,141,SE,29.4,24.3,36.5,0.0,991.1,988.7,995.1,64,39,86,,,
20/03/18,7.7,197,SSW,29.5,284,WNW,41.0,326,NW,29.9,25.3,36.7,0.0,989.1,985.9,992.7,63,41,80,,,
20/03/19,8.7,170,S,24.1,293,WNW,32.8,293,WNW,29.4,22.5,36.7,29.8,989.8,986.3,992.3,68,41,99,,,
20/03/20,6.7,81,E,39.6,317,NW,51.1,315,NW,27.2,21.8,34.4,5.2,990.8,986.7,994.0,78,53,97,,,
20/03/21,3.9,251,CALM,18.0,28,NNE,20.9,23,NNE,27.9,23.0,34.7,0.0,990.8,988.4,994.7,80,48,98,,,
20/03/22,4.4,48,NE,14.0,331,NNW,18.4,315,NW,28.5,23.2,34.8,0.0,989.8,987.2,993.1,76,48,98,,,
20/03/23,5.9,26,NNE,31.7,178,S,42.5,174,S,29.0,23.9,36.2,2.2,989.3,986.5,992.9,70,42,95,,,
20/03/24,5.9,63,ENE,23.8,187,S,28.8,180,S,28.1,23.6,33.6,0.4,988.4,985.4,992.1,77,57,95,,,
20/03/25,5.8,59,ENE,18.7,179,S,27.4,110,ESE,27.9,23.5,34.1,0.2,988.6,985.8,991.4,78,54,98,,,
20/03/26,4.0,148,SSE,17.3,322,NW,21.2,39,NE,28.7,24.0,35.0,0.0,989.2,986.8,992.2,75,48,98,,,
20/03/27,4.7,176,S,17.6,278,W,28.8,293,WNW,30.0,24.4,37.8,0.0,988.5,986.2,992.1,65,33,88,,,
20/03/28,5.3,195,SSW,18.4,278,W,28.8,245,WSW,30.7,25.3,38.3,0.0,987.2,984.8,990.9,60,33,83,,,
20/03/29,6.5,191,S,20.5,193,SSW,26.6,200,SSW,30.9,26.0,38.2,0.0,986.9,984.4,990.4,61,36,85,,,
20/03/30,7.5,198,SSW,23.8,194,SSW,31.7,208,SSW,31.6,25.7,38.8,0.0,987.6,985.0,990.5,57,31,80,,,
20/03/31,4.7,162,SSE,18.0,179,S,20.9,183,S,31.4,25.3,39.5,0.0,987.7,985.1,991.0,61,32,85,,,

