date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
20/04/01,5.6,174,S,46.8,277,W,66.2,284,WNW,31.9,23.2,40.9,28.4,993.9,989.8,996.9,58,29,100,,,
20/04/02,5.3,136,SE,23.4,23,NNE,28.1,23,NNE,29.2,25.5,36.1,0.4,995.4,992.3,997.7,70,48,100,,,
20/04/03,3.6,203,CALM,13.7,294,WNW,18.7,242,WSW,31.5,26.5,39.0,0.0,995.6,992.8,998.7,59,31,84,,,
20/04/04,4.9,71,ENE,14.8,24,NNE,19.8,37,NE,32.5,26.7,39.4,0.0,995.8,993.1,998.6,54,33,76,,,
20/04/05,5.9,89,E,17.6,47,NE,23.8,14,NNE,32.3,25.9,39.6,0.4,996.2,992.8,999.1,52,30,73,,,
20/04/06,4.7,177,S,25.9,335,NNW,36.0,332,NNW,30.5,23.7,38.4,8.6,995.0,991.4,998.2,53,34,100,,,
20/04/07,4.4,146,SE,22.0,290,WNW,27.0,287,WNW,28.5,24.5,35.8,1.2,995.1,991.9,998.1,73,47,100,,,
20/04/08,5.9,49,NE,18.4,59,ENE,23.0,42,NE,30.5,24.9,37.6,0.0,996.2,992.9,998.4,59,38,79,,,
20/04/09,5.0,81,E,18.4,44,NE,24.1,191,S,28.9,23.9,37.3,0.0,997.2,994.2,999.9,65,38,83,,,
20/04/10,3.2,228,CALM,13.7,145,SE,18.0,211,SSW,30.6,25.0,38.6,0.0,997.5,994.1,1000.7,65,34,90,,,
20/04/11,4.7,194,SSW,15.8,294,WNW,26.6,118,ESE,30.6,24.5,38.5,3.4,996.6,992.8,999.6,54,36,100,,,
20/04/12,8.9,71,ENE,25.2,54,NE,32.0,68,ENE,29.1,22.9,36.7,0.0,996.4,992.3,999.0,62,42,100,,,
20/04/13,9.4,45,NE,20.5,40,NE,25.9,25,NNE,25.9,21.8,29.9,0.0,998.8,996.7,1000.9,59,49,69,,,
20/04/14,4.5,357,N,16.2,46,NE,19.1,37,NE,27.0,22.2,33.5,0.0,998.1,995.9,1001.1,64,40,100,,,
20/04/15,3.8,215,CALM,15.1,317,NW,20.2,323,NW,30.0,23.8,38.0,0.0,995.8,993.4,999.6,60,32,100,,,
20/04/16,2.9,209,CALM,11.9,152,SSE,17.3,278,W,29.2,24.4,37.9,0.2,995.2,992.4,998.5,69,38,100,,,
20/04/17,4.3,217,SW,23.8,161,SSE,36.4,180,S,26.6,23.5,36.5,3.8,996.9,993.9,998.9,76,42,100,,,
20/04/18,3.3,236,CALM,16.2,276,W,20.9,293,WNW,30.0,24.7,37.1,0.2,996.1,993.6,999.1,66,38,100,,,
20/04/19,3.2,202,CALM,17.6,160,SSE,25.2,155,SSE,31.4,25.6,40.1,0.0,995.0,992.2,998.2,61,31,86,,,
20/04/20,3.2,214,CALM,13.3,275,W,20.5,276,W,32.4,26.3,40.1,0.0,994.5,991.9,997.9,59,32,86,,,
20/04/21,2.8,194,CALM,23.0,90,E,29.5,84,E,33.1,26.8,41.5,0.0,993.5,990.5,996.4,59,31,85,,,
20/04/22,6.7,215,SW,47.9,37,NE,61.6,51,NE,30.0,23.3,39.0,21.2,995.0,990.6,998.8,57,41,100,,,
20/04/23,6.9,53,NE,15.5,83,E,21.2,84,E,30.9,24.3,37.4,0.0,995.4,992.3,998.3,61,43,100,,,
20/04/24,9.8,69,ENE,29.2,32,NNE,39.6,20,NNE,28.8,23.0,37.3,0.0,996.9,993.4,998.8,62,38,75,,,
20/04/25,10.2,31,NNE,20.5,47,NE,26.6,17,NNE,29.2,23.3,35.3,0.2,997.5,994.7,999.8,56,38,75,,,
20/04/26,11.6,48,NE,28.4,56,NE,34.9,59,ENE,29.4,22.7,37.5,0.2,997.7,994.4,1000.1,54,35,72,,,
20/04/27,10.6,42,NE,22.0,53,NE,29.2,48,NE,28.9,23.4,35.1,0.2,998.7,996.0,1000.6,51,37,69,,,
20/04/28,7.7,52,NE,23.8,51,NE,31.0,59,ENE,30.2,23.6,37.9,0.2,996.4,993.5,999.9,48,29,73,,,
20/04/29,7.2,61,ENE,18.0,46,NE,22.7,45,NE,32.0,25.0,39.2,0.0,996.0,993.0,998.1,48,28,71,,,
20/04/30,4.4,57,ENE,15.1,236,SW,20.9,76,ENE,32.2,26.2,40.1,0.0,995.1,992.7,998.7,51,28,74,,,

