date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
20/02/01,3.2,142,CALM,14.0,133,SE,19.1,186,S,21.8,13.0,30.6,0.0,982.2,979.2,985.3,65,36,97,,,
20/02/02,3.7,170,CALM,15.8,127,SE,20.9,127,SE,23.3,15.2,32.0,0.0,982.1,979.1,986.1,64,35,96,,,
20/02/03,2.8,253,CALM,13.0,123,ESE,19.4,127,SE,24.1,15.6,33.9,0.0,980.1,977.3,984.0,63,32,95,,,
20/02/04,3.2,134,CALM,15.1,106,ESE,21.2,101,E,25.6,16.2,33.0,0.0,979.5,976.8,982.7,60,36,94,,,
20/02/05,5.2,154,SSE,19.1,95,E,24.5,124,SE,24.9,18.8,31.8,0.0,979.7,976.6,982.8,63,39,90,,,
20/02/06,4.0,168,SSE,16.9,112,ESE,20.5,118,ESE,25.6,17.9,34.2,0.0,980.3,976.9,983.2,62,31,95,,,
20/02/07,3.0,168,CALM,16.6,126,SE,20.2,132,SE,25.5,17.9,35.3,0.0,981.2,978.3,984.3,60,27,95,,,
20/02/08,4.4,131,SE,18.4,118,ESE,23.4,141,SE,24.3,15.8,32.8,0.0,983.8,980.7,986.5,58,31,93,,,
20/02/09,7.1,126,SE,21.6,114,ESE,28.8,149,SSE,24.5,15.9,31.2,0.0,984.7,981.5,988.4,57,35,93,,,
20/02/10,4.6,145,SE,18.0,107,ESE,24.8,96,E,22.5,14.4,30.5,0.0,983.6,980.6,987.1,62,34,97,,,
20/02/11,3.5,160,CALM,15.1,110,ESE,20.2,68,ENE,25.5,14.7,33.8,0.0,981.7,978.7,985.6,57,32,96,,,
20/02/12,3.4,243,CALM,15.5,146,SE,23.0,323,NW,27.6,20.1,37.5,0.0,979.3,976.6,983.3,57,26,86,,,
20/02/13,4.0,241,WSW,16.2,251,WSW,23.0,245,WSW,27.7,18.4,36.7,0.0,977.2,974.6,981.6,51,27,82,,,
20/02/14,3.9,249,WSW,16.2,168,SSE,24.8,211,SSW,26.5,17.4,36.1,0.0,976.0,972.7,979.0,53,28,88,,,
20/02/15,3.5,259,CALM,13.3,131,SE,19.1,132,SE,25.5,15.0,37.1,0.0,977.6,974.0,981.3,52,21,86,,,
20/02/16,3.4,195,CALM,16.6,103,ESE,22.0,124,SE,25.1,14.8,36.0,0.0,980.6,976.9,985.3,48,19,85,,,
20/02/17,7.9,127,SE,20.5,118,ESE,26.6,113,ESE,23.9,15.3,30.6,0.0,984.8,981.4,987.3,55,38,85,,,
20/02/18,5.0,159,SSE,18.7,121,ESE,23.0,104,ESE,20.7,14.3,28.0,0.0,985.4,982.1,989.1,60,38,89,,,
20/02/19,3.4,138,CALM,14.8,91,E,20.2,25,NNE,22.6,14.8,30.8,0.0,984.2,981.2,988.5,62,35,95,,,
20/02/20,4.4,138,SE,18.7,127,SE,23.8,146,SE,23.3,15.3,31.9,0.0,985.0,981.5,988.5,61,31,95,,,
20/02/21,6.3,104,ESE,22.7,95,E,28.1,118,ESE,24.4,16.1,31.6,0.0,987.7,984.2,990.8,55,34,90,,,
20/02/22,5.2,116,ESE,20.2,113,ESE,27.7,113,ESE,23.5,15.3,31.6,0.0,987.2,983.9,990.8,56,30,92,,,
20/02/23,4.4,142,SE,19.1,104,ESE,23.0,110,ESE,23.1,14.7,31.7,0.0,984.6,981.5,989.7,60,32,94,,,
20/02/24,3.9,152,CALM,16.9,96,E,22.3,101,E,23.4,14.7,32.3,0.0,981.7,978.8,986.2,57,30,93,,,
20/02/25,3.0,168,CALM,15.1,135,SE,21.2,141,SE,25.1,15.1,35.3,0.0,980.1,977.1,983.4,50,23,90,,,
20/02/26,4.1,132,SE,15.8,121,ESE,24.1,113,ESE,24.9,14.8,35.2,0.0,980.3,977.9,983.8,50,21,89,,,
20/02/27,4.5,148,SSE,18.0,110,ESE,22.7,135,SE,24.9,15.2,33.6,0.0,980.3,977.5,984.1,53,28,87,,,
20/02/28,3.6,155,CALM,18.4,114,ESE,24.8,104,ESE,25.0,16.5,33.1,0.0,978.9,976.3,982.9,57,32,90,,,
20/02/29,3.8,155,CALM,15.5,108,ESE,20.9,152,SSE,26.8,17.1,34.9,0.0,978.0,975.1,981.2,54,31,88,,,

