date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
20/06/01,4.2,113,ESE,18.7,188,S,29.5,180,S,27.4,24.7,34.5,0.6,981.9,979.1,984.8,80,56,94,,,
20/06/02,4.7,125,SE,21.2,121,ESE,35.3,113,ESE,27.1,23.7,34.9,3.0,981.3,978.7,984.0,81,52,95,,,
20/06/03,4.9,131,SE,14.0,105,ESE,18.7,250,WSW,28.9,24.7,35.1,0.0,980.0,976.9,982.7,74,52,94,,,
20/06/04,3.2,75,CALM,16.2,107,ESE,20.9,96,E,27.2,24.4,34.6,1.8,979.7,977.2,981.4,83,58,94,,,
20/06/05,3.2,171,CALM,10.8,104,ESE,14.8,228,SW,28.8,24.5,33.7,0.0,979.8,977.1,982.3,75,59,94,,,
20/06/06,5.0,139,SE,29.9,226,SW,45.7,248,WSW,28.6,22.3,35.8,19.2,979.7,976.4,981.5,76,47,93,,,
20/06/07,5.4,141,SE,24.8,271,W,32.8,284,WNW,28.2,23.6,35.5,16.4,978.7,976.3,981.1,78,52,94,,,
20/06/08,4.2,111,ESE,22.7,319,NW,29.9,340,NNW,28.6,25.2,35.0,0.0,978.8,976.6,980.6,79,54,94,,,
20/06/09,4.4,131,SE,15.1,158,SSE,21.2,155,SSE,30.6,24.9,36.6,0.0,979.4,976.6,981.0,65,41,91,,,
20/06/10,3.7,132,CALM,15.8,118,ESE,19.4,152,SSE,30.6,25.1,37.3,0.0,979.6,976.5,982.1,66,39,90,,,
20/06/11,4.1,82,E,12.2,127,SE,18.0,262,W,30.7,25.9,36.8,0.0,978.4,975.7,980.9,67,44,88,,,
20/06/12,4.7,11,N,21.6,284,WNW,30.2,287,WNW,29.8,24.9,38.4,0.4,976.7,973.5,979.2,71,40,90,,,
20/06/13,5.7,256,WSW,31.7,276,W,48.6,293,WNW,28.6,23.5,39.4,4.0,976.9,974.0,979.5,74,38,92,,,
20/06/14,5.2,112,ESE,16.9,272,W,24.8,174,S,27.3,23.5,32.3,41.2,979.3,975.7,981.4,81,64,96,,,
20/06/15,5.2,150,SSE,13.3,151,SSE,19.1,174,S,27.5,24.3,30.5,0.0,980.3,977.7,982.2,80,69,97,,,
20/06/16,3.9,188,CALM,14.0,282,WNW,22.7,276,W,27.3,24.2,32.0,5.0,980.2,978.1,982.7,81,64,94,,,
20/06/17,5.4,153,SSE,14.4,129,SE,18.7,163,SSE,26.7,23.7,30.9,4.0,980.0,977.5,982.0,84,70,94,,,
20/06/18,3.7,198,CALM,16.6,278,W,22.0,270,W,26.6,24.2,31.1,0.0,980.2,978.4,982.3,84,68,93,,,
20/06/19,2.8,75,CALM,13.3,274,W,16.2,262,W,28.2,24.4,33.3,0.0,980.1,977.7,981.9,77,58,94,,,
20/06/20,3.0,137,CALM,12.6,304,NW,16.6,293,WNW,30.4,25.5,35.8,0.0,979.2,976.9,981.9,71,48,91,,,
20/06/21,4.6,272,W,16.9,295,WNW,22.7,321,NW,30.6,25.5,36.4,0.0,978.1,975.8,980.9,70,48,90,,,
20/06/22,4.3,60,ENE,12.2,295,WNW,16.9,194,SSW,30.9,24.4,39.1,0.0,978.7,975.6,981.1,67,40,94,,,
20/06/23,4.4,249,WSW,16.6,291,WNW,24.5,276,W,29.5,24.3,36.7,0.0,980.3,977.7,981.7,72,44,95,,,
20/06/24,3.7,166,CALM,15.8,207,SSW,25.9,214,SW,29.5,24.5,37.3,17.8,979.2,976.7,981.7,79,42,97,,,
20/06/25,3.6,311,CALM,15.1,151,SSE,23.4,172,S,29.1,24.5,34.7,0.2,978.6,975.8,979.9,77,56,94,,,
20/06/26,4.0,14,NNE,15.5,275,W,21.6,267,W,28.7,24.4,35.9,0.0,979.0,976.9,980.8,74,44,96,,,
20/06/27,3.7,68,CALM,27.0,270,W,36.7,276,W,28.2,24.1,36.5,0.0,979.3,977.3,981.1,77,46,95,,,
20/06/28,3.6,349,CALM,18.7,266,W,25.6,248,WSW,29.6,24.9,35.5,0.0,978.5,975.5,980.7,74,51,97,,,
20/06/29,4.6,164,SSE,16.2,207,SSW,28.4,188,S,29.3,23.5,34.7,14.8,978.3,975.4,980.3,76,52,97,,,
20/06/30,5.2,159,SSE,21.6,274,W,31.3,264,W,27.7,24.6,35.7,0.2,977.5,975.2,979.4,81,48,95,,,

