date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
20/06/01,3.6,97,CALM,10.4,87,E,14.0,129,SE,27.4,23.3,33.1,9.2,987.4,984.6,990.6,81,57,96,,,
20/06/02,4.5,118,ESE,13.0,64,ENE,19.1,14,NNE,27.1,25.1,32.0,0.4,986.8,983.8,989.6,82,60,91,,,
20/06/03,4.0,151,SSE,12.2,131,SE,16.6,143,SE,29.4,26.1,34.7,0.0,985.3,982.2,988.0,72,48,87,,,
20/06/04,3.9,237,WSW,14.8,123,ESE,24.5,138,SE,29.2,26.4,34.2,0.0,984.9,982.2,987.2,74,53,88,,,
20/06/05,4.0,165,SSE,14.4,244,WSW,18.7,225,SW,29.8,26.8,34.2,0.0,985.0,982.3,987.6,73,51,86,,,
20/06/06,4.8,125,SE,14.8,115,ESE,21.6,183,S,29.2,25.1,35.2,21.6,984.8,981.4,986.8,74,48,96,,,
20/06/07,4.7,125,SE,19.8,216,SW,31.0,222,SW,28.7,24.5,34.3,5.8,984.0,981.4,986.6,74,50,95,,,
20/06/08,4.4,66,ENE,25.2,253,WSW,34.9,242,WSW,28.1,25.5,34.3,1.8,984.1,982.0,986.2,76,53,91,,,
20/06/09,3.6,111,CALM,15.5,129,SE,20.2,129,SE,30.9,27.1,35.8,0.0,984.4,981.7,986.0,67,42,90,,,
20/06/10,3.9,125,CALM,11.2,119,ESE,18.7,321,NW,31.5,27.8,36.3,0.0,984.7,981.8,987.3,64,40,83,,,
20/06/11,6.0,28,NNE,14.4,345,NNW,21.6,11,N,30.1,25.8,35.2,0.0,983.7,981.2,985.8,69,47,86,,,
20/06/12,4.6,225,SW,16.6,214,SW,22.7,228,SW,30.9,27.1,36.6,0.0,981.6,978.6,984.4,63,43,85,,,
20/06/13,5.9,249,WSW,22.7,342,NNW,32.4,3,N,29.3,23.7,37.1,13.2,981.9,978.0,985.8,71,43,95,,,
20/06/14,4.3,158,SSE,14.0,122,ESE,19.8,143,SE,27.2,24.7,31.3,0.6,984.5,980.8,986.6,80,57,94,,,
20/06/15,5.7,141,SE,15.8,137,SE,20.9,158,SSE,28.2,25.1,31.5,1.4,985.4,983.1,987.3,76,60,92,,,
20/06/16,3.7,187,CALM,18.0,247,WSW,26.3,242,WSW,26.5,23.5,29.8,32.0,985.4,983.4,987.8,85,67,96,,,
20/06/17,5.2,159,SSE,15.1,142,SE,19.8,135,SE,26.3,24.3,30.3,6.2,985.2,983.0,987.2,87,68,96,,,
20/06/18,4.7,225,SW,15.8,256,WSW,20.9,259,W,26.8,24.4,30.6,1.2,985.1,982.8,987.3,81,62,94,,,
20/06/19,3.4,77,CALM,21.6,229,SW,33.1,248,WSW,28.4,24.4,33.4,0.4,985.3,983.0,987.4,78,51,93,,,
20/06/20,4.3,143,SE,13.0,234,SW,17.3,51,NE,31.4,27.9,35.8,0.0,984.3,982.0,987.0,66,46,85,,,
20/06/21,4.7,230,SW,17.6,258,WSW,22.7,276,W,31.4,27.4,34.9,0.0,983.1,980.8,985.9,65,50,86,,,
20/06/22,5.3,273,W,28.4,345,NNW,41.0,338,NNW,30.1,26.1,37.0,0.0,983.9,981.1,986.2,66,38,87,,,
20/06/23,5.5,238,WSW,15.1,257,WSW,19.4,267,W,30.2,26.0,35.8,0.0,985.3,983.1,986.9,67,47,85,,,
20/06/24,5.4,224,SW,16.9,235,SW,24.1,236,SW,31.0,25.8,37.1,8.4,984.2,981.3,986.6,66,42,94,,,
20/06/25,4.2,35,NE,19.1,242,WSW,30.6,250,WSW,27.9,22.2,32.8,29.8,983.9,981.1,986.8,80,58,96,,,
20/06/26,3.3,147,CALM,10.8,261,W,16.9,84,E,28.8,24.9,32.8,0.2,984.2,982.5,986.1,76,57,93,,,
20/06/27,4.0,76,ENE,26.3,234,SW,46.4,239,WSW,28.4,25.9,35.0,0.0,984.5,982.0,986.3,76,50,90,,,
20/06/28,4.4,184,S,12.2,127,SE,16.6,124,SE,30.6,26.9,35.6,0.0,983.6,980.8,986.1,68,47,87,,,
20/06/29,4.6,166,SSE,12.2,110,ESE,15.8,349,N,32.3,28.0,35.5,0.0,983.0,980.3,985.4,60,48,81,,,
20/06/30,4.9,172,S,19.1,329,NNW,26.3,315,NW,29.0,26.3,35.4,0.0,982.5,980.0,984.6,72,50,86,,,

