date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
20/05/01,3.6,326,CALM,19.8,335,NNW,31.0,304,NW,30.0,23.9,39.3,0.0,984.8,981.7,987.9,67,35,94,,,
20/05/02,2.7,249,CALM,10.8,276,W,17.3,160,SSE,31.5,26.5,38.8,0.0,983.1,980.0,986.8,65,38,86,,,
20/05/03,3.4,193,CALM,16.9,284,WNW,24.5,264,W,32.1,26.2,39.7,0.0,983.2,980.0,985.9,64,38,89,,,
20/05/04,2.8,235,CALM,18.4,286,WNW,28.4,264,W,29.9,25.2,37.6,0.0,984.7,983.0,988.4,76,46,96,,,
20/05/05,2.6,285,CALM,11.5,55,NE,17.6,312,NW,33.3,27.3,41.5,0.0,982.5,979.9,986.1,62,32,86,,,
20/05/06,3.8,180,CALM,13.3,102,ESE,22.3,101,E,33.9,28.7,41.4,0.0,981.8,979.3,984.6,58,35,80,,,
20/05/07,4.2,238,WSW,14.8,173,S,21.6,28,NNE,32.3,26.5,40.6,0.0,981.9,978.4,984.3,61,40,85,,,
20/05/08,2.9,262,CALM,11.9,314,NW,15.8,124,SE,33.2,26.8,40.8,0.0,982.3,978.7,984.6,61,36,88,,,
20/05/09,3.7,269,CALM,12.2,291,WNW,21.2,321,NW,33.4,26.2,41.6,0.0,983.3,979.5,985.7,59,35,83,,,
20/05/10,3.0,309,CALM,13.0,285,WNW,19.4,278,W,33.3,27.9,41.0,0.0,983.5,979.8,986.7,60,35,84,,,
20/05/11,3.8,213,CALM,24.5,181,S,36.7,200,SSW,26.4,23.1,37.0,12.2,985.8,984.0,988.0,85,46,98,,,
20/05/12,2.4,211,CALM,10.4,124,SE,14.8,129,SE,30.8,24.7,38.4,0.0,984.7,981.7,987.5,67,38,92,,,
20/05/13,3.1,144,CALM,13.7,129,SE,20.5,124,SE,31.5,25.7,39.1,0.0,984.2,980.6,987.3,65,38,89,,,
20/05/14,3.8,181,CALM,12.6,87,E,18.7,124,SE,30.6,25.6,38.2,1.2,983.5,981.0,988.5,67,43,88,,,
20/05/15,3.6,193,CALM,13.7,112,ESE,19.1,118,ESE,33.3,26.1,40.9,0.0,980.9,977.6,984.0,53,29,85,,,
20/05/16,3.3,180,CALM,26.6,315,NW,38.5,321,NW,30.5,25.7,38.8,3.8,980.6,977.5,983.6,71,40,96,,,
20/05/17,5.5,138,SE,32.4,111,ESE,46.4,194,SSW,30.3,22.9,39.3,92.6,980.9,976.6,984.0,72,38,97,,,
20/05/18,3.0,195,CALM,23.0,237,WSW,43.2,233,SW,29.4,24.3,36.3,0.6,981.2,977.7,983.7,76,52,96,,,
20/05/19,2.9,107,CALM,28.4,297,WNW,39.2,321,NW,28.7,25.2,36.3,34.4,981.7,978.2,983.9,83,48,98,,,
20/05/20,2.6,270,CALM,14.0,260,W,19.4,256,WSW,29.5,26.0,35.6,0.0,981.9,979.6,983.6,82,53,97,,,
20/05/21,4.2,214,SW,16.6,172,S,23.8,233,SW,32.0,26.5,38.7,0.0,981.4,979.5,983.4,67,39,92,,,
20/05/22,3.0,206,CALM,12.6,182,S,18.7,200,SSW,32.6,28.0,39.6,0.0,981.0,978.4,982.9,67,41,87,,,
20/05/23,5.4,177,S,29.5,215,SW,42.1,163,SSE,29.7,23.5,38.7,182.6,983.6,977.6,989.0,79,46,99,,,
20/05/24,2.8,156,CALM,17.3,190,S,27.4,203,SSW,27.8,24.7,33.9,18.4,987.1,983.6,989.3,87,60,98,,,
20/05/25,3.6,175,CALM,22.3,259,W,30.2,245,WSW,28.2,25.4,35.8,4.2,987.8,984.9,989.5,85,54,97,,,
20/05/26,3.1,168,CALM,11.2,181,S,16.9,318,NW,30.1,26.2,35.5,0.2,987.1,984.7,989.6,77,54,94,,,
20/05/27,4.6,151,SSE,13.3,118,ESE,18.7,186,S,30.8,25.8,36.1,7.0,986.4,983.2,988.7,72,53,96,,,
20/05/28,4.2,99,E,16.2,257,WSW,23.4,211,SSW,26.6,23.3,30.8,46.2,987.7,984.5,989.9,91,73,98,,,
20/05/29,2.9,142,CALM,14.4,218,SW,23.8,143,SE,27.1,23.5,32.3,20.2,987.9,984.5,991.0,86,64,98,,,
20/05/30,2.1,117,CALM,11.2,160,SSE,18.0,256,WSW,27.1,24.7,32.0,7.6,988.9,985.5,991.4,89,65,98,,,
20/05/31,1.4,330,CALM,11.2,301,WNW,14.0,315,NW,27.7,24.8,32.8,1.4,988.5,985.7,991.8,89,65,98,,,

