date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
20/07/01,5.0,277,W,24.5,266,W,40.3,256,WSW,27.5,24.7,33.5,11.0,1006.6,1005.0,1008.7,85,60,100,,,
20/07/02,5.1,266,W,16.9,262,W,25.2,256,WSW,27.5,24.6,32.2,1.0,1006.6,1004.1,1007.9,83,62,99,,,
20/07/03,3.1,303,CALM,24.5,270,W,37.8,236,SW,25.8,23.4,31.8,4.2,1008.1,1006.9,1009.5,91,68,100,,,
20/07/04,4.4,285,WNW,18.0,304,NW,25.6,307,NW,27.3,24.3,33.2,0.0,1008.2,1005.9,1010.1,83,57,99,,,
20/07/05,4.8,296,WNW,15.1,261,W,24.5,293,WNW,27.7,24.3,33.1,0.0,1006.6,1004.3,1009.4,81,56,97,,,
20/07/06,7.1,282,WNW,18.4,262,W,25.6,281,W,28.8,24.8,34.2,0.0,1006.4,1003.7,1008.3,76,55,94,,,
20/07/07,4.3,294,WNW,14.8,260,W,22.0,259,W,27.0,24.0,30.8,0.0,1008.0,1005.9,1009.9,87,71,98,,,
20/07/08,4.0,297,WNW,14.4,283,WNW,24.5,307,NW,27.5,24.3,33.8,19.2,1007.7,1005.6,1009.4,88,58,100,,,
20/07/09,5.7,283,WNW,21.6,266,W,28.4,281,W,28.8,25.1,34.0,0.0,1006.7,1004.6,1008.2,79,57,96,,,
20/07/10,7.1,288,WNW,19.1,269,W,27.4,321,NW,27.7,24.5,32.2,0.0,1007.9,1006.1,1009.5,80,60,95,,,
20/07/11,6.1,286,WNW,18.7,266,W,28.8,259,W,28.3,24.2,33.4,0.0,1007.2,1004.9,1009.1,79,57,97,,,
20/07/12,7.4,274,W,19.8,256,WSW,29.9,250,WSW,27.3,24.4,32.8,1.8,1005.8,1003.6,1008.0,83,60,97,,,
20/07/13,4.6,285,WNW,22.7,249,WSW,34.2,245,WSW,26.1,23.7,32.9,7.0,1006.2,1003.6,1008.4,89,58,99,,,
20/07/14,5.7,275,W,18.0,258,WSW,25.9,278,W,28.1,24.2,32.6,0.0,1005.8,1003.4,1007.6,79,58,95,,,
20/07/15,5.2,284,WNW,15.5,284,WNW,22.0,290,WNW,27.6,24.6,31.3,1.8,1005.5,1003.4,1007.9,84,66,96,,,
20/07/16,5.4,297,WNW,17.3,297,WNW,25.6,318,NW,27.9,24.0,32.7,0.0,1005.3,1002.6,1007.4,78,57,97,,,
20/07/17,4.8,301,WNW,14.8,278,W,24.1,304,NW,29.2,24.5,34.9,0.0,1005.9,1003.2,1007.8,74,50,96,,,
20/07/18,4.8,315,NW,13.7,305,NW,18.7,281,W,29.3,24.3,35.3,0.0,1006.2,1003.2,1007.8,74,49,96,,,
20/07/19,3.8,317,CALM,14.4,193,SSW,19.1,321,NW,28.7,24.9,35.0,0.0,1005.6,1002.8,1007.8,80,53,98,,,
20/07/20,4.0,302,WNW,18.4,202,SSW,26.6,264,W,28.1,25.2,35.1,0.0,1005.7,1003.1,1007.8,84,54,97,,,
20/07/21,4.7,291,WNW,14.8,343,NNW,26.3,321,NW,27.5,24.5,33.6,0.0,1006.4,1004.8,1008.6,84,61,96,,,
20/07/22,4.2,312,NW,14.8,280,W,25.6,82,E,28.0,24.2,34.6,15.2,1006.2,1004.0,1007.8,83,52,100,,,
20/07/23,4.3,310,NW,17.6,251,WSW,25.6,267,W,27.8,24.0,35.0,0.2,1006.5,1003.6,1008.8,82,56,98,,,
20/07/24,4.1,291,WNW,12.6,303,WNW,18.0,309,NW,28.1,24.4,34.9,0.0,1006.2,1003.6,1007.9,82,54,98,,,
20/07/25,3.9,309,NW,22.7,295,WNW,30.6,276,W,26.5,23.5,34.7,54.0,1006.2,1003.8,1008.0,90,55,100,,,
20/07/26,3.3,280,CALM,18.4,200,SSW,25.6,197,SSW,27.1,23.8,34.2,34.0,1005.9,1004.1,1008.0,89,57,100,,,
20/07/27,3.5,286,CALM,16.6,210,SSW,29.5,203,SSW,26.8,23.9,34.4,9.4,1005.3,1003.2,1007.0,89,59,100,,,
20/07/28,3.5,269,CALM,16.2,265,W,22.0,270,W,26.7,23.9,33.7,6.8,1006.3,1004.5,1008.3,89,61,100,,,
20/07/29,3.5,294,CALM,18.4,266,W,27.4,236,SW,27.3,24.2,33.8,0.2,1007.1,1005.3,1008.9,85,58,98,,,
20/07/30,5.8,279,W,21.2,265,W,31.3,183,S,27.2,24.3,30.6,0.4,1006.9,1004.4,1009.4,82,64,98,,,
20/07/31,7.9,262,W,22.0,264,W,32.8,262,W,27.3,25.0,31.5,3.4,1006.1,1003.6,1008.0,83,64,95,,,

