date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
20/12/01,3.8,264,CALM,10.1,242,WSW,13.7,326,NW,23.4,22.4,24.5,38.6,1007.2,1005.3,1009.8,97,94,98,,,
20/12/02,7.1,149,SSE,21.2,70,ENE,25.2,73,ENE,25.8,23.1,31.2,70.0,1007.2,1004.6,1009.2,88,63,98,,,
20/12/03,4.5,231,SW,17.3,246,WSW,22.0,228,SW,23.5,23.1,24.3,74.2,1008.2,1006.8,1009.7,97,94,98,,,
20/12/04,5.3,163,SSE,23.8,89,E,32.4,79,E,26.0,23.1,30.8,0.4,1008.3,1006.1,1009.8,83,68,97,,,
20/12/05,4.4,4,N,20.5,67,ENE,25.6,65,ENE,26.6,23.9,30.3,0.0,1009.3,1007.3,1010.8,82,63,94,,,
20/12/06,6.9,61,ENE,18.0,73,ENE,23.0,68,ENE,27.4,23.5,32.3,0.0,1009.5,1007.7,1011.2,79,59,96,,,
20/12/07,6.3,338,NNW,14.0,59,ENE,19.1,42,NE,27.9,23.8,33.1,0.0,1009.8,1007.4,1011.8,76,54,94,,,
20/12/08,6.2,242,WSW,19.8,61,ENE,27.7,93,E,26.9,23.7,33.9,0.0,1009.2,1007.4,1012.1,82,54,94,,,
20/12/09,5.4,341,NNW,25.2,68,ENE,27.4,68,ENE,27.5,23.9,33.0,0.0,1008.0,1005.9,1010.8,80,59,93,,,
20/12/10,5.9,297,WNW,16.9,25,NNE,23.4,31,NNE,28.1,24.4,33.1,0.8,1008.1,1006.3,1010.1,78,53,96,,,
20/12/11,6.8,294,WNW,22.0,19,NNE,32.8,45,NE,27.7,24.1,33.2,9.2,1007.8,1005.4,1010.0,82,57,98,,,
20/12/12,5.3,206,SSW,15.8,65,ENE,20.9,70,ENE,27.2,23.6,33.3,0.0,1007.1,1004.7,1009.2,84,60,97,,,
20/12/13,3.5,240,CALM,10.4,65,ENE,12.2,59,ENE,24.8,23.3,27.7,8.2,1007.0,1005.4,1009.2,94,80,98,,,
20/12/14,4.9,193,SSW,17.3,65,ENE,21.2,73,ENE,26.9,23.5,32.1,0.0,1007.5,1004.9,1009.1,85,62,97,,,
20/12/15,6.2,165,SSE,18.7,70,ENE,23.8,82,E,26.8,23.0,32.1,78.4,1008.6,1005.5,1010.4,86,63,98,,,
20/12/16,6.8,190,S,21.2,69,ENE,28.1,82,E,25.9,23.5,31.1,43.0,1008.3,1005.8,1010.8,90,69,98,,,
20/12/17,6.6,235,SW,18.0,253,WSW,32.0,172,S,24.1,23.0,28.6,162.0,1008.0,1006.2,1009.9,97,84,98,,,
20/12/18,6.7,270,W,23.8,38,NE,28.8,34,NE,23.9,22.9,26.1,141.2,1008.2,1005.9,1009.9,97,89,98,,,
20/12/19,4.3,194,SSW,25.9,40,NE,36.4,34,NE,25.5,23.0,29.9,43.6,1008.4,1005.9,1011.0,92,71,98,,,
20/12/20,10.3,62,ENE,23.0,70,ENE,31.0,70,ENE,26.6,23.9,29.0,20.4,1008.7,1006.9,1011.1,81,68,98,,,
20/12/21,8.2,43,NE,20.5,62,ENE,24.5,51,NE,26.4,22.7,31.1,0.2,1008.3,1006.3,1010.3,79,59,96,,,
20/12/22,7.7,347,NNW,19.1,31,NNE,27.4,17,NNE,27.1,23.7,31.9,1.0,1007.3,1005.4,1010.2,78,61,96,,,
20/12/23,4.4,241,WSW,14.8,244,WSW,18.4,236,SW,24.3,23.1,27.5,61.4,1006.2,1004.2,1008.5,96,84,98,,,
20/12/24,4.9,262,W,17.6,25,NNE,26.6,28,NNE,26.4,23.4,31.2,6.6,1005.5,1002.1,1007.5,88,66,98,,,
20/12/25,8.9,131,SE,22.7,121,ESE,30.2,124,SE,26.2,23.2,28.4,39.8,1006.9,1004.4,1008.5,90,82,98,,,
20/12/26,6.3,154,SSE,20.2,161,SSE,28.8,174,S,25.1,22.0,28.5,84.0,1008.1,1005.1,1010.0,93,81,98,,,
20/12/27,5.9,161,SSE,17.3,117,ESE,23.4,118,ESE,26.6,22.5,31.8,0.0,1007.5,1005.4,1010.3,85,63,98,,,
20/12/28,6.9,159,SSE,20.5,113,ESE,26.6,110,ESE,27.1,22.9,31.7,0.0,1007.4,1005.2,1009.7,80,60,96,,,
20/12/29,5.5,168,SSE,16.6,61,ENE,21.6,84,E,27.2,22.6,33.3,0.0,1007.4,1005.2,1009.8,77,48,94,,,
20/12/30,5.7,154,SSE,17.6,64,ENE,21.6,104,ESE,27.3,22.9,33.1,0.0,1007.3,1005.1,1009.7,78,52,93,,,
20/12/31,6.5,217,SW,22.7,84,E,30.6,174,S,24.1,22.5,30.3,89.2,1008.8,1007.6,1010.5,93,65,98,,,

