date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
20/03/01,2.5,115,CALM,16.2,73,ENE,23.8,73,ENE,25.1,20.8,31.7,0.0,1008.0,1005.8,1010.2,86,59,98,,,
20/03/02,4.3,120,ESE,21.2,114,ESE,30.2,138,SE,26.7,21.2,33.1,0.0,1007.9,1005.7,1010.1,80,53,98,,,
20/03/03,4.8,118,ESE,20.2,133,SE,33.5,107,ESE,27.0,21.2,33.7,0.0,1008.1,1005.4,1010.4,79,51,98,,,
20/03/04,4.7,115,ESE,21.2,113,ESE,30.2,138,SE,27.4,21.2,34.4,0.0,1007.7,1005.1,1010.2,79,48,98,,,
20/03/05,4.8,124,SE,20.5,110,ESE,32.4,127,SE,27.5,21.4,34.2,0.0,1008.1,1005.7,1010.4,79,51,98,,,
20/03/06,2.1,118,CALM,21.6,232,SW,28.8,214,SW,26.7,22.7,33.7,26.6,1009.6,1006.9,1012.1,86,56,98,,,
20/03/07,3.1,122,CALM,15.8,98,E,21.6,34,NE,27.8,23.2,34.2,0.0,1009.7,1007.2,1012.4,82,53,98,,,
20/03/08,2.0,105,CALM,13.3,4,N,19.1,352,N,27.9,22.1,34.5,0.0,1008.1,1004.8,1011.2,80,45,98,,,
20/03/09,2.7,121,CALM,13.0,118,ESE,20.5,309,NW,28.8,23.2,35.4,0.0,1006.1,1003.0,1009.2,79,46,98,,,
20/03/10,2.7,134,CALM,14.8,354,N,22.3,39,NE,29.0,23.1,35.5,0.0,1006.0,1003.9,1008.7,79,42,98,,,
20/03/11,2.4,122,CALM,14.8,351,N,20.9,338,NNW,28.7,23.9,35.2,0.8,1007.6,1005.2,1010.1,83,53,98,,,
20/03/12,5.1,133,SE,22.0,121,ESE,31.0,129,SE,28.5,23.0,35.6,0.0,1009.0,1007.2,1011.0,81,49,98,,,
20/03/13,4.0,117,ESE,19.8,130,SE,27.0,113,ESE,28.4,23.1,35.5,0.0,1009.4,1007.0,1011.8,77,41,98,,,
20/03/14,5.3,122,ESE,22.3,108,ESE,34.9,121,ESE,28.3,22.9,34.7,0.0,1007.7,1005.3,1009.9,78,45,98,,,
20/03/15,4.2,111,ESE,19.4,115,ESE,28.4,113,ESE,28.3,23.3,35.1,0.0,1008.4,1006.2,1010.7,79,44,98,,,
20/03/16,6.3,119,ESE,24.5,131,SE,33.5,135,SE,28.2,23.8,34.1,0.0,1009.2,1006.8,1011.8,76,46,98,,,
20/03/17,5.4,125,SE,23.4,118,ESE,32.0,121,ESE,28.0,22.6,33.8,0.0,1009.8,1007.9,1012.1,76,44,98,,,
20/03/18,4.4,135,SE,17.3,117,ESE,27.0,113,ESE,27.7,21.6,35.4,0.0,1008.8,1006.2,1011.1,74,35,98,,,
20/03/19,4.0,140,SE,19.4,123,ESE,27.4,51,NE,27.4,19.7,35.6,0.0,1008.2,1005.8,1010.5,72,34,98,,,
20/03/20,3.5,129,CALM,17.3,113,ESE,24.5,37,NE,28.1,21.8,35.1,0.0,1008.6,1006.3,1011.2,73,39,98,,,
20/03/21,2.9,106,CALM,14.4,38,NE,22.0,28,NNE,27.5,20.9,34.9,0.0,1009.1,1006.7,1012.0,71,30,98,,,
20/03/22,2.8,105,CALM,15.5,355,N,23.4,23,NNE,27.2,20.2,34.4,0.0,1008.5,1005.7,1011.3,75,44,98,,,
20/03/23,2.0,105,CALM,14.8,340,NNW,22.3,335,NNW,27.3,20.8,35.0,0.0,1007.8,1005.1,1010.3,75,44,98,,,
20/03/24,4.4,126,SE,19.4,127,SE,26.3,90,E,27.5,20.0,35.2,0.0,1006.3,1003.5,1009.1,78,46,98,,,
20/03/25,5.4,117,ESE,21.6,126,SE,33.8,127,SE,28.8,23.6,34.9,0.0,1005.8,1003.9,1007.7,76,50,98,,,
20/03/26,3.5,124,CALM,22.3,115,ESE,29.5,127,SE,28.7,22.4,35.8,0.0,1007.0,1005.3,1009.1,75,43,98,,,
20/03/27,3.4,125,CALM,20.2,120,ESE,29.5,113,ESE,27.5,21.8,37.8,0.0,1007.0,1005.0,1009.0,80,32,98,,,
20/03/28,1.8,125,CALM,16.2,356,N,25.6,14,NNE,28.7,22.6,36.0,0.0,1006.4,1004.2,1009.6,77,45,98,,,
20/03/29,2.2,122,CALM,16.6,339,NNW,22.0,20,NNE,29.1,22.9,36.2,0.0,1006.1,1003.7,1008.6,76,43,98,,,
20/03/30,2.8,129,CALM,18.4,113,ESE,24.8,129,SE,28.5,21.5,36.0,0.0,1007.2,1004.8,1009.8,76,47,98,,,
20/03/31,2.8,116,CALM,16.2,86,E,27.7,121,ESE,28.7,21.6,37.2,0.0,1006.7,1004.2,1009.2,72,39,98,,,

