date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
20/04/01,3.3,219,CALM,20.9,35,NE,31.3,39,NE,28.5,22.0,35.7,0.0,1008.2,1005.6,1011.0,80,44,100,,,
20/04/02,3.6,146,CALM,18.0,66,ENE,23.8,79,E,28.6,23.9,35.1,0.0,1008.7,1006.5,1010.5,80,50,99,,,
20/04/03,4.3,133,SE,19.1,132,SE,26.6,127,SE,28.6,23.1,34.7,0.0,1009.3,1007.4,1011.5,79,51,99,,,
20/04/04,4.0,40,NE,18.7,118,ESE,26.6,62,ENE,28.0,23.2,34.0,0.0,1009.6,1008.2,1011.2,79,51,99,,,
20/04/05,3.7,99,CALM,25.2,63,ENE,31.7,59,ENE,28.3,23.2,34.2,0.0,1010.0,1007.7,1012.1,79,52,99,,,
20/04/06,4.0,143,SE,19.4,81,E,27.7,48,NE,28.5,24.1,34.1,0.0,1009.3,1007.0,1011.4,81,53,100,,,
20/04/07,3.1,201,CALM,18.4,54,NE,26.3,135,SE,28.1,23.3,34.8,0.0,1008.7,1006.4,1010.9,82,52,100,,,
20/04/08,3.4,211,CALM,19.8,63,ENE,25.6,53,NE,28.4,23.5,35.3,0.0,1009.5,1007.2,1011.2,79,50,100,,,
20/04/09,3.6,215,CALM,19.1,70,ENE,24.1,82,E,29.0,24.2,35.2,0.0,1010.0,1007.9,1011.7,76,47,99,,,
20/04/10,3.5,188,CALM,19.1,90,E,25.6,124,SE,28.3,23.6,34.4,0.0,1010.8,1008.4,1012.6,79,47,98,,,
20/04/11,4.0,128,SE,19.1,142,SE,25.9,87,E,28.5,22.8,35.1,0.0,1010.2,1008.2,1012.7,76,42,100,,,
20/04/12,3.3,184,CALM,16.9,79,E,27.7,90,E,28.6,23.3,36.1,0.0,1008.9,1005.8,1011.1,78,43,100,,,
20/04/13,4.9,111,ESE,20.2,78,ENE,30.2,59,ENE,29.4,24.1,35.6,38.0,1008.9,1006.4,1011.0,76,44,100,,,
20/04/14,2.0,328,CALM,14.4,32,NNE,18.7,28,NNE,26.7,23.3,31.4,17.2,1009.9,1007.4,1012.2,91,68,100,,,
20/04/15,4.1,139,SE,18.4,78,ENE,24.5,73,ENE,28.5,24.6,34.1,1.0,1009.4,1006.8,1011.5,82,56,99,,,
20/04/16,4.1,129,SE,18.4,159,SSE,29.5,68,ENE,27.9,23.5,33.9,6.0,1008.7,1006.0,1010.7,82,54,99,,,
20/04/17,3.1,185,CALM,14.8,207,SSW,18.0,217,SW,27.0,24.2,32.0,1.2,1009.7,1006.5,1012.1,88,65,100,,,
20/04/18,3.1,160,CALM,19.1,76,ENE,28.4,84,E,28.2,24.2,33.8,0.0,1009.4,1006.8,1011.5,84,55,100,,,
20/04/19,3.6,204,CALM,17.6,125,SE,25.2,70,ENE,28.8,24.6,34.5,0.0,1009.0,1006.6,1011.1,81,50,99,,,
20/04/20,3.3,159,CALM,16.6,61,ENE,23.4,82,E,29.0,24.1,35.0,0.0,1008.6,1006.5,1010.8,81,52,100,,,
20/04/21,3.6,148,CALM,15.5,137,SE,23.4,124,SE,28.6,23.3,34.7,0.0,1008.4,1006.5,1010.0,78,51,99,,,
20/04/22,3.8,2,CALM,18.0,70,ENE,25.2,132,SE,29.1,24.7,34.9,0.0,1008.0,1005.3,1009.9,79,54,99,,,
20/04/23,3.7,177,CALM,16.2,141,SE,22.3,115,ESE,29.3,25.8,34.2,0.0,1008.1,1005.5,1010.2,80,55,98,,,
20/04/24,5.6,359,N,22.0,29,NNE,31.7,20,NNE,28.8,24.6,33.7,0.0,1008.3,1005.8,1010.7,82,60,98,,,
20/04/25,4.0,128,SE,26.3,145,SE,38.9,113,ESE,29.1,23.1,34.4,25.8,1008.9,1006.5,1010.8,78,50,100,,,
20/04/26,2.9,294,CALM,24.5,35,NE,31.0,48,NE,25.9,24.1,29.7,13.6,1009.8,1008.5,1011.7,95,74,100,,,
20/04/27,3.4,185,CALM,15.1,200,SSW,22.0,129,SE,26.5,24.3,32.0,43.4,1010.6,1008.3,1013.2,91,60,100,,,
20/04/28,1.4,256,CALM,26.6,144,SE,37.4,177,S,25.0,23.6,29.5,16.6,1009.5,1007.1,1012.3,97,75,100,,,
20/04/29,1.0,313,CALM,11.2,28,NNE,14.0,28,NNE,26.2,24.3,29.4,5.4,1009.3,1006.9,1011.1,94,77,100,,,
20/04/30,3.0,333,CALM,26.6,76,ENE,38.9,79,E,25.7,23.4,31.8,22.8,1009.3,1007.3,1011.9,95,67,100,,,

