date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
20/06/01,2.9,223,CALM,15.5,287,WNW,20.2,276,W,30.4,26.5,33.9,0.2,1007.6,1005.9,1009.5,70,50,98,20000,19681,20000
20/06/02,3.3,127,CALM,14.4,271,W,20.2,262,W,29.0,26.5,33.1,0.0,1006.8,1005.0,1008.7,79,62,97,19942,14982,20000
20/06/03,2.1,60,CALM,15.1,241,WSW,24.5,287,WNW,27.2,24.5,29.6,9.0,1006.8,1004.3,1008.6,85,70,99,19231,1204,20000
20/06/04,5.0,251,WSW,21.2,239,WSW,33.8,253,WSW,27.7,25.1,32.6,40.0,1006.7,1004.9,1008.6,82,62,99,18022,471,20000
20/06/05,2.9,103,CALM,25.9,265,W,39.2,290,WNW,25.7,13.8,28.7,28.4,1006.9,1005.1,1008.9,88,66,99,17943,803,20000
20/06/06,6.4,229,SW,25.6,216,SW,38.9,284,WNW,28.0,25.1,32.0,51.2,1006.3,1004.6,1008.5,82,66,100,18159,485,20000
20/06/07,3.0,139,CALM,28.8,265,W,42.1,273,W,26.0,25.2,28.3,28.6,1006.1,1004.5,1007.9,91,75,100,18064,782,20000
20/06/08,2.6,141,CALM,20.9,268,W,28.4,276,W,27.0,23.9,32.3,47.0,1005.4,1003.5,1007.1,89,64,100,18035,525,20000
20/06/09,3.6,170,CALM,26.3,294,WNW,42.8,293,WNW,27.8,25.0,34.2,21.4,1005.4,1003.6,1006.6,85,58,100,18757,725,20000
20/06/10,1.5,73,CALM,22.0,223,SW,32.0,270,W,27.8,25.0,32.2,13.8,1005.4,1003.1,1007.6,79,52,100,19358,1039,20000
20/06/11,2.8,88,CALM,23.4,271,W,31.3,278,W,29.2,24.9,34.7,7.0,1004.9,1002.8,1006.3,76,46,97,17542,1506,20000
20/06/12,6.1,257,WSW,18.7,277,W,23.4,284,WNW,29.7,25.3,32.3,0.0,1004.2,1002.2,1006.4,69,56,97,19989,14145,20000
20/06/13,1.9,260,CALM,25.9,264,W,39.2,250,WSW,28.4,25.3,32.6,30.4,1004.4,1002.3,1006.2,83,59,100,18941,557,20000
20/06/14,0.8,109,CALM,17.3,233,SW,27.7,236,SW,26.3,25.0,31.6,24.0,1005.5,1003.5,1007.3,96,71,100,18603,764,20000
20/06/15,1.2,116,CALM,17.6,226,SW,27.7,225,SW,27.1,25.2,31.0,10.6,1006.5,1005.2,1008.0,88,67,100,19651,827,20000
20/06/16,2.1,114,CALM,22.0,117,ESE,30.2,104,ESE,28.5,25.8,33.4,6.2,1006.4,1004.1,1008.4,81,57,100,19346,1487,20000
20/06/17,4.8,316,NW,19.1,297,WNW,29.5,307,NW,29.1,23.8,32.9,100.0,1006.8,1004.6,1008.7,77,58,100,17710,319,20000
20/06/18,3.7,211,CALM,15.8,275,W,24.8,298,WNW,28.3,24.2,32.5,24.2,1006.9,1004.8,1008.5,81,61,100,18948,522,20000
20/06/19,3.8,186,CALM,15.5,232,SW,21.2,262,W,28.4,25.6,32.4,0.2,1006.5,1004.2,1008.9,79,60,100,19961,13321,20000
20/06/20,3.5,188,CALM,17.3,257,WSW,22.7,239,WSW,29.4,26.3,32.6,1.8,1005.6,1003.4,1007.3,76,57,100,19357,1484,20000
20/06/21,1.7,182,CALM,14.0,229,SW,22.0,214,SW,28.0,24.9,31.9,7.0,1004.4,1001.6,1006.2,81,60,97,18798,3643,20000
20/06/22,2.4,158,CALM,14.0,237,WSW,18.4,259,W,28.1,25.3,31.7,29.6,1005.0,1002.7,1007.5,81,63,99,18602,383,20000
20/06/23,2.3,142,CALM,11.9,268,W,15.8,304,NW,27.8,25.2,31.7,2.4,1007.2,1005.3,1008.8,81,58,100,19845,4965,20000
20/06/24,2.3,110,CALM,14.0,257,WSW,18.0,273,W,29.0,26.1,32.9,3.8,1006.6,1004.4,1008.3,78,61,100,19760,2484,20000
20/06/25,2.9,203,CALM,19.8,111,ESE,30.2,121,ESE,27.9,23.9,32.8,40.6,1006.8,1004.2,1008.9,82,59,100,17900,875,20000
20/06/26,2.2,107,CALM,14.8,304,NW,24.5,287,WNW,27.6,25.2,31.6,0.2,1007.1,1005.7,1008.4,81,61,100,19994,17323,20000
20/06/27,3.0,172,CALM,14.0,286,WNW,19.8,264,W,28.9,25.9,32.9,0.0,1007.0,1005.1,1008.4,76,56,90,19957,11831,20000
20/06/28,1.0,121,CALM,20.5,232,SW,27.0,231,SW,27.2,25.1,30.1,23.6,1005.2,1003.2,1007.1,90,75,100,13566,479,20000
20/06/29,3.5,105,CALM,12.6,94,E,16.9,129,SE,29.5,26.5,32.4,0.2,1005.9,1004.9,1008.1,79,61,100,19593,9546,20000
20/06/30,4.2,288,WNW,14.0,278,W,20.9,301,WNW,29.6,26.3,32.9,0.0,1006.8,1005.3,1008.4,74,60,89,19090,9825,20000

