date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
20/06/01,6.3,131,SE,22.0,338,NNW,24.8,343,NNW,-,-,-,2.2,1009.9,1007.6,1011.9,-,-,-,,,
20/06/02,4.7,210,SSW,24.8,205,SSW,32.8,191,S,-,-,-,41.8,1009.5,1007.5,1011.7,-,-,-,,,
20/06/03,4.6,186,S,17.6,151,SSE,24.1,160,SSE,-,-,-,9.8,1008.8,1007.0,1010.5,-,-,-,,,
20/06/04,5.1,177,S,24.8,262,W,32.8,270,W,-,-,-,14.0,1008.7,1006.4,1010.3,-,-,-,,,
20/06/05,6.9,192,SSW,18.0,221,SW,26.3,191,S,-,-,-,0.4,1009.1,1006.5,1010.9,-,-,-,,,
20/06/06,5.0,203,SSW,18.4,181,S,23.8,158,SSE,-,-,-,0.0,1008.4,1006.3,1010.0,-,-,-,,,
20/06/07,4.9,222,SW,21.2,262,W,28.8,242,WSW,-,-,-,0.0,1008.3,1006.8,1010.0,-,-,-,,,
20/06/08,4.5,150,SSE,11.9,34,NE,15.8,155,SSE,-,-,-,0.0,1007.5,1005.4,1009.4,-,-,-,,,
20/06/09,4.7,168,SSE,17.6,303,WNW,32.0,236,SW,-,-,-,0.0,1007.5,1005.0,1009.2,-,-,-,,,
20/06/10,3.7,201,CALM,16.2,124,SE,25.6,180,S,-,-,-,0.0,1007.9,1005.8,1009.5,-,-,-,,,
20/06/11,5.7,160,SSE,20.9,31,NNE,23.8,28,NNE,-,-,-,0.0,1007.2,1005.5,1009.2,-,-,-,,,
20/06/12,5.4,200,SSW,17.3,261,W,23.0,253,WSW,-,-,-,1.8,1006.3,1004.5,1008.4,-,-,-,,,
20/06/13,5.9,208,SSW,16.2,185,S,22.3,264,W,-,-,-,0.0,1006.5,1004.0,1008.9,-,-,-,,,
20/06/14,5.6,190,S,18.7,129,SE,25.2,143,SE,-,-,-,3.4,1007.7,1005.0,1009.4,-,-,-,,,
20/06/15,4.3,195,SSW,18.0,145,SE,27.0,138,SE,-,-,-,24.2,1008.8,1006.5,1010.3,0,0,0,,,
20/06/16,4.3,182,S,20.5,153,SSE,27.4,166,SSE,-,-,-,0.2,1008.8,1006.3,1011.1,-,-,-,,,
20/06/17,6.1,191,S,13.7,29,NNE,20.9,183,S,-,-,-,2.8,1009.2,1006.1,1011.6,-,-,-,,,
20/06/18,4.6,200,SSW,13.7,34,NE,16.2,51,NE,-,-,-,0.0,1009.0,1006.7,1011.1,-,-,-,,,
20/06/19,5.0,188,S,15.1,20,NNE,18.7,267,W,-,-,-,0.0,1008.5,1006.5,1010.5,-,-,-,,,
20/06/20,4.7,194,SSW,20.9,200,SSW,29.9,191,S,-,-,-,5.4,1008.0,1006.3,1009.7,-,-,-,,,
20/06/21,5.1,191,S,19.4,264,W,26.3,295,WNW,-,-,-,3.8,1006.6,1003.7,1008.2,-,-,-,,,
20/06/22,5.0,212,SSW,15.1,245,WSW,18.0,273,W,-,-,-,1.6,1007.1,1005.1,1008.9,-,-,-,,,
20/06/23,2.8,194,CALM,11.9,27,NNE,14.0,135,SE,-,-,-,0.0,1007.9,1005.6,1009.6,-,-,-,,,
20/06/24,6.6,184,S,19.1,17,NNE,20.9,11,N,-,-,-,0.0,1007.6,1005.5,1008.9,-,-,-,,,
20/06/25,5.5,220,SW,20.9,165,SSE,29.2,146,SE,-,-,-,31.2,1007.3,1004.2,1008.9,-,-,-,,,
20/06/26,6.2,219,SW,18.0,277,W,23.8,264,W,-,-,-,20.6,1008.1,1005.6,1010.3,-,-,-,,,
20/06/27,3.7,160,CALM,11.5,192,SSW,14.8,191,S,-,-,-,0.0,1007.8,1006.1,1009.0,-,-,-,,,
20/06/28,3.4,192,CALM,23.8,152,SSE,36.0,172,S,-,-,-,29.2,1007.3,1004.6,1009.5,-,-,-,,,
20/06/29,0.0,223,CALM,0.0,169,CALM,0.0,169,CALM,0.0,0.0,0.0,0.0,1007.5,1005.3,1009.4,0,0,0,,,
20/06/30,4.4,156,SSE,14.4,30,NNE,16.2,28,NNE,-,-,-,1.2,1007.4,1005.5,1009.1,-,-,-,,,

