date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
20/07/01,3.8,170,CALM,23.0,292,WNW,31.0,284,WNW,28.4,25.0,33.8,3.0,976.6,973.8,979.2,70,51,89,,,
20/07/02,1.6,180,CALM,10.4,160,SSE,14.4,211,SSW,29.1,25.3,34.2,0.0,976.2,973.3,977.9,67,48,84,,,
20/07/03,4.5,172,S,17.3,213,SSW,26.3,222,SW,29.4,25.3,34.7,0.0,977.7,974.6,979.4,66,47,82,,,
20/07/04,3.3,163,CALM,14.8,181,S,22.0,172,S,27.5,24.6,33.9,9.4,979.1,976.5,981.0,77,47,95,,,
20/07/05,2.9,174,CALM,18.0,176,S,27.7,188,S,29.0,24.3,34.1,0.0,977.7,975.0,980.3,66,46,87,,,
20/07/06,2.1,176,CALM,13.7,287,WNW,19.1,203,SSW,30.5,25.6,36.2,0.0,977.7,974.8,979.9,62,41,80,,,
20/07/07,3.4,150,CALM,17.6,47,NE,26.6,34,NE,30.3,24.3,37.5,5.8,979.5,976.4,981.5,66,40,95,,,
20/07/08,2.1,154,CALM,12.6,108,ESE,19.1,127,SE,28.9,24.6,34.6,0.0,979.8,977.2,982.1,72,49,94,,,
20/07/09,3.8,220,CALM,17.3,286,WNW,22.3,276,W,30.1,25.6,35.1,0.0,978.0,975.5,980.7,64,43,87,,,
20/07/10,5.3,197,SSW,19.4,288,WNW,28.1,284,WNW,30.5,26.3,35.9,0.0,978.6,976.5,980.4,57,40,80,,,
20/07/11,3.3,206,CALM,15.8,286,WNW,21.2,267,W,30.5,26.2,35.4,0.0,978.4,976.2,980.1,60,42,81,,,
20/07/12,3.0,156,CALM,15.8,173,S,25.9,135,SE,27.7,23.4,36.0,18.6,978.0,975.1,979.9,76,42,97,,,
20/07/13,1.4,134,CALM,10.1,167,SSE,16.2,203,SSW,26.4,23.6,32.3,2.2,979.2,976.4,981.0,83,54,96,,,
20/07/14,2.0,176,CALM,19.1,159,SSE,26.3,163,SSE,28.5,24.2,35.0,3.4,979.3,976.7,981.7,74,46,94,,,
20/07/15,2.0,165,CALM,12.2,186,S,17.6,203,SSW,29.4,24.4,36.3,0.0,978.2,975.5,980.7,68,41,93,,,
20/07/16,2.7,160,CALM,13.3,177,S,21.2,124,SE,30.4,25.5,37.1,0.0,977.4,974.1,979.5,64,41,89,,,
20/07/17,4.1,157,SSE,16.6,177,S,27.7,158,SSE,29.4,24.7,36.1,0.0,979.1,975.6,981.3,69,44,91,,,
20/07/18,1.8,188,CALM,13.7,284,WNW,17.3,281,W,28.6,24.7,33.2,0.0,980.0,977.8,982.0,71,52,91,,,
20/07/19,2.9,149,CALM,29.2,292,WNW,34.9,293,WNW,28.8,24.0,35.0,0.0,979.4,976.2,981.5,67,46,89,,,
20/07/20,2.3,191,CALM,16.2,269,W,24.8,287,WNW,29.8,24.8,36.8,0.0,979.4,976.1,981.7,64,38,87,,,
20/07/21,3.1,54,CALM,15.8,291,WNW,21.2,298,WNW,28.5,23.9,33.9,0.0,980.5,977.4,982.5,70,45,89,,,
20/07/22,2.6,187,CALM,13.7,181,S,19.8,177,S,29.4,24.8,35.9,0.0,979.5,976.5,981.7,68,44,86,,,
20/07/23,1.8,149,CALM,13.0,114,ESE,19.4,118,ESE,29.5,25.0,36.8,0.8,980.4,977.6,982.3,69,41,87,,,
20/07/24,1.5,119,CALM,13.7,63,ENE,20.9,73,ENE,31.0,25.7,38.6,0.0,979.7,976.3,982.8,63,36,88,,,
20/07/25,2.3,154,CALM,11.5,227,SW,18.4,158,SSE,31.9,26.1,39.1,0.0,979.1,975.5,981.5,59,36,83,,,
20/07/26,2.7,138,CALM,15.8,163,SSE,24.1,149,SSE,31.4,25.6,38.7,0.0,979.0,976.0,982.0,60,34,84,,,
20/07/27,3.2,148,CALM,18.0,38,NE,23.4,53,NE,30.0,23.4,35.5,0.4,978.5,975.4,980.5,66,44,91,,,
20/07/28,2.2,47,CALM,16.9,205,SSW,28.1,205,SSW,26.3,23.4,32.6,1.4,980.1,977.0,982.2,80,53,93,,,
20/07/29,2.6,176,CALM,14.4,175,S,22.3,208,SSW,28.0,24.6,34.9,0.0,980.3,978.5,982.3,73,47,89,,,
20/07/30,2.7,98,CALM,19.8,278,W,27.0,264,W,28.7,24.4,37.6,13.2,978.3,975.7,981.2,75,37,96,,,
20/07/31,2.2,106,CALM,17.3,288,WNW,27.0,321,NW,29.7,24.9,36.3,0.0,975.7,972.9,979.1,72,43,95,,,

