date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
20/07/01,4.2,165,SSE,16.9,163,SSE,23.0,163,SSE,27.3,24.0,32.5,8.6,966.1,963.2,968.2,81,43,97,,,
20/07/02,3.3,164,CALM,12.6,176,S,20.9,188,S,27.0,24.5,31.4,0.2,965.8,963.6,967.6,84,51,97,,,
20/07/03,2.5,143,CALM,15.1,161,SSE,25.2,143,SE,26.7,24.8,30.4,0.0,967.3,964.9,968.9,86,64,96,,,
20/07/04,3.9,167,SSE,15.8,170,S,22.7,135,SE,26.2,24.0,28.4,0.2,968.7,966.4,970.2,86,71,96,,,
20/07/05,2.9,192,CALM,13.3,148,SSE,20.5,141,SE,27.4,24.3,32.0,0.0,967.3,964.8,970.0,79,41,97,,,
20/07/06,3.1,144,CALM,13.3,176,S,19.8,197,SSW,28.6,23.8,34.6,4.8,967.5,964.7,970.7,73,35,96,,,
20/07/07,3.0,97,CALM,15.5,167,SSE,24.8,169,S,27.5,23.8,34.4,0.6,969.8,967.3,971.5,79,39,96,,,
20/07/08,2.9,102,CALM,17.3,172,S,22.0,141,SE,27.0,24.0,32.6,0.0,969.4,967.3,971.6,81,40,97,,,
20/07/09,3.4,150,CALM,14.0,161,SSE,20.2,158,SSE,28.5,24.3,33.3,0.0,967.1,965.0,969.7,72,37,97,,,
20/07/10,2.9,67,CALM,14.8,164,SSE,24.5,158,SSE,26.8,24.7,32.6,3.0,968.0,966.8,969.6,84,39,97,,,
20/07/11,0.9,35,CALM,6.1,161,SSE,9.0,132,SE,26.6,24.6,30.7,0.8,968.2,966.5,969.9,88,59,97,,,
20/07/12,1.6,132,CALM,13.7,161,SSE,20.9,166,SSE,25.8,23.0,28.7,27.8,968.0,966.4,969.8,91,74,97,,,
20/07/13,2.3,138,CALM,16.2,163,SSE,25.2,163,SSE,25.2,22.5,31.0,10.4,969.4,966.1,971.2,84,42,97,,,
20/07/14,2.9,150,CALM,17.3,163,SSE,25.2,138,SE,27.2,22.6,33.9,0.8,969.2,966.4,971.7,75,34,97,,,
20/07/15,2.3,113,CALM,14.4,175,S,21.6,186,S,27.5,23.1,34.1,0.0,967.9,965.2,970.8,74,34,97,,,
20/07/16,2.9,125,CALM,21.6,142,SE,30.6,160,SSE,27.5,23.6,34.9,26.0,967.4,963.9,969.1,79,32,98,,,
20/07/17,3.8,175,CALM,13.3,176,S,21.2,121,ESE,28.2,24.4,34.0,0.0,968.7,965.3,970.7,72,35,98,,,
20/07/18,3.2,156,CALM,13.0,179,S,19.4,138,SE,27.2,23.6,31.2,0.0,969.4,967.3,971.4,77,45,97,,,
20/07/19,4.4,164,SSE,14.8,169,S,20.2,160,SSE,28.5,24.3,32.1,7.6,968.9,966.3,970.5,76,43,97,,,
20/07/20,2.1,171,CALM,12.6,173,S,19.4,160,SSE,27.6,24.0,33.1,4.2,969.2,966.2,970.9,80,37,97,,,
20/07/21,1.2,111,CALM,9.4,169,S,14.8,149,SSE,25.8,23.9,29.0,11.2,970.6,968.2,972.7,92,74,97,,,
20/07/22,2.6,123,CALM,16.2,161,SSE,28.4,183,S,26.6,23.3,33.6,10.8,969.5,967.2,971.2,85,37,98,,,
20/07/23,2.9,126,CALM,13.7,177,S,19.8,183,S,27.3,22.9,32.8,0.0,970.4,967.8,972.2,78,36,98,,,
20/07/24,2.2,131,CALM,11.2,180,S,16.2,256,WSW,28.5,23.7,34.7,0.0,969.6,966.5,972.6,71,32,97,,,
20/07/25,2.3,143,CALM,11.9,173,S,18.4,191,S,28.9,24.5,34.9,0.0,969.0,965.8,971.6,76,35,97,,,
20/07/26,5.3,191,S,13.0,169,S,22.3,160,SSE,30.0,25.1,32.8,0.0,969.8,967.3,971.4,67,41,97,,,
20/07/27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20/07/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20/07/29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20/07/30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20/07/31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-

