date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
20/09/01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20/09/02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20/09/03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20/09/04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20/09/05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20/09/06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20/09/07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20/09/08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20/09/09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20/09/10,10.2,184,S,36.0,201,SSW,50.4,188,S,28.9,0.0,30.7,2.0,1006.6,1003.8,1007.7,78,54,96,,,
20/09/11,12.5,190,S,24.1,208,SSW,30.2,191,S,29.5,27.3,31.6,0.0,1007.6,1004.7,1009.9,74,56,93,,,
20/09/12,11.0,195,SSW,20.5,195,SSW,24.5,194,SSW,29.8,27.1,31.8,1.8,1008.8,1006.1,1010.5,74,57,93,,,
20/09/13,10.1,178,S,23.8,214,SW,31.3,208,SSW,28.7,26.7,30.5,1.8,1008.9,1006.0,1011.5,80,65,95,,,
20/09/14,11.5,176,S,24.5,200,SSW,35.3,197,SSW,28.9,25.4,31.3,21.0,1007.9,1005.0,1009.9,81,60,99,,,
20/09/15,11.3,183,S,27.7,194,SSW,31.0,194,SSW,28.8,26.3,30.7,0.0,1007.8,1005.4,1010.1,78,58,97,,,
20/09/16,10.4,226,SW,22.3,196,SSW,28.8,194,SSW,29.3,26.9,31.4,0.0,1006.7,1004.3,1009.2,76,67,91,,,
20/09/17,12.3,255,WSW,26.6,223,SW,31.3,222,SW,30.0,27.8,32.7,0.0,1004.1,1001.4,1007.4,68,48,81,,,
20/09/18,13.3,246,WSW,28.4,221,SW,34.2,219,SW,28.3,25.7,29.7,9.8,1001.1,999.1,1004.8,79,60,95,,,
20/09/19,22.9,207,SSW,38.9,215,SW,50.0,211,SSW,28.1,26.1,29.2,3.4,1004.0,1001.2,1006.9,77,57,94,,,
20/09/20,9.1,158,SSE,28.1,223,SW,35.3,231,SW,26.6,25.6,28.4,4.0,1008.7,1006.7,1010.6,89,73,97,,,
20/09/21,8.4,214,SW,19.1,194,SSW,23.8,231,SW,28.9,26.0,30.9,2.6,1008.6,1006.6,1010.5,80,65,97,,,
20/09/22,6.0,96,E,18.4,202,SSW,22.7,191,S,28.9,26.2,33.1,0.4,1008.3,1005.9,1011.3,83,43,97,,,
20/09/23,7.7,171,S,24.5,229,SW,29.5,233,SW,27.3,0.0,30.8,30.8,1008.7,1005.4,1011.0,88,63,100,,,
20/09/24,12.7,224,SW,40.3,230,SW,51.5,217,SW,28.3,25.4,30.3,0.0,1009.7,1007.8,1012.2,75,53,95,,,
20/09/25,10.5,231,SW,20.9,194,SSW,25.2,225,SW,29.3,26.9,31.0,8.4,1008.6,1005.9,1011.4,63,43,84,,,
20/09/26,11.2,238,WSW,25.9,221,SW,29.2,228,SW,29.7,26.9,31.6,2.6,1007.5,1005.0,1010.8,68,51,93,,,
20/09/27,7.4,281,W,31.0,8,N,39.2,53,NE,28.4,22.6,35.3,30.8,1005.8,1002.8,1009.3,74,31,98,,,
20/09/28,7.1,192,SSW,29.2,217,SW,36.4,217,SW,26.7,24.3,29.7,26.6,1005.7,1003.1,1007.7,90,76,99,,,
20/09/29,14.5,212,SSW,29.9,195,SSW,38.9,203,SSW,28.7,25.7,30.2,0.2,1006.7,1004.2,1008.5,74,58,97,,,
20/09/30,9.9,249,WSW,22.7,224,SW,28.8,245,WSW,29.1,26.6,31.0,0.0,1006.3,1003.9,1008.9,66,49,79,,,

