date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
21/02/01,2.0,350,CALM,7.9,154,SSE,12.2,101,E,24.1,16.5,33.7,0.0,977.1,974.3,980.3,63,28,92,15958,4894,20000
21/02/02,2.0,312,CALM,10.1,133,SE,17.6,104,ESE,23.4,15.3,34.0,0.0,977.2,974.4,980.6,60,25,90,18795,7684,20000
21/02/03,2.2,290,CALM,11.5,145,SE,14.4,118,ESE,24.2,15.4,34.5,0.0,977.4,974.6,980.3,54,21,87,18935,11010,20000
21/02/04,1.9,337,CALM,12.6,282,WNW,17.3,256,WSW,24.7,17.4,34.1,0.0,977.5,974.9,981.2,57,27,85,15985,8272,20000
21/02/05,1.8,323,CALM,9.7,140,SE,14.8,138,SE,25.2,18.6,34.0,0.0,976.3,973.7,980.1,59,28,86,13882,6138,20000
21/02/06,2.1,269,CALM,12.6,144,SE,19.8,152,SSE,25.6,19.1,33.3,0.0,975.0,972.3,978.5,59,32,83,11556,5954,20000
21/02/07,3.8,349,CALM,14.4,354,N,23.8,332,NNW,26.3,21.0,34.2,0.2,974.7,971.7,977.5,59,30,80,12554,3719,20000
21/02/08,6.6,357,N,19.8,215,SW,35.6,233,SW,22.3,19.0,30.7,2.8,975.3,971.6,977.2,72,47,88,16469,1668,20000
21/02/09,4.3,354,N,19.1,355,N,29.2,17,NNE,22.0,15.8,29.3,0.0,976.1,972.6,978.9,61,35,86,19923,390,20000
21/02/10,1.7,320,CALM,10.4,305,NW,14.0,293,WNW,18.7,15.2,26.5,0.0,977.0,974.9,979.7,73,41,90,19983,10451,20000
21/02/11,1.9,313,CALM,9.7,209,SSW,15.8,197,SSW,22.7,15.2,32.7,0.0,975.9,973.0,979.3,58,25,89,19823,9493,20000
21/02/12,1.8,337,CALM,10.1,124,SE,16.2,129,SE,23.8,15.8,33.9,0.0,975.6,972.8,979.1,56,24,85,19455,12367,20000
21/02/13,2.0,303,CALM,14.0,150,SSE,19.4,138,SE,24.4,16.9,34.0,0.0,975.7,972.9,978.8,58,26,88,13581,250,20000
21/02/14,2.0,301,CALM,10.8,205,SSW,18.0,174,S,24.6,17.0,34.3,0.0,975.3,972.3,979.6,55,22,87,16235,312,20000
21/02/15,2.1,277,CALM,13.0,203,SSW,17.6,163,SSE,24.6,16.8,34.7,0.0,973.6,970.5,977.4,56,23,86,15254,8346,20000
21/02/16,2.0,324,CALM,11.5,186,S,17.3,146,SE,25.0,16.8,34.9,0.0,974.5,971.7,977.1,53,24,84,17296,8301,20000
21/02/17,2.5,214,CALM,12.6,201,SSW,18.7,155,SSE,27.5,19.1,34.5,0.0,976.4,973.4,979.0,56,34,79,13576,8745,20000
21/02/18,2.4,205,CALM,9.7,201,SSW,16.6,211,SSW,25.8,20.3,32.6,0.0,979.6,977.1,981.7,59,38,79,14289,8183,20000
21/02/19,2.3,283,CALM,10.8,247,WSW,17.3,214,SW,25.4,19.9,32.4,0.0,980.0,977.2,983.8,57,33,80,16215,10029,20000
21/02/20,1.9,284,CALM,10.8,146,SE,16.6,239,WSW,25.8,20.0,33.5,0.0,977.6,974.8,981.9,58,31,83,15943,9225,20000
21/02/21,3.4,309,CALM,15.1,9,N,27.0,23,NNE,27.1,20.1,34.5,0.0,976.0,973.2,979.9,53,30,81,16302,8864,20000
21/02/22,1.9,336,CALM,9.0,153,SSE,14.8,8,N,27.2,20.7,36.1,0.0,974.4,971.8,978.4,55,28,81,17023,7781,20000
21/02/23,2.1,133,CALM,6.1,53,NE,9.0,281,W,27.3,20.6,34.2,0.0,975.8,973.5,977.0,55,36,78,13111,9302,19873
21/02/24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/02/25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/02/26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/02/27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/02/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-

