date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
21/11/01,0.9,340,CALM,9.7,70,ENE,13.7,20,NNE,27.0,23.6,33.6,0.0,1001.3,998.5,1004.0,89,60,100,,,
21/11/02,2.3,310,CALM,13.0,335,NNW,19.8,332,NNW,27.8,24.5,33.4,2.6,1001.0,998.1,1003.7,86,61,100,,,
21/11/03,1.5,295,CALM,10.4,78,ENE,15.1,14,NNE,26.9,23.3,33.7,0.2,1000.2,997.2,1003.3,89,58,100,,,
21/11/04,1.7,314,CALM,8.3,340,NNW,11.9,343,NNW,27.3,22.9,33.9,0.0,999.9,996.8,1002.9,86,56,100,,,
21/11/05,1.4,330,CALM,8.3,4,N,12.6,315,NW,27.3,22.8,35.0,0.0,998.7,996.7,1001.5,85,53,100,,,
21/11/06,0.4,318,CALM,8.3,341,NNW,13.0,28,NNE,27.4,22.9,34.4,0.0,997.6,995.4,1000.5,84,52,100,,,
21/11/07,1.8,303,CALM,20.9,113,ESE,29.5,132,SE,26.5,23.3,34.0,22.8,999.0,996.1,1000.7,91,59,100,,,
21/11/08,2.4,190,CALM,9.4,112,ESE,14.4,62,ENE,26.8,24.1,32.7,0.0,1000.8,998.3,1003.1,86,62,100,,,
21/11/09,2.7,232,CALM,15.5,172,S,23.0,124,SE,26.3,22.4,31.5,0.0,1002.8,1000.8,1005.0,81,56,100,,,
21/11/10,1.6,280,CALM,9.0,162,SSE,13.7,132,SE,26.1,23.5,31.6,0.0,1001.9,999.7,1005.4,88,60,100,,,
21/11/11,2.0,281,CALM,8.3,226,SW,11.5,217,SW,26.0,22.1,31.4,0.0,1000.7,997.7,1003.2,84,57,100,,,
21/11/12,1.6,337,CALM,9.4,35,NE,16.9,42,NE,26.8,22.3,32.4,0.0,1001.0,998.4,1003.3,83,56,100,,,
21/11/13,1.9,346,CALM,11.2,89,E,15.8,68,ENE,26.8,23.3,32.1,0.0,1000.8,998.3,1003.5,80,51,100,,,
21/11/14,1.3,291,CALM,8.6,289,WNW,12.2,191,S,25.9,22.5,30.4,0.0,1000.4,998.6,1002.4,86,62,100,,,
21/11/15,1.3,323,CALM,7.2,266,W,9.4,70,ENE,26.5,22.9,32.1,0.0,998.8,996.6,1001.0,85,58,100,,,
21/11/16,2.0,316,CALM,13.0,111,ESE,18.0,127,SE,27.2,23.3,33.4,0.0,999.5,997.1,1001.3,84,55,100,,,
21/11/17,1.6,309,CALM,9.4,335,NNW,13.0,338,NNW,26.8,23.2,33.8,0.0,999.9,997.8,1002.4,87,55,100,,,
21/11/18,1.7,296,CALM,9.0,347,NNW,13.0,335,NNW,27.0,22.9,33.8,0.2,998.4,995.8,1001.6,83,55,100,,,
21/11/19,1.9,288,CALM,12.6,111,ESE,18.4,118,ESE,27.3,22.1,34.7,0.0,996.4,993.5,1000.3,81,48,100,,,
21/11/20,0.5,325,CALM,8.6,87,E,11.9,141,SE,27.6,22.3,35.2,0.0,996.8,994.2,999.5,82,49,100,,,
21/11/21,1.3,332,CALM,8.6,122,ESE,15.1,349,N,27.5,22.6,35.4,0.0,998.0,995.4,1000.4,82,47,100,,,
21/11/22,1.8,320,CALM,11.2,274,W,17.3,281,W,27.7,23.5,34.7,0.2,998.7,996.0,1001.4,84,53,100,,,
21/11/23,4.6,169,S,16.2,156,SSE,23.0,166,SSE,27.4,22.9,32.8,0.0,1000.6,998.2,1002.5,75,54,100,,,
21/11/24,2.6,255,CALM,15.5,112,ESE,21.6,115,ESE,26.3,23.5,31.2,0.0,1001.7,999.6,1004.0,78,52,96,,,
21/11/25,1.4,307,CALM,9.7,124,SE,13.0,177,S,25.7,21.9,32.2,0.0,1001.6,999.3,1004.2,82,52,100,,,
21/11/26,1.8,310,CALM,11.5,155,SSE,17.6,138,SE,26.5,22.6,32.6,0.0,1001.4,998.4,1003.6,80,53,100,,,
21/11/27,2.7,279,CALM,13.7,122,ESE,19.8,118,ESE,25.2,20.5,31.2,0.0,1002.7,1000.3,1004.8,77,51,100,,,
21/11/28,1.6,318,CALM,11.9,336,NNW,16.2,264,W,24.7,20.0,32.2,0.0,1002.3,999.6,1005.6,78,45,100,,,
21/11/29,2.3,311,CALM,11.2,341,NNW,19.8,20,NNE,25.3,21.0,32.9,0.0,1001.2,998.2,1004.9,76,44,96,,,
21/11/30,1.6,327,CALM,12.6,320,NW,18.7,307,NW,26.0,22.0,32.1,0.0,1002.0,999.1,1004.2,71,44,89,,,

