date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
21/01/01,2.5,333,CALM,15.1,92,E,25.6,104,ESE,19.8,13.7,25.9,0.0,997.6,994.7,1001.0,72,47,95,,,
21/01/02,2.5,243,CALM,14.0,101,E,18.7,104,ESE,19.6,13.7,26.5,0.0,996.5,993.7,1000.1,70,43,96,,,
21/01/03,2.7,211,CALM,13.7,114,ESE,21.2,118,ESE,21.1,14.4,29.0,0.0,995.1,991.8,998.0,69,41,94,,,
21/01/04,2.6,248,CALM,13.3,98,E,19.4,98,E,21.9,15.0,29.4,0.0,995.5,993.0,999.2,67,40,95,,,
21/01/05,2.2,244,CALM,13.0,144,SE,19.1,104,ESE,24.1,16.7,31.9,0.0,994.1,991.7,998.1,67,39,88,,,
21/01/06,2.8,125,CALM,11.9,96,E,19.8,129,SE,25.5,19.9,31.9,0.0,992.0,989.1,995.9,69,45,89,,,
21/01/07,2.9,92,CALM,13.0,111,ESE,20.2,113,ESE,26.1,20.7,32.0,0.0,992.1,988.3,994.9,71,48,91,,,
21/01/08,2.6,70,CALM,11.9,119,ESE,20.5,107,ESE,25.4,21.0,29.2,0.0,994.8,992.3,996.6,70,54,89,,,
21/01/09,3.3,64,CALM,14.0,99,E,23.8,104,ESE,22.7,16.8,28.7,0.0,995.8,992.9,998.8,69,48,91,,,
21/01/10,3.0,87,CALM,14.0,130,SE,19.8,107,ESE,22.6,16.8,28.7,0.0,995.9,992.2,999.1,68,44,92,,,
21/01/11,4.8,71,ENE,13.7,99,E,24.8,20,NNE,24.5,17.1,29.0,0.0,998.0,994.4,1001.2,58,45,89,,,
21/01/12,4.7,51,NE,14.0,98,E,22.3,332,NNW,18.6,14.8,21.9,0.0,1001.0,998.8,1003.9,63,49,80,,,
21/01/13,3.1,65,CALM,15.5,125,SE,20.9,115,ESE,19.1,13.1,25.5,0.0,998.0,995.2,1002.0,66,44,92,,,
21/01/14,2.5,219,CALM,10.8,104,ESE,17.3,70,ENE,20.8,13.1,28.2,0.0,995.5,992.8,999.7,68,38,93,,,
21/01/15,2.9,298,CALM,12.6,97,E,22.0,104,ESE,21.7,15.3,29.5,0.0,993.5,990.3,996.6,66,34,90,,,
21/01/16,2.0,261,CALM,11.2,107,ESE,17.3,93,E,23.3,15.7,31.5,0.0,993.6,990.0,997.0,63,30,88,,,
21/01/17,3.3,73,CALM,11.5,59,ENE,18.7,115,ESE,24.6,18.1,29.5,0.0,997.6,994.6,1000.6,62,48,88,,,
21/01/18,2.7,71,CALM,13.7,93,E,20.2,107,ESE,21.3,15.4,27.2,0.0,998.3,995.7,1002.5,66,43,86,,,
21/01/19,2.5,67,CALM,12.2,84,E,19.4,124,SE,20.2,14.0,27.4,0.0,997.1,993.8,1001.0,64,38,88,,,
21/01/20,3.2,83,CALM,13.7,103,ESE,21.6,87,E,21.0,13.8,29.0,0.0,995.6,992.3,999.2,62,33,90,,,
21/01/21,2.9,54,CALM,12.2,100,E,18.0,84,E,22.0,14.9,30.1,0.0,994.4,991.3,997.9,61,34,89,,,
21/01/22,2.9,166,CALM,11.9,102,ESE,17.6,79,E,23.0,15.7,31.2,0.0,993.6,990.7,997.2,60,30,83,,,
21/01/23,3.3,234,CALM,15.5,84,E,22.3,79,E,24.9,17.1,31.4,0.0,993.6,990.3,996.5,55,34,88,,,
21/01/24,2.9,258,CALM,11.2,259,W,22.7,217,SW,25.1,19.2,32.7,0.0,994.2,991.7,997.1,53,31,73,,,
21/01/25,3.1,251,CALM,14.0,110,ESE,19.4,113,ESE,25.4,20.6,32.7,0.0,994.1,991.6,997.4,60,35,79,,,
21/01/26,2.5,250,CALM,14.0,61,ENE,23.4,107,ESE,25.5,19.3,33.5,0.0,993.4,990.3,996.8,60,30,82,,,
21/01/27,2.8,7,CALM,18.7,77,ENE,23.8,56,NE,25.7,19.1,32.9,0.0,994.4,990.9,996.9,64,38,85,,,
21/01/28,3.3,84,CALM,14.0,103,ESE,20.9,73,ENE,26.3,21.0,32.8,0.0,995.3,992.4,998.5,65,40,82,,,
21/01/29,4.2,70,ENE,19.4,97,E,29.5,107,ESE,26.6,23.1,30.9,0.0,996.3,993.2,999.5,58,42,76,,,
21/01/30,3.2,65,CALM,16.9,68,ENE,28.4,76,ENE,24.9,20.7,30.0,0.0,996.3,993.4,999.3,63,45,83,,,
21/01/31,2.8,79,CALM,15.1,54,NE,23.0,73,ENE,25.4,19.5,31.1,0.0,996.7,993.5,999.6,61,42,85,,,

