date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
21/10/01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/10/02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/10/03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/10/04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/10/05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/10/06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/10/07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/10/08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/10/09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/10/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/10/11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/10/12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/10/13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/10/14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/10/15,0.0,203,CALM,0.0,203,CALM,0.0,203,CALM,26.0,25.3,29.2,0.0,0.0,0.0,0.0,0,0,0,,,
21/10/16,0.0,204,CALM,0.0,203,CALM,0.4,152,CALM,29.3,25.9,30.6,0.0,0.0,0.0,0.0,0,0,0,,,
21/10/17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/10/18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/10/19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/10/20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/10/21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/10/22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/10/23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/10/24,1.6,32,CALM,14.8,201,SSW,87.8,217,SW,23.7,20.8,29.2,3.8,959.4,958.1,961.3,88,63,100,,,
21/10/25,2.4,23,CALM,14.0,72,ENE,21.6,70,ENE,24.0,19.4,31.0,0.0,958.3,956.0,960.7,85,55,100,,,
21/10/26,1.9,21,CALM,11.5,21,NNE,14.8,340,NNW,24.4,19.0,33.1,0.0,958.1,955.2,959.9,83,48,100,,,
21/10/27,1.0,3,CALM,9.7,9,N,14.8,11,N,24.0,19.3,32.4,0.0,957.9,955.7,960.3,88,55,100,,,
21/10/28,1.5,20,CALM,9.7,11,N,13.3,352,N,25.0,20.1,32.3,0.6,958.1,955.5,959.4,88,54,100,,,
21/10/29,1.7,357,CALM,12.2,31,NNE,14.0,53,NE,24.7,22.4,30.0,20.2,959.0,956.3,960.8,93,66,100,,,
21/10/30,2.3,6,CALM,15.1,36,NE,24.1,34,NE,26.0,22.0,33.3,16.8,959.8,956.7,962.4,85,50,100,,,
21/10/31,1.7,354,CALM,23.0,59,ENE,28.4,70,ENE,25.0,22.0,32.9,53.4,959.6,956.2,961.9,90,53,100,,,

