date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
21/12/01,1.3,121,CALM,12.6,59,ENE,21.6,346,NNW,22.7,16.8,29.8,0.0,979.3,976.4,982.5,75,47,96,,,
21/12/02,1.6,326,CALM,13.0,228,SW,16.6,188,S,23.5,17.0,29.4,0.0,980.7,977.9,983.4,72,48,96,,,
21/12/03,1.8,266,CALM,13.0,49,NE,17.6,37,NE,21.9,15.6,28.9,0.2,981.5,978.6,983.8,77,49,99,,,
21/12/04,1.1,229,CALM,10.4,93,E,15.1,214,SW,20.9,14.3,29.2,0.0,981.6,978.0,984.0,76,42,99,,,
21/12/05,1.7,232,CALM,12.6,53,NE,17.6,23,NNE,20.0,13.9,28.3,0.0,980.9,977.8,984.6,74,38,99,,,
21/12/06,1.0,231,CALM,11.2,201,SSW,14.0,56,NE,20.6,14.0,28.7,0.0,980.7,977.5,983.7,73,42,97,,,
21/12/07,1.2,243,CALM,9.4,263,W,13.3,309,NW,21.1,15.1,28.7,0.0,980.3,977.6,983.2,75,44,98,,,
21/12/08,0.7,243,CALM,8.6,22,NNE,13.3,23,NNE,21.4,15.5,29.3,0.0,981.1,978.2,983.6,77,46,98,,,
21/12/09,0.7,237,CALM,10.1,244,WSW,13.7,253,WSW,21.9,15.6,30.0,0.0,981.8,979.4,984.7,79,48,99,,,
21/12/10,1.3,242,CALM,11.9,238,WSW,14.8,236,SW,23.6,16.9,31.0,0.0,979.8,976.6,983.2,77,48,99,,,
21/12/11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/12/12,1.6,220,CALM,13.7,139,SE,20.5,76,ENE,23.3,16.9,32.0,0.0,979.7,977.4,982.1,76,43,99,,,
21/12/13,1.1,243,CALM,11.2,224,SW,15.8,183,S,22.6,16.4,30.5,0.0,979.3,976.6,982.6,77,45,98,,,
21/12/14,1.0,245,CALM,11.9,74,ENE,15.5,73,ENE,22.3,16.3,30.0,0.0,978.0,975.2,981.5,78,48,99,,,
21/12/15,1.2,240,CALM,10.4,235,SW,15.1,301,WNW,22.3,16.0,30.5,0.0,977.2,974.2,980.1,77,43,99,,,
21/12/16,0.8,243,CALM,11.2,23,NNE,15.5,346,NNW,22.0,15.2,30.9,0.0,977.9,975.0,980.5,76,40,99,,,
21/12/17,1.4,239,CALM,10.8,63,ENE,15.1,31,NNE,22.0,15.2,30.3,0.0,978.6,975.4,981.0,76,42,99,,,
21/12/18,1.2,236,CALM,10.4,22,NNE,14.8,338,NNW,22.8,16.4,29.9,0.0,979.1,976.0,981.7,77,49,97,,,
21/12/19,2.4,192,CALM,13.0,117,ESE,17.6,191,S,22.1,16.5,28.2,0.0,979.7,976.9,982.4,72,48,95,,,
21/12/20,2.1,243,CALM,12.6,59,ENE,17.6,23,NNE,20.6,14.2,28.0,0.0,979.0,976.0,982.6,73,42,97,,,
21/12/21,1.1,239,CALM,9.0,215,SW,13.0,31,NNE,20.7,14.3,29.3,0.0,978.5,975.5,981.4,75,40,98,,,
21/12/22,1.3,241,CALM,10.8,223,SW,14.8,135,SE,21.2,14.5,30.0,0.0,977.2,974.6,981.2,75,43,98,,,
21/12/23,2.3,223,CALM,13.3,186,S,22.7,197,SSW,22.2,15.2,30.5,0.0,976.6,974.1,979.9,75,47,98,,,
21/12/24,2.2,223,CALM,10.8,233,SW,18.4,121,ESE,23.1,16.4,30.9,0.0,976.8,973.9,979.6,75,46,98,,,
21/12/25,2.1,224,CALM,12.2,204,SSW,16.6,194,SSW,23.1,17.2,30.7,0.0,978.2,975.4,980.4,78,49,99,,,
21/12/26,1.3,223,CALM,12.2,106,ESE,15.5,115,ESE,23.3,18.4,30.5,0.0,980.1,977.1,982.8,81,55,99,,,
21/12/27,1.4,224,CALM,11.5,227,SW,15.5,205,SSW,23.7,18.6,31.4,0.0,980.5,977.5,983.8,78,47,99,,,
21/12/28,1.7,223,CALM,11.9,190,S,15.5,177,S,23.1,16.7,31.4,0.0,980.3,977.3,983.5,77,44,98,,,
21/12/29,1.1,245,CALM,9.7,246,WSW,14.0,248,WSW,23.8,16.7,31.9,0.0,980.9,978.1,983.9,74,44,98,,,
21/12/30,1.6,241,CALM,12.2,341,NNW,17.3,340,NNW,23.8,18.4,30.7,0.0,981.8,979.0,985.0,78,50,98,,,
21/12/31,1.6,245,CALM,10.1,227,SW,13.0,236,SW,23.7,18.1,31.3,0.0,981.3,978.8,983.9,77,49,98,,,

