date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
21/09/01,1.4,114,CALM,11.9,135,SE,15.5,141,SE,27.0,23.2,33.2,0.0,962.1,959.1,965.3,76,52,100,,,
21/09/02,2.6,109,CALM,13.3,41,NE,18.7,37,NE,26.2,22.9,32.0,0.2,961.0,958.4,964.3,84,64,100,,,
21/09/03,1.9,211,CALM,17.6,231,SW,24.1,208,SSW,25.4,22.9,32.7,8.2,959.6,957.0,961.9,85,58,100,,,
21/09/04,1.5,222,CALM,11.2,229,SW,17.6,222,SW,25.9,23.0,32.5,4.2,959.6,956.7,961.9,83,60,100,,,
21/09/05,2.2,190,CALM,14.0,221,SW,20.9,183,S,25.3,20.8,31.2,72.2,962.0,958.8,964.2,87,59,100,,,
21/09/06,2.2,28,CALM,13.3,234,SW,19.4,214,SW,25.5,21.5,32.1,0.2,963.9,960.6,965.8,81,59,100,,,
21/09/07,2.1,19,CALM,11.9,13,NNE,15.8,39,NE,27.0,22.5,34.2,0.6,962.3,959.5,966.0,76,53,100,,,
21/09/08,2.2,3,CALM,11.5,48,NE,17.3,37,NE,27.2,23.0,33.1,0.4,960.2,957.2,963.7,81,53,100,,,
21/09/09,3.4,49,CALM,16.2,42,NE,24.5,65,ENE,24.7,22.3,31.1,29.8,961.4,958.6,963.3,86,62,100,,,
21/09/10,2.4,157,CALM,11.5,34,NE,16.9,34,NE,25.3,22.3,32.3,1.8,962.0,959.4,964.3,80,59,100,,,
21/09/11,1.8,215,CALM,8.6,156,SSE,14.0,155,SSE,25.9,21.3,33.3,0.0,960.5,958.1,963.7,76,52,100,,,
21/09/12,2.0,218,CALM,10.1,136,SE,15.1,205,SSW,26.6,21.9,33.8,0.0,958.9,956.0,961.0,75,52,100,,,
21/09/13,2.3,20,CALM,25.9,45,NE,44.3,73,ENE,26.9,20.5,34.5,19.4,960.7,957.0,963.8,79,53,100,,,
21/09/14,1.5,203,CALM,10.4,127,SE,13.7,135,SE,24.4,21.9,27.7,25.6,962.7,960.3,965.0,92,78,100,,,
21/09/15,1.3,48,CALM,15.1,37,NE,23.0,90,E,25.7,22.7,31.1,1.8,963.3,960.5,964.8,87,69,100,,,
21/09/16,1.7,214,CALM,19.8,121,ESE,28.4,138,SE,25.0,22.6,31.9,19.6,962.5,959.6,965.4,83,63,100,,,
21/09/17,2.2,25,CALM,10.1,116,ESE,15.1,163,SSE,25.3,22.4,31.1,0.6,962.8,959.8,964.8,89,66,100,,,
21/09/18,2.0,335,CALM,13.7,266,W,21.6,301,WNW,25.6,22.6,33.0,0.2,963.0,960.1,965.1,83,59,100,,,
21/09/19,1.3,249,CALM,10.1,313,NW,16.9,318,NW,26.9,21.9,33.6,0.0,962.5,959.5,965.1,82,56,100,,,
21/09/20,1.1,115,CALM,10.8,146,SE,16.2,53,NE,24.3,21.3,31.7,21.8,962.8,960.8,964.9,88,68,100,,,
21/09/21,2.2,355,CALM,23.4,13,NNE,32.0,20,NNE,25.3,21.6,32.6,27.4,961.4,957.8,964.6,73,57,100,,,
21/09/22,2.5,9,CALM,16.9,140,SE,28.1,121,ESE,25.5,22.0,32.0,18.0,961.5,957.9,963.7,78,58,100,,,
21/09/23,1.6,8,CALM,15.5,139,SE,22.7,174,S,24.7,22.0,32.0,7.0,963.1,960.3,964.8,84,60,100,,,
21/09/24,2.0,21,CALM,19.4,49,NE,34.9,51,NE,25.7,22.1,33.3,0.6,962.1,959.1,965.6,80,56,100,,,
21/09/25,4.4,39,NE,22.3,31,NNE,33.5,23,NNE,26.1,22.3,31.5,3.0,961.2,958.6,963.3,80,61,100,,,
21/09/26,1.7,345,CALM,15.8,23,NNE,25.6,31,NNE,23.9,22.3,30.5,30.8,962.8,959.9,964.3,89,69,100,,,
21/09/27,2.6,16,CALM,14.8,229,SW,22.7,236,SW,23.7,21.4,28.1,8.2,964.3,962.0,966.5,94,81,100,,,
21/09/28,1.7,280,CALM,8.6,249,WSW,13.0,273,W,24.6,21.4,30.6,0.0,964.0,961.3,966.8,84,63,100,,,
21/09/29,1.9,201,CALM,12.2,135,SE,14.8,129,SE,25.7,21.2,33.5,0.0,962.4,959.6,965.3,80,54,100,,,
21/09/30,1.8,217,CALM,9.7,127,SE,13.0,124,SE,26.8,21.7,34.4,0.0,962.5,959.5,965.3,76,55,100,,,

