date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
21/09/01,3.6,110,CALM,16.9,66,ENE,25.9,51,NE,27.0,22.7,33.0,1.6,961.7,958.7,964.6,81,51,99,,,
21/09/02,3.1,131,CALM,13.3,191,S,19.8,205,SSW,27.0,23.6,33.5,0.0,960.5,958.1,963.6,81,55,96,,,
21/09/03,6.3,140,SE,15.8,201,SSW,24.5,231,SW,27.2,23.9,31.5,0.0,959.2,956.6,961.3,80,57,95,,,
21/09/04,6.8,143,SE,15.5,142,SE,22.0,124,SE,27.5,24.1,32.9,0.0,959.2,956.4,961.6,77,54,92,,,
21/09/05,3.5,84,CALM,12.6,223,SW,19.4,172,S,26.4,23.9,31.8,8.8,961.6,958.4,963.8,86,57,98,,,
21/09/06,2.8,36,CALM,13.3,94,E,20.9,110,ESE,26.5,23.9,32.7,0.8,963.3,960.1,965.1,85,56,98,,,
21/09/07,3.0,346,CALM,11.9,310,NW,17.3,304,NW,28.2,24.2,34.2,0.0,961.6,958.9,965.3,80,54,97,,,
21/09/08,3.6,349,CALM,16.2,113,ESE,25.2,90,E,28.0,22.2,33.7,12.4,959.5,956.7,963.0,78,49,99,,,
21/09/09,3.1,7,CALM,13.7,134,SE,21.2,143,SE,25.6,22.9,30.7,4.2,960.8,957.8,962.9,88,62,98,,,
21/09/10,2.3,2,CALM,14.8,31,NNE,21.2,28,NNE,26.1,22.6,31.9,1.6,961.5,958.8,963.8,85,59,99,,,
21/09/11,3.7,107,CALM,13.7,185,S,21.2,172,S,27.8,22.8,34.4,0.0,959.9,957.7,963.1,76,49,99,,,
21/09/12,4.3,135,SE,12.2,146,SE,19.8,188,S,28.3,23.4,34.1,0.0,958.5,955.7,960.5,75,46,96,,,
21/09/13,4.7,41,NE,23.8,36,NE,32.0,34,NE,28.2,21.9,35.3,32.8,960.0,956.7,963.0,77,49,99,,,
21/09/14,2.3,343,CALM,9.4,298,WNW,16.2,287,WNW,24.6,22.5,27.4,4.6,962.2,959.7,964.4,91,76,99,,,
21/09/15,1.7,15,CALM,14.4,118,ESE,22.7,138,SE,25.8,23.8,31.3,10.6,962.7,959.8,964.3,91,64,99,,,
21/09/16,4.9,132,SE,14.0,65,ENE,23.8,53,NE,27.0,23.3,32.4,9.0,961.9,959.0,964.3,82,56,98,,,
21/09/17,6.7,138,SE,16.9,162,SSE,25.9,155,SSE,26.9,23.9,32.4,0.0,962.4,959.6,964.2,82,57,96,,,
21/09/18,4.5,141,SE,14.8,155,SSE,19.8,174,S,28.4,24.4,34.1,0.0,962.6,959.7,964.6,77,52,97,,,
21/09/19,3.1,88,CALM,12.2,99,E,18.7,293,WNW,28.2,24.1,33.8,0.0,962.0,959.3,964.5,80,53,98,,,
21/09/20,2.5,16,CALM,24.1,134,SE,38.2,121,ESE,24.5,20.5,32.5,46.2,962.1,959.6,964.1,91,64,99,,,
21/09/21,2.5,330,CALM,20.9,27,NNE,30.6,338,NNW,25.5,22.6,33.0,40.4,961.0,957.0,964.1,90,58,99,,,
21/09/22,2.1,329,CALM,14.8,163,SSE,21.6,172,S,25.7,23.2,30.7,4.8,961.0,957.8,963.0,87,67,99,,,
21/09/23,2.5,343,CALM,16.2,21,NNE,23.4,31,NNE,25.4,23.2,30.7,1.6,962.5,959.9,964.1,90,66,98,,,
21/09/24,2.7,341,CALM,16.2,69,ENE,23.0,70,ENE,27.0,23.9,32.7,0.4,961.4,958.6,964.9,85,59,98,,,
21/09/25,3.7,341,CALM,15.1,40,NE,23.4,53,NE,26.5,23.3,31.9,5.0,960.4,957.8,962.4,84,58,98,,,
21/09/26,2.9,23,CALM,17.6,51,NE,23.8,53,NE,25.1,23.4,28.8,4.2,962.2,959.7,963.9,91,70,98,,,
21/09/27,2.2,360,CALM,12.6,141,SE,16.9,135,SE,24.6,22.8,29.4,25.4,963.8,960.8,965.8,92,71,99,,,
21/09/28,2.1,332,CALM,10.1,218,SW,16.9,228,SW,25.5,23.1,31.3,0.0,963.6,961.1,966.5,88,61,99,,,
21/09/29,2.7,65,CALM,11.5,212,SSW,14.8,191,S,26.9,23.1,34.0,0.0,962.1,959.4,964.8,83,51,99,,,
21/09/30,2.2,24,CALM,14.0,145,SE,17.6,174,S,28.0,23.6,34.6,0.0,962.1,959.3,964.9,81,50,99,,,

